run,case,method,num_cores,active_cores,makespan_p2,makespan_p3,hardware_ratio,original_input_tensors,original_inputs_with_multiple_compute_consumers,original_inputs_actually_read_by_multiple_cores,repeated_read_tensors,all_read_bytes,potential_repeat_bytes,potential_repeat_fraction,fifo_eviction_count,max_cache_used_bytes,max_compute_pipe_busy_fraction,ddr_busy_fraction,hit_bytes,hit_rate,miss_first,miss_inflight_repeat,miss_after_eviction
pilot_v1,case_001,affinity,1,1,233110,233110,1.0,201,201,0,0,820352,0,0.0,0,820352,0.9986701557204753,0.11848483548539317,0,0.0,201,0,0
pilot_v1,case_001,affinity,2,2,116868,116868,1.0,201,201,1,1,821504,1152,0.0014023060143346837,0,820352,0.9959954820823493,0.23650614368347195,0,0.0,201,1,0
pilot_v1,case_001,affinity,5,5,47502,47502,1.0,201,201,1,1,824960,4608,0.005585725368502715,0,820352,0.980169256031325,0.5831333417540314,0,0.0,201,4,0
pilot_v1,case_001,simple,1,1,233110,233110,1.0,201,201,0,0,820352,0,0.0,0,820352,0.9986701557204753,0.11848483548539317,0,0.0,201,0,0
pilot_v1,case_001,simple,2,2,116868,116868,1.0,201,201,1,1,821504,1152,0.0014023060143346837,0,820352,0.9959954820823493,0.23650614368347195,0,0.0,201,1,0
pilot_v1,case_001,simple,5,5,47502,47502,1.0,201,201,1,1,824960,4608,0.005585725368502715,0,820352,0.980169256031325,0.5831333417540314,0,0.0,201,4,0
pilot_v1,case_008,affinity,1,1,487605,487605,1.0,432,0,0,0,1990872,0,0.0,205,1044594,0.5129725905189652,0.09147568216076538,0,0.0,432,0,0
pilot_v1,case_008,affinity,2,2,244266,244266,1.0,432,0,0,0,1990872,0,0.0,204,1044596,0.5119992139716538,0.18260421016432904,0,0.0,432,0,0
pilot_v1,case_008,affinity,5,5,100603,100603,1.0,432,0,0,0,1990872,0,0.0,204,1044600,0.5064660099599415,0.44336650000497,0,0.0,432,0,0
pilot_v1,case_008,simple,1,1,487605,487605,1.0,432,0,0,0,1990872,0,0.0,205,1044594,0.5129725905189652,0.09147568216076538,0,0.0,432,0,0
pilot_v1,case_008,simple,2,2,244266,244266,1.0,432,0,0,0,1990872,0,0.0,204,1044596,0.5119992139716538,0.18260421016432904,0,0.0,432,0,0
pilot_v1,case_008,simple,5,5,100603,100603,1.0,432,0,0,0,1990872,0,0.0,204,1044600,0.5064660099599415,0.44336650000497,0,0.0,432,0,0
pilot_v1,case_011,affinity,1,1,184697,184697,1.0,176,176,0,0,540672,0,0.0,0,540672,0.9986518459964158,0.05552878498297211,0,0.0,176,0,0
pilot_v1,case_011,affinity,2,2,92646,92646,1.0,176,176,88,88,720896,180224,0.25,0,540672,0.9954450273082486,0.14394577207866502,0,0.0,176,88,0
pilot_v1,case_011,affinity,5,5,46915,46915,1.0,176,176,110,110,1171456,630784,0.5384615384615384,0,540672,0.982883939038687,0.3986784610465736,135168,0.11538461538461539,176,220,0
pilot_v1,case_011,simple,1,1,184697,184697,1.0,176,176,0,0,540672,0,0.0,0,540672,0.9986518459964158,0.05552878498297211,0,0.0,176,0,0
pilot_v1,case_011,simple,2,2,92646,92646,1.0,176,176,88,88,720896,180224,0.25,0,540672,0.9954450273082486,0.14394577207866502,0,0.0,176,88,0
pilot_v1,case_011,simple,5,4,46880,46880,1.0,176,176,88,88,1081344,540672,0.5,0,540672,0.9836177474402731,0.4158703071672355,0,0.0,176,264,0
pilot_v1,case_019,affinity,1,1,77857,77857,1.0,88,39,0,0,179252,0,0.0,0,179252,0.6221149029631247,0.0410881487855941,0,0.0,88,0,0
pilot_v1,case_019,affinity,2,2,41102,41102,1.0,88,39,1,1,181844,2592,0.014253975935417171,0,179252,0.5895576857573841,0.07783076249330932,2592,0.014253975935417171,88,0,0
pilot_v1,case_019,affinity,5,5,24169,24169,1.0,88,39,4,4,260756,81504,0.3125680713003728,0,179252,0.844056435930324,0.17203856179403368,24160,0.09265366856371474,88,7,0
pilot_v1,case_019,simple,1,1,77857,77857,1.0,88,39,0,0,179252,0,0.0,0,179252,0.6221149029631247,0.0410881487855941,0,0.0,88,0,0
pilot_v1,case_019,simple,2,2,43224,43224,1.0,88,39,4,4,206420,27168,0.13161515357039047,0,179252,0.5778502683694244,0.0740098093651675,27168,0.13161515357039047,88,0,0
pilot_v1,case_019,simple,5,4,24099,24099,1.0,88,39,4,4,230996,51744,0.2240038788550451,0,179252,0.8465081538653056,0.1345698991659405,49152,0.21278290533169406,88,1,0
pilot_v1,case_049,affinity,1,1,196276,196276,1.0,144,46,0,0,152504,0,0.0,0,152504,0.84429578756445,0.01355234465752308,0,0.0,144,0,0
pilot_v1,case_049,affinity,2,2,160206,160206,1.0,144,46,0,0,152504,0,0.0,0,152504,0.8858095202426876,0.016603622835599165,0,0.0,144,0,0
pilot_v1,case_049,affinity,5,2,160206,160206,1.0,144,46,0,0,152504,0,0.0,0,152504,0.8858095202426876,0.016603622835599165,0,0.0,144,0,0
pilot_v1,case_049,simple,1,1,196276,196276,1.0,144,46,0,0,152504,0,0.0,0,152504,0.84429578756445,0.01355234465752308,0,0.0,144,0,0
pilot_v1,case_049,simple,2,2,160206,160206,1.0,144,46,0,0,152504,0,0.0,0,152504,0.8858095202426876,0.016603622835599165,0,0.0,144,0,0
pilot_v1,case_049,simple,5,2,160206,160206,1.0,144,46,0,0,152504,0,0.0,0,152504,0.8858095202426876,0.016603622835599165,0,0.0,144,0,0
pilot_v1,case_051,affinity,1,1,607628,607628,1.0,12,12,0,0,393216,0,0.0,0,393216,0.9990981324099614,0.010804307898911835,0,0.0,12,0,0
pilot_v1,case_051,affinity,2,1,607628,607628,1.0,12,12,0,0,393216,0,0.0,0,393216,0.9990981324099614,0.010804307898911835,0,0.0,12,0,0
pilot_v1,case_051,affinity,5,1,607628,607628,1.0,12,12,0,0,393216,0,0.0,0,393216,0.9990981324099614,0.010804307898911835,0,0.0,12,0,0
pilot_v1,case_051,simple,1,1,607628,607628,1.0,12,12,0,0,393216,0,0.0,0,393216,0.9990981324099614,0.010804307898911835,0,0.0,12,0,0
pilot_v1,case_051,simple,2,1,607628,607628,1.0,12,12,0,0,393216,0,0.0,0,393216,0.9990981324099614,0.010804307898911835,0,0.0,12,0,0
pilot_v1,case_051,simple,5,1,607628,607628,1.0,12,12,0,0,393216,0,0.0,0,393216,0.9990981324099614,0.010804307898911835,0,0.0,12,0,0
pilot_v1,case_064,affinity,1,1,19116,19116,1.0,62,26,0,0,35622,0,0.0,0,35622,0.8236032642812304,0.03463067587361373,0,0.0,62,0,0
pilot_v1,case_064,affinity,2,1,19116,19116,1.0,62,26,0,0,35622,0,0.0,0,35622,0.8236032642812304,0.03463067587361373,0,0.0,62,0,0
