case,t2_pi2,t3_pi2,t2_pi3,t3_pi3,H_hardware,S_policy,R_total,H_minus1_pct,S_minus1_pct,R_minus1_pct,policy_status,pi2_plan_sha256,pi3_plan_sha256,pi2_added_copy_bytes,pi3_added_copy_bytes,pi2_P3_byte_hit_rate,pi3_P3_byte_hit_rate
case_011,46880,46880,46880,46880,1.0,1.0,1.0,0.0,0.0,0.0,sameplan(no-policy-search-on-selected-pi2),9f62431bc5a5d183c25ae2169f22f084cad0000c3fd7e9ddc9e6dd15aa97e883,9f62431bc5a5d183c25ae2169f22f084cad0000c3fd7e9ddc9e6dd15aa97e883,540672,540672,0.0,0.0
case_019,18233,16712,18233,16712,1.0910124461464816,1.0,1.0910124461464816,9.101244614648163,0.0,9.101244614648163,sameplan(no-policy-search-on-selected-pi2),028a0811ecbd4dbd51fb2d9e72ef4c46609cceb21b9ec4411643045c42dc6fe5,028a0811ecbd4dbd51fb2d9e72ef4c46609cceb21b9ec4411643045c42dc6fe5,817004,817004,0.22167498027829352,0.22167498027829352
case_044,74588,74588,74588,74588,1.0,1.0,1.0,0.0,0.0,0.0,sameplan(no-policy-search-on-selected-pi2),9dbbc814bf97e01bd031a3560223d8353b8e77d36f332e7f579675935a8bd806,9dbbc814bf97e01bd031a3560223d8353b8e77d36f332e7f579675935a8bd806,8480,8480,0.00030084235860409147,0.00030084235860409147
case_049,97671,93228,97671,93228,1.0476573561590938,1.0,1.0476573561590938,4.765735615909383,0.0,4.765735615909383,sameplan(no-policy-search-on-selected-pi2),f33e30c73f6597da5494f160981d3689bc7528c4fe5a6658f313b921f5f6d67f,f33e30c73f6597da5494f160981d3689bc7528c4fe5a6658f313b921f5f6d67f,4058282,4058282,0.1748242821913939,0.1748242821913939
case_051,164392,161479,164392,161479,1.0180394973959461,1.0,1.0180394973959461,1.8039497395946125,0.0,1.8039497395946125,sameplan(no-policy-search-on-selected-pi2),be893a506dfffb76e5f8768d3b36bde5fcbf6ef7671d3a8071ed381052bdcb8c,be893a506dfffb76e5f8768d3b36bde5fcbf6ef7671d3a8071ed381052bdcb8c,3507604,3507604,0.15494134258491382,0.15494134258491382
case_064,8945,8867,8945,8867,1.0087966617796325,1.0,1.0087966617796325,0.8796661779632453,0.0,0.8796661779632453,sameplan(no-policy-search-on-selected-pi2),84aa8f19c7bd52fc8bbb284afaa998f89ca38745acf22283804964348a108e27,84aa8f19c7bd52fc8bbb284afaa998f89ca38745acf22283804964348a108e27,130674,130674,0.27534222534222536,0.27534222534222536
case_069,11695,10414,11695,10414,1.123007489917419,1.0,1.123007489917419,12.300748991741894,0.0,12.300748991741894,sameplan(no-policy-search-on-selected-pi2),4e1dc0552ed62a8b22404f603b6ddb9e6814b117c546b366d99f08619c4a2afe,4e1dc0552ed62a8b22404f603b6ddb9e6814b117c546b366d99f08619c4a2afe,448496,448496,0.35242813249285543,0.35242813249285543
case_071,9304,7945,9688,7952,1.1710509754562617,0.9991197183098591,1.1700201207243461,17.10509754562617,-0.08802816901408717,17.002012072434614,previously_accepted_P3_plan_no_reselection,2ad4b68ed2a4e374f586d6e84d2a473877ef4eb908c646206e1c5c1f7b507ad3,d6c781083e135cce72c91e2d403774fbbb5150844e066ce5ac6716fde035e51b,362354,373042,0.2479320119896833,0.38122776808573305
case_082,238028,233566,238028,233566,1.0191038079172483,1.0,1.0191038079172483,1.9103807917248306,0.0,1.9103807917248306,sameplan(no-policy-search-on-selected-pi2),705e45e57a05a152eb7f5869e2872f2ad985fe8bce2e3a44fc1c5a85999475ab,705e45e57a05a152eb7f5869e2872f2ad985fe8bce2e3a44fc1c5a85999475ab,8275254,8275254,0.27198704279561886,0.27198704279561886
case_093,15876,15876,15876,15794,1.0,1.0051918450044321,1.0051918450044321,0.0,0.519184500443215,0.519184500443215,previously_accepted_P3_plan_no_reselection,37f84ac73f276a8bd248823c582d73525cbaa292be0a0043b979bfc55c2e112a,03392a5bdfb3c5d4541c5d35d61401bdcfe9769c6e3e0f0f3a74e10b25e534ec,32768,32768,0.0,0.016891891891891893
