case,best_known_p2_n5,baseline_speedup,loose_lower_bound,largest_bound_term_not_bottleneck,time_to_loose_bound_ratio,possible_relative_reduction_upper_bound,largest_component_fraction,compute_ops,dependency_components,current_best_origin
case_044,131105,1.1777354029213225,16257.6,DDR,8.06422842239937,0.8759955760649861,0.09090909090909091,1364,11,A题研究/solver/runs/full_initial_v1/results/case_044/simple_p2_n5_seed0.json
case_069,25144,1.0,3334.8,M,7.539882451721242,0.8673719376391982,1.0,1032,1,A题研究/solver/runs/full_initial_v1/results/case_069/simple_p2_n5_seed0.json
case_005,95618,1.0,12776.4,M,7.4839547916471,0.8663808069610325,1.0,4113,1,A题研究/solver/runs/full_initial_v1/results/case_005/simple_p2_n5_seed0.json
case_086,118403,1.0,15836.4,M,7.476636104165088,0.8662500105571649,1.0,5274,1,A题研究/solver/runs/full_initial_v1/results/case_086/simple_p2_n5_seed0.json
case_075,1441809,1.0,221504.0,M,6.509178163825484,0.8463707744923218,1.0,7410,1,A题研究/solver/runs/full_initial_v1/results/case_075/simple_p2_n5_seed0.json
case_082,721041,1.0,113587.2,M,6.347907158553077,0.8424677653559229,1.0,4113,1,A题研究/solver/runs/full_initial_v1/results/case_082/simple_p2_n5_seed0.json
case_047,326508,1.0,51874.0,V,6.294251455449744,0.8411248728974481,1.0,13710,1,A题研究/solver/runs/full_initial_v1/results/case_047/simple_p2_n5_seed0.json
case_085,3187899,1.0,513043.2,M,6.213704810822948,0.8390654158114796,1.0,19737,1,A题研究/solver/runs/full_initial_v1/results/case_085/simple_p2_n5_seed0.json
case_003,538381,1.1185610190552786,87758.4,M,6.134808747652647,0.8369957335047113,0.9806020066889632,13455,10,A题研究/solver/runs/full_initial_v1/results/case_003/simple_p2_n5_seed0.json
case_068,302408,1.1973724240099468,49820.2,M,6.069987675681752,0.8352550197084734,0.7804148757241637,5351,32,A题研究/solver/runs/full_initial_v1/results/case_068/simple_p2_n5_seed0.json
case_088,202290,1.2043254733303672,34721.6,M,5.826056402930741,0.8283573088140788,0.8455726805681475,3309,31,A题研究/solver/runs/full_initial_v1/results/case_088/simple_p2_n5_seed0.json
case_002,261945,1.0,48000.0,M,5.4571875,0.8167554257573155,1.0,1798,1,A题研究/solver/runs/full_initial_v1/results/case_002/simple_p2_n5_seed0.json
case_063,1070397,1.0,196320.0,M,5.452307457212714,0.8165914142136048,1.0,7360,1,A题研究/solver/runs/full_initial_v1/results/case_063/simple_p2_n5_seed0.json
case_062,2854809,1.0,523680.0,M,5.45143790100825,0.8165621587994153,1.0,19636,1,A题研究/solver/runs/full_initial_v1/results/case_062/simple_p2_n5_seed0.json
case_056,265710,1.0435625305784502,49190.6,V,5.401641777087493,0.8148711000715065,0.9721281583745767,7678,19,A题研究/solver/runs/full_initial_v1/results/case_056/simple_p2_n5_seed0.json
case_024,2555343,1.0,510959.0,V,5.001072493096315,0.8000428905238944,1.0,5959,1,A题研究/solver/runs/full_initial_v1/results/case_024/simple_p2_n5_seed0.json
