batch,problem,num_cores,seed,planned,verified_complete,all100,status_counts,mean_speedup,median_speedup,minimum_speedup,geometric_mean_speedup,mean_logical_calls,total_official_calls,total_cache_hits,winning_stages,mean_observed_solver_seconds,walltime_note,mean_speedup_at_cap_4,mean_speedup_at_cap_12,mean_speedup_at_cap_24
component_p2_seed17,2,2,17,100,37,False,"{""completed_feasible"": 37, ""pending"": 63}",,,,,,,,,,,,,
component_p2_seed17,2,3,17,100,37,False,"{""completed_feasible"": 37, ""pending"": 63}",,,,,,,,,,,,,
component_p2_seed17,2,4,17,100,36,False,"{""completed_feasible"": 36, ""pending"": 64}",,,,,,,,,,,,,
component_p2_seed17,2,5,17,100,36,False,"{""completed_feasible"": 36, ""pending"": 64}",,,,,,,,,,,,,
full_p1_seed17,1,2,17,100,100,True,"{""completed_feasible"": 100}",1.7479961502684584,1.9629707862397399,1.0,1.6944366209120127,11.52,926,226,"{""component"": 88, ""operation"": 12}",176.049208013335,shared exact-plan cache and concurrent graph jobs; not a cold isolated timing comparison,1.743504351250325,1.7479961502684584,1.7479961502684584
full_p1_seed17,1,3,17,100,100,True,"{""completed_feasible"": 100}",2.374109069796819,2.811785244739,1.0,2.2065883609174852,11.52,1147,5,"{""component"": 89, ""operation"": 11}",184.01573997330036,shared exact-plan cache and concurrent graph jobs; not a cold isolated timing comparison,2.365143520986994,2.374109069796819,2.374109069796819
full_p1_seed17,1,4,17,100,100,True,"{""completed_feasible"": 100}",2.928334955405629,3.4981001138078103,1.0,2.608214926289333,11.52,1152,0,"{""component"": 88, ""operation"": 12}",172.13033503839515,shared exact-plan cache and concurrent graph jobs; not a cold isolated timing comparison,2.9167766765905934,2.928334955405629,2.928334955405629
full_p1_seed17,1,5,17,100,100,True,"{""completed_feasible"": 100}",3.3977254455934673,4.009837090880672,1.0,2.9243564183505715,11.52,928,224,"{""component"": 87, ""operation"": 13}",124.94811237371295,shared exact-plan cache and concurrent graph jobs; not a cold isolated timing comparison,3.377455021342335,3.3977254455934673,3.3977254455934673
full_p2_seed17,2,2,17,100,100,True,"{""completed_feasible"": 100}",2.015231671614166,1.9988839861264942,1.3064516129032258,1.9992346324593366,20.91,1857,234,"{""component"": 37, ""trace"": 54, ""operation"": 9}",92.21633310124045,shared exact-plan cache and concurrent graph jobs; not a cold isolated timing comparison,1.8625645562406574,1.9891275041527587,2.015231671614166
full_p2_seed17,2,3,17,100,100,True,"{""completed_feasible"": 100}",2.8631664611247447,2.951213943561079,1.7424118129614439,2.838220511465912,20.87,2078,9,"{""component"": 35, ""trace"": 55, ""operation"": 10}",93.42880344419274,shared exact-plan cache and concurrent graph jobs; not a cold isolated timing comparison,2.570917235828764,2.779764932988251,2.8631664611247447
full_p2_seed17,2,4,17,100,100,True,"{""completed_feasible"": 100}",3.5566075387241654,3.843123195198075,2.084396467124632,3.484887008823479,20.96,2096,0,"{""component"": 37, ""trace"": 57, ""operation"": 6}",86.46877900294145,shared exact-plan cache and concurrent graph jobs; not a cold isolated timing comparison,3.2095655045771427,3.4480750405722955,3.5566075387241654
full_p2_seed17,2,5,17,100,100,True,"{""completed_feasible"": 100}",4.205800286751564,4.567757192473296,1.8759658842396851,4.081116723984237,21.14,1104,1010,"{""component"": 34, ""trace"": 63, ""operation"": 3}",40.53124539959012,shared exact-plan cache and concurrent graph jobs; not a cold isolated timing comparison,3.7023638635708465,3.9955324281665776,4.205800286751564
full_p3_seed17,3,2,17,100,100,True,"{""completed_feasible"": 100}",2.0365334622559352,2.0029751660264377,1.3123712755732528,2.0210003015120157,21.47,2125,22,"{""component"": 19, ""cache"": 59, ""operation"": 2, ""trace"": 20}",102.25642543375957,shared exact-plan cache and concurrent graph jobs; not a cold isolated timing comparison,1.880445144061587,1.9929912110715722,2.0365334622559352
full_p3_seed17,3,3,17,100,100,True,"{""completed_feasible"": 100}",2.901482495621393,2.9677743531782435,1.766238566016816,2.8759158086691343,21.45,2136,9,"{""component"": 23, ""trace"": 17, ""cache"": 55, ""operation"": 5}",90.43664852831047,shared exact-plan cache and concurrent graph jobs; not a cold isolated timing comparison,2.5964641077912307,2.792720486786809,2.901482495621393
full_p3_seed17,3,4,17,100,100,True,"{""completed_feasible"": 100}",3.6136414812034157,3.889257304834153,2.0894086785441033,3.550147855816862,21.52,2152,0,"{""component"": 23, ""trace"": 22, ""cache"": 50, ""operation"": 5}",85.54000336129567,shared exact-plan cache and concurrent graph jobs; not a cold isolated timing comparison,3.2439401582113154,3.479502602892266,3.6136414812034157
full_p3_seed17,3,5,17,100,100,True,"{""completed_feasible"": 100}",4.343414677145078,4.72746561498798,2.2447158290277125,4.2365950012304125,21.68,2137,31,"{""component"": 17, ""trace"": 11, ""cache"": 70, ""operation"": 2}",80.97717346829594,shared exact-plan cache and concurrent graph jobs; not a cold isolated timing comparison,3.7547127103447315,4.074970604195392,4.343414677145078
