case,largest_component_ops,largest_component_fraction,dependency_layers,work_M,work_V,original_copy_bytes,shared_input_bytes,max_input_component_fanout,compute_ops,tensors,dependency_components,largest_pipe_component_fraction,layer_fraction,dependency_edges_per_op,work_M_fraction,count_M_fraction,shared_input_byte_fraction,extra_component_read_fanout_bytes_ratio,root_ddr_input_unique_bytes,original_copy_to_compute_5core_ratio
case_001,3,0.005,3,232800,30400,1639552,1152,200,600,1202,200,0.005,0.005,0.6666666666666666,0.8844984802431611,0.3333333333333333,0.0014042752379466376,0.2794507723513809,820352,0.5868957617411226
case_002,1798,1.0,24,240000,35928,1224192,0,1,1798,2595,1,1,0.013348164627363738,0.9994438264738599,0.8697921196833956,0.44493882091212456,0,0,1222656,0.42506666666666665
case_003,13194,0.9806020066889632,305,438792,325189,1284264,98304,9,13455,13868,10,0.9354590714938082,0.022668153102935712,1.5265700483091786,0.5743493620914656,0.189520624303233,0.07654703596707754,0.6123762877366203,1284230,0.24390143849477658
case_004,7,0.009009009009009009,6,385614,47952,792576,110592,111,777,1116,111,0.009009009009009009,0.007722007722007722,1,0.8894009216589862,0.42857142857142855,0.24489795918367346,26.93877551020408,451584,0.17128008837853398
case_005,4113,1.0,138,63882,60930,333414,0,1,4113,4298,1,1,0.03355215171407731,1.5215171407731582,0.5118257859821171,0.19839533187454414,0,0,318822,0.4349347233962619
case_006,136,0.20058997050147492,22,18660,69000,543348,43904,8,678,982,27,0.439536231884058,0.032448377581120944,1.0250737463126844,0.21286789869952089,0.08702064896755163,0.08081522059256642,0.16799198916180716,543264,0.6562173913043479
case_007,7,0.0018018018018018018,6,979020,253080,1732608,27648,555,3885,5556,555,0.0018018018018018018,0.0015444015444015444,1,0.7945945945945946,0.42857142857142855,0.031413612565445025,17.403141361256544,880128,0.14747809033523318
case_008,8,0.009259259259259259,8,250128,237168,2654424,0,1,864,1836,108,0.009259259259259259,0.009259259259259259,1.125,0.5132978723404256,0.25,0,0,1990872,0.8843552101324123
case_009,4774,0.8418268383001234,366,65160,119992,495332,24576,8,5671,6376,25,0.6651110074004933,0.06453888203138776,1.4205607476635513,0.35192706533010715,0.17034032798448245,0.049629034277475094,0.34740323994232564,495194,0.344003489121497
case_010,133,0.19940029985007496,62,44610,55496,384150,48384,10,667,889,36,0.518217529191293,0.09295352323838081,1.0494752623688155,0.44562763470721034,0.19640179910044978,0.12597441144767468,0.9448080858575602,384078,0.5768433760991784
case_011,43,0.0625,22,184448,25536,606208,540672,4,688,1056,16,0.0625,0.03197674418604651,0.9767441860465116,0.8783907345321549,0.5116279069767442,1,3,540672,0.27388387693731203
case_012,98,0.10082304526748971,19,35572,32237,554898,29376,12,972,1555,50,0.29461374114472055,0.01954732510288066,1.01440329218107,0.5245911309708151,0.1388888888888889,0.06068217874140666,0.2094130089899524,484096,1.2999409648037783
case_013,8,0.0040650406504065045,4,263712,43296,2527232,8192,246,1968,4190,246,0.0040650406504065045,0.0020325203252032522,0.875,0.8589743589743589,0.5,0.004048582995951417,0.9919028340080972,2023424,0.7986085831007563
