panel,panel_order,selection_rule,reason,case,largest_component_ops,largest_component_fraction,dependency_layers,work_M,work_V,original_copy_bytes,shared_input_bytes,max_input_component_fanout,compute_ops,tensors,dependency_components,largest_pipe_component_fraction,layer_fraction,dependency_edges_per_op,work_M_fraction,count_M_fraction,shared_input_byte_fraction,extra_component_read_fanout_bytes_ratio,root_ddr_input_unique_bytes,original_copy_to_compute_5core_ratio
development12,1,minimum_total_squared_distance_medoid,1008计算节点；52依赖分量，最大分量11.9%；M工作占比69.3%；共享输入字节占比12.7%；输入0.77 MiB；17层,case_052,120,0.11904761904761904,17,141528,62595,810204,102912,12,1008,1606,52,0.07987858455148175,0.016865079365079364,1.0257936507936507,0.6933466586322953,0.17261904761904762,0.12704495064465635,1.0542834710213271,810044,0.4770575433836414
development12,2,maximum_distance_to_previously_selected_structure,1416计算节点；1依赖分量，最大分量100.0%；M工作占比0.0%；共享输入字节占比0.0%；输入0.38 MiB；192层,case_051,1416,1.0,192,0,607080,393218,0,1,1416,1441,1,1,0.13559322033898305,1.1779661016949152,0,0,0,0,393216,0.05397668621378841
development12,3,maximum_distance_to_previously_selected_structure,3920计算节点；80依赖分量，最大分量1.2%；M工作占比88.8%；共享输入字节占比100.0%；输入2.25 MiB；7层,case_021,49,0.0125,7,6192000,783360,3338240,2355200,10,3920,4900,80,0.0125,0.0017857142857142857,0.9795918367346939,0.8876961189099918,0.5102040816326531,1,7.695652173913044,2355200,0.04492678725236865
development12,4,maximum_distance_to_previously_selected_structure,3696计算节点；462依赖分量，最大分量0.2%；M工作占比51.3%；共享输入字节占比0.0%；输入8.12 MiB；8层,case_095,8,0.0021645021645021645,8,1069992,1014552,11355036,0,1,3696,7854,462,0.0021645021645021645,0.0021645021645021645,1.125,0.5132978723404256,0.25,0,0,8516508,0.8843552101324123
development12,5,maximum_distance_to_previously_selected_structure,1024计算节点；8依赖分量，最大分量12.5%；M工作占比95.2%；共享输入字节占比95.6%；输入2.14 MiB；124层,case_078,128,0.125,124,2037888,103296,2345088,2148480,8,1024,1156,8,0.125,0.12109375,1.1796875,0.9517575322812052,0.421875,0.9562467954195863,6.693727567937104,2246784,0.09589535833176308
development12,6,maximum_distance_to_previously_selected_structure,1798计算节点；1依赖分量，最大分量100.0%；M工作占比87.0%；共享输入字节占比0.0%；输入1.17 MiB；24层,case_002,1798,1.0,24,240000,35928,1224192,0,1,1798,2595,1,1,0.013348164627363738,0.9994438264738599,0.8697921196833956,0.44493882091212456,0,0,1222656,0.42506666666666665
development12,7,maximum_distance_to_previously_selected_structure,741计算节点；1依赖分量，最大分量100.0%；M工作占比53.4%；共享输入字节占比0.0%；输入0.11 MiB；46层,case_071,741,1.0,46,12534,10954,121446,0,1,741,816,1,1,0.0620782726045884,1.484480431848853,0.5336341961852861,0.21052631578947367,0,0,111462,0.8074437529918621
development12,8,maximum_distance_to_previously_selected_structure,780计算节点；20依赖分量，最大分量5.0%；M工作占比87.9%；共享输入字节占比100.0%；输入0.51 MiB；6层,case_037,39,0.05,6,209600,28880,614400,532480,5,780,1160,20,0.05,0.007692307692307693,0.9743589743589743,0.8788996980878899,0.5128205128205128,1,3.6153846153846154,532480,0.24427480916030533
development12,9,maximum_distance_to_previously_selected_structure,861计算节点；21依赖分量，最大分量4.8%；M工作占比0.0%；共享输入字节占比0.0%；输入0.25 MiB；12层,case_029,41,0.047619047619047616,12,0,37485,430164,0,1,861,1281,21,0.047619047619047616,0.013937282229965157,1.0731707317073171,0,0,0,0,258132,0.9563025210084034
development12,10,maximum_distance_to_previously_selected_structure,1968计算节点；246依赖分量，最大分量0.4%；M工作占比85.9%；共享输入字节占比0.4%；输入1.93 MiB；4层,case_013,8,0.0040650406504065045,4,263712,43296,2527232,8192,246,1968,4190,246,0.0040650406504065045,0.0020325203252032522,0.875,0.8589743589743589,0.5,0.004048582995951417,0.9919028340080972,2023424,0.7986085831007563
development12,11,maximum_distance_to_previously_selected_structure,3309计算节点；31依赖分量，最大分量84.6%；M工作占比63.5%；共享输入字节占比4.0%；输入1.74 MiB；176层,case_088,2798,0.8455726805681475,176,173608,99744,1829798,73728,4,3309,3811,31,0.9057186304778582,0.05318827440314294,1.42973708068903,0.6351078462934239,0.2085222121486854,0.04029446967585382,0.12088340902756145,1829730,0.8783187794725281
development12,12,maximum_distance_to_previously_selected_structure,1364计算节点；11依赖分量，最大分量9.1%；M工作占比88.2%；共享输入字节占比97.6%；输入0.91 MiB；124层,case_044,124,0.09090909090909091,124,74404,9988,975456,930400,11,1364,1497,11,0.09090909090909091,0.09090909090909091,1.185483870967742,0.8816475495307612,0.4032258064516129,0.9763591792874173,9.763591792874173,952928,1.092521907424332
extension24,1,maximum_distance_to_previously_selected_structure,5120计算节点；40依赖分量，最大分量2.5%；M工作占比84.3%；共享输入字节占比59.3%；输入0.38 MiB；124层,case_089,128,0.025,124,589120,109760,566400,238720,40,5120,5348,40,0.025,0.02421875,1.1796875,0.842948717948718,0.421875,0.5930047694753577,23.12718600953895,402560,0.08011950027159152
extension24,2,maximum_distance_to_previously_selected_structure,7410计算节点；1依赖分量，最大分量100.0%；M工作占比63.2%；共享输入字节占比0.0%；输入1.74 MiB；460层,case_075,7410,1.0,460,1107520,644660,1837190,0,1,7410,7953,1,1,0.0620782726045884,1.5026990553306343,0.6320811788743166,0.21052631578947367,0,0,1819782,0.1382360288452278
extension24,3,maximum_distance_to_previously_selected_structure,8804计算节点；71依赖分量，最大分量1.4%；M工作占比96.1%；共享输入字节占比76.2%；输入4.66 MiB；124层,case_067,124,0.014084507042253521,124,58915232,2360608,6048128,3721600,71,8804,9117,71,0.014084507042253521,0.014084507042253521,1.185483870967742,0.9614757137560253,0.4032258064516129,0.7618635851479182,53.33045096035427,4884864,0.008554844809346871
extension24,4,maximum_distance_to_previously_selected_structure,7008计算节点；288依赖分量，最大分量0.4%；M工作占比0.0%；共享输入字节占比0.0%；输入1.12 MiB；24层,case_020,28,0.003995433789954338,24,0,532608,2359296,0,1,7008,7872,288,0.003995433789954338,0.003424657534246575,1.1506849315068493,0,0,0,0,1179648,0.3691420331651045
extension24,5,maximum_distance_to_previously_selected_structure,3885计算节点；555依赖分量，最大分量0.2%；M工作占比79.5%；共享输入字节占比3.1%；输入0.84 MiB；6层,case_007,7,0.0018018018018018018,6,979020,253080,1732608,27648,555,3885,5556,555,0.0018018018018018018,0.0015444015444015444,1,0.7945945945945946,0.42857142857142855,0.031413612565445025,17.403141361256544,880128,0.14747809033523318
extension24,6,maximum_distance_to_previously_selected_structure,777计算节点；111依赖分量，最大分量0.9%；M工作占比88.9%；共享输入字节占比24.5%；输入0.43 MiB；6层,case_004,7,0.009009009009009009,6,385614,47952,792576,110592,111,777,1116,111,0.009009009009009009,0.007722007722007722,1,0.8894009216589862,0.42857142857142855,0.24489795918367346,26.93877551020408,451584,0.17128008837853398
extension24,7,maximum_distance_to_previously_selected_structure,647计算节点；31依赖分量，最大分量26.3%；M工作占比54.6%；共享输入字节占比15.2%；输入0.17 MiB；79层,case_019,170,0.26275115919629055,79,48436,40276,186984,27168,11,647,854,31,0.4211743331406392,0.12210200927357033,1.0726429675425038,0.5459915231310307,0.19938176197836166,0.15156316247517462,1.4288710865150738,179252,0.3217028656371294
extension24,8,maximum_distance_to_previously_selected_structure,9309计算节点；38依赖分量，最大分量52.7%；M工作占比60.1%；共享输入字节占比35.4%；输入1.36 MiB；202层,case_043,4910,0.5274465570952841,202,517752,343841,1431122,506880,6,9309,10140,38,0.4775666659880584,0.021699430658502526,1.4396820281448062,0.6009241022153151,0.21140831453432163,0.35421482659630077,1.5778660457471578,1430996,0.23034226167483016
extension24,9,maximum_distance_to_previously_selected_structure,4555计算节点；23依赖分量，最大分量88.1%；M工作占比28.0%；共享输入字节占比1.1%；输入0.30 MiB；186层,case_050,4011,0.8805708013172339,186,51968,133411,319376,3456,12,4555,4969,23,0.8734605911330049,0.040834248079034026,1.4500548847420418,0.28033380264215474,0.17145993413830954,0.010823676792984654,0.1190604447228312,319300,0.19949379486449142
extension24,10,maximum_distance_to_previously_selected_structure,3609计算节点；73依赖分量，最大分量7.5%；M工作占比88.8%；共享输入字节占比60.5%；输入3.60 MiB；39层,case_074,269,0.07453588251593239,39,1579424,198420,3776728,2285568,21,3609,4833,73,0.16227698820683398,0.010806317539484621,0.9966749792186201,0.8883929073642007,0.38791909116098644,0.6052022276498887,3.8134247892777933,3776536,0.19926715899804823
extension24,11,maximum_distance_to_previously_selected_structure,7360计算节点；1依赖分量，最大分量100.0%；M工作占比87.0%；共享输入字节占比0.0%；输入4.79 MiB；26层,case_063,7360,1.0,26,981600,147168,5021184,0,1,7360,10629,1,1,0.003532608695652174,0.9998641304347826,0.8696206837897602,0.44456521739130433,0,0,5019648,0.42627546862265686
extension24,12,maximum_distance_to_previously_selected_structure,678计算节点；27依赖分量，最大分量20.1%；M工作占比21.3%；共享输入字节占比8.1%；输入0.52 MiB；22层,case_006,136,0.20058997050147492,22,18660,69000,543348,43904,8,678,982,27,0.439536231884058,0.032448377581120944,1.0250737463126844,0.21286789869952089,0.08702064896755163,0.08081522059256642,0.16799198916180716,543264,0.6562173913043479
extension24,13,maximum_distance_to_previously_selected_structure,864计算节点；108依赖分量，最大分量0.9%；M工作占比51.3%；共享输入字节占比0.0%；输入1.90 MiB；8层,case_008,8,0.009259259259259259,8,250128,237168,2654424,0,1,864,1836,108,0.009259259259259259,0.009259259259259259,1.125,0.5132978723404256,0.25,0,0,1990872,0.8843552101324123
extension24,14,maximum_distance_to_previously_selected_structure,1424计算节点；16依赖分量，最大分量6.2%；M工作占比88.6%；共享输入字节占比100.0%；输入1.76 MiB；45层,case_027,89,0.0625,45,2229120,287232,2039808,1843200,4,1424,2160,16,0.0625,0.03160112359550562,0.9887640449438202,0.8858538074164505,0.5056179775280899,1,3,1843200,0.07625610106230261
extension24,15,maximum_distance_to_previously_selected_structure,600计算节点；200依赖分量，最大分量0.5%；M工作占比88.4%；共享输入字节占比0.1%；输入0.78 MiB；3层,case_001,3,0.005,3,232800,30400,1639552,1152,200,600,1202,200,0.005,0.005,0.6666666666666666,0.8844984802431611,0.3333333333333333,0.0014042752379466376,0.2794507723513809,820352,0.5868957617411226
extension24,16,maximum_distance_to_previously_selected_structure,1728计算节点；1依赖分量，最大分量100.0%；M工作占比53.8%；共享输入字节占比0.0%；输入0.39 MiB；369层,case_048,1728,1.0,369,139536,120060,414790,0,1,1728,2069,1,1,0.21354166666666666,1.4166666666666667,0.5375121342393565,0.21875,0,0,410182,0.24771982379696517
extension24,17,maximum_distance_to_previously_selected_structure,1365计算节点；27依赖分量，最大分量28.5%；M工作占比9.6%；共享输入字节占比0.0%；输入0.67 MiB；51层,case_098,389,0.28498168498168497,51,17296,162701,697994,0,1,1365,1700,27,0.5482879638109169,0.03736263736263736,1.1091575091575092,0.09609049039706218,0.020512820512820513,0,0,697912,0.3575034367746152
extension24,18,maximum_distance_to_previously_selected_structure,1651计算节点；68依赖分量，最大分量1.7%；M工作占比0.0%；共享输入字节占比0.0%；输入0.27 MiB；24层,case_045,28,0.016959418534221685,24,0,125476,557056,0,1,1651,1855,68,0.016959418534221685,0.014536644457904301,1.150817686250757,0,0,0,0,278528,0.3699618519345001
extension24,19,maximum_distance_to_previously_selected_structure,1394计算节点；43依赖分量，最大分量19.7%；M工作占比38.0%；共享输入字节占比16.6%；输入0.42 MiB；52层,case_100,275,0.19727403156384504,52,62556,102007,454598,72192,10,1394,1825,43,0.5600105875087004,0.03730272596843615,1.0796269727403156,0.38013405200439954,0.0781922525107604,0.16557570308665476,1.2259647803011886,436006,0.37137810803833726
extension24,20,maximum_distance_to_previously_selected_structure,5959计算节点；1依赖分量，最大分量100.0%；M工作占比0.0%；共享输入字节占比0.0%；输入0.38 MiB；808层,case_024,5959,1.0,808,0,2554795,393218,0,1,5959,5984,1,1,0.13559322033898305,1.184426917267998,0,0,0,0,393216,0.012826143258721999
extension24,21,maximum_distance_to_previously_selected_structure,3485计算节点；85依赖分量，最大分量1.2%；M工作占比0.0%；共享输入字节占比0.0%；输入1.00 MiB；12层,case_081,41,0.011764705882352941,12,0,151725,1741140,0,1,3485,5185,85,0.011764705882352941,0.003443328550932568,1.0731707317073171,0,0,0,0,1044820,0.9563025210084034
extension24,22,maximum_distance_to_previously_selected_structure,6135计算节点；107依赖分量，最大分量35.0%；M工作占比85.8%；共享输入字节占比79.2%；输入2.08 MiB；136层,case_031,2147,0.34995925020374896,136,1334492,221025,2185040,1731072,10,6135,7365,107,0.2605316140708065,0.022167889160554198,1.1680521597392013,0.8579089781725304,0.3458842705786471,0.79231790261898,6.079124138372955,2184820,0.13644642805402105
extension24,23,maximum_distance_to_previously_selected_structure,3844计算节点；31依赖分量，最大分量3.2%；M工作占比91.9%；共享输入字节占比78.6%；输入1.13 MiB；124层,case_083,124,0.03225806451612903,124,810836,71300,1438304,930400,31,3844,4037,31,0.03225806451612903,0.03225806451612903,1.185483870967742,0.9191734607815575,0.4032258064516129,0.7855772608143525,23.567317824430575,1184352,0.14782109658015513
extension24,24,maximum_distance_to_previously_selected_structure,1098计算节点；18依赖分量，最大分量5.6%；M工作占比93.4%；共享输入字节占比100.0%；输入1.82 MiB；7层,case_080,61,0.05555555555555555,7,289044,20520,1978368,1904640,6,1098,1674,18,0.05555555555555555,0.006375227686703097,0.9836065573770492,0.9337132224677288,0.5081967213114754,1,2.6,1904640,0.5703768284413445
stress4,1,largest_compute_ops_anchor,35705计算节点；1340依赖分量，最大分量0.3%；M工作占比91.3%；共享输入字节占比99.8%；输入9.45 MiB；124层,case_014,124,0.0034729029547682397,124,17225748,1651424,9932740,9893208,38,35705,40287,1340,0.0020271978900422787,0.0034729029547682397,0.9665032908556225,0.9125174046197174,0.45413807589973393,0.998140368294248,16.73846023463322,9911640,0.04805180787117827
stress4,2,maximum_distance_to_previously_selected_structure,17995计算节点；1依赖分量，最大分量100.0%；M工作占比0.0%；共享输入字节占比0.0%；输入0.38 MiB；2440层,case_016,17995,1.0,2440,0,7714975,393218,0,1,17995,18020,1,1,0.13559322033898305,1.1857738260627952,0,0,0,0,393216,0.004247345800429252
stress4,3,maximum_distance_to_previously_selected_structure,19636计算节点；1依赖分量，最大分量100.0%；M工作占比87.0%；共享输入字节占比0.0%；输入12.78 MiB；28层,case_062,19636,1.0,28,2618400,392688,13401600,0,1,19636,28361,1,1,0.001425952332450601,0.9999490731309839,0.8695860101066458,0.44448971277245874,0,0,13400064,0.4265200122212038
stress4,4,maximum_distance_to_previously_selected_structure,11670计算节点；39依赖分量，最大分量84.4%；M工作占比77.9%；共享输入字节占比35.7%；输入2.76 MiB；241层,case_053,9853,0.8443016281062553,241,1212726,344076,2995288,1034752,21,11670,12377,39,0.7755757448935701,0.020651242502142245,1.4704370179948587,0.7789853815706814,0.2337617823479006,0.35719064191668526,3.890921317068692,2896918,0.2058233544373035
