batch,case,problem,num_cores,seed,stage,round,before_time,after_time,evaluations,generation_seconds
full_p1_seed17,case_001,1,2,17,component,0,,116868,4,0.01491320796776563
full_p1_seed17,case_001,1,2,17,operation,0,116868,116868,8,0.009699041955173016
full_p1_seed17,case_001,1,3,17,component,0,,78545,4,0.03540549997705966
full_p1_seed17,case_001,1,3,17,operation,0,78545,78545,8,0.010397667065262794
full_p1_seed17,case_001,1,4,17,component,0,,58984,4,0.04956166702322662
full_p1_seed17,case_001,1,4,17,operation,0,58984,58984,8,0.01066083402838558
full_p1_seed17,case_001,1,5,17,component,0,,47502,4,0.07931420800741762
full_p1_seed17,case_001,1,5,17,operation,0,47502,47502,8,0.011263291002251208
full_p1_seed17,case_002,1,2,17,component,0,,261945,1,0.0021979999728500843
full_p1_seed17,case_002,1,2,17,operation,0,261945,252542,8,0.038727124920114875
full_p1_seed17,case_002,1,3,17,component,0,,261945,1,0.0022370419465005398
full_p1_seed17,case_002,1,3,17,operation,0,261945,171449,8,0.03595916600897908
full_p1_seed17,case_002,1,4,17,component,0,,261945,1,0.002157999901100993
full_p1_seed17,case_002,1,4,17,operation,0,261945,195596,8,0.04004745802376419
full_p1_seed17,case_002,1,5,17,component,0,,261945,1,0.0024448339827358723
full_p1_seed17,case_002,1,5,17,operation,0,261945,179186,8,0.03996762493625283
full_p1_seed17,case_003,1,2,17,component,0,,538381,4,0.18609845906030387
full_p1_seed17,case_003,1,2,17,operation,0,538381,538381,8,0.2384768748888746
full_p1_seed17,case_003,1,3,17,component,0,,538764,4,0.36074170807842165
full_p1_seed17,case_003,1,3,17,operation,0,538764,538764,8,0.3969494589837268
full_p1_seed17,case_003,1,4,17,component,0,,539155,4,0.680460499948822
full_p1_seed17,case_003,1,4,17,operation,0,539155,539155,8,0.4520407500676811
full_p1_seed17,case_004,1,2,17,component,0,,199074,4,0.017056083073839545
full_p1_seed17,case_004,1,2,17,operation,0,199074,199074,8,0.017941458034329116
full_p1_seed17,case_004,1,3,17,component,0,,134043,4,0.03326629102230072
full_p1_seed17,case_004,1,3,17,operation,0,134043,134043,8,0.013436499983072281
full_p1_seed17,case_004,1,4,17,component,0,,104188,4,0.048208207939751446
full_p1_seed17,case_004,1,4,17,operation,0,104188,104188,8,0.014737583929672837
full_p1_seed17,case_004,1,5,17,component,0,,88341,4,0.07031091605313122
full_p1_seed17,case_004,1,5,17,operation,0,88341,88341,8,0.02380970900412649
full_p1_seed17,case_005,1,2,17,component,0,,95618,1,0.006292707985267043
full_p1_seed17,case_005,1,2,17,operation,0,95618,95439,8,0.08427112502977252
full_p1_seed17,case_005,1,3,17,component,0,,95618,1,0.00812937505543232
full_p1_seed17,case_005,1,3,17,operation,0,95618,95618,8,0.08338295808061957
