batch,profile,case,problem,num_cores,compute_ops,size_band,stage,round,generation_seconds,evaluations,strict_time_improvement,before_time,after_time
component_p2_seed17,component,case_002,2,2,1798,02_1001..5000,component,0,0.004809916019439697,1,True,,261945
component_p2_seed17,component,case_002,2,3,1798,02_1001..5000,component,0,0.005992291960865259,1,True,,261945
component_p2_seed17,component,case_002,2,4,1798,02_1001..5000,component,0,0.00597870908677578,1,True,,261945
component_p2_seed17,component,case_002,2,5,1798,02_1001..5000,component,0,0.006120209000073373,1,True,,261945
component_p2_seed17,component,case_001,2,2,600,01_<=1000,component,0,0.04067583300638944,8,True,,116868
component_p2_seed17,component,case_004,2,2,777,01_<=1000,component,0,0.042342041968367994,8,True,,199074
component_p2_seed17,component,case_001,2,3,600,01_<=1000,component,0,0.08443483302835375,12,True,,78545
component_p2_seed17,component,case_004,2,3,777,01_<=1000,component,0,0.07553820800967515,12,True,,134043
component_p2_seed17,component,case_001,2,4,600,01_<=1000,component,0,0.1235253328923136,16,True,,58984
component_p2_seed17,component,case_004,2,4,777,01_<=1000,component,0,0.1131066249217838,16,True,,104188
component_p2_seed17,component,case_001,2,5,600,01_<=1000,component,0,0.1722186249680817,20,True,,47502
component_p2_seed17,component,case_005,2,2,4113,02_1001..5000,component,0,0.012652082950808108,1,True,,95618
component_p2_seed17,component,case_005,2,3,4113,02_1001..5000,component,0,0.012768790940754116,1,True,,95618
component_p2_seed17,component,case_005,2,4,4113,02_1001..5000,component,0,0.012667167000472546,1,True,,95618
component_p2_seed17,component,case_005,2,5,4113,02_1001..5000,component,0,0.012653667014092207,1,True,,95618
component_p2_seed17,component,case_004,2,5,777,01_<=1000,component,0,0.16165366698987782,20,True,,88341
component_p2_seed17,component,case_006,2,2,678,01_<=1000,component,0,0.06863633403554559,24,True,,40612
component_p2_seed17,component,case_007,2,2,3885,02_1001..5000,component,0,0.16970112500712276,8,True,,507494
component_p2_seed17,component,case_006,2,3,678,01_<=1000,component,0,0.0978054580045864,24,True,,31151
component_p2_seed17,component,case_006,2,4,678,01_<=1000,component,0,0.13010391709394753,24,True,,31151
component_p2_seed17,component,case_007,2,3,3885,02_1001..5000,component,0,0.2876845420105383,12,True,,338094
component_p2_seed17,component,case_006,2,5,678,01_<=1000,component,0,0.16631925001274794,24,True,,31151
component_p2_seed17,component,case_008,2,2,864,01_<=1000,component,0,0.0301237910753116,8,True,,244266
component_p2_seed17,component,case_008,2,3,864,01_<=1000,component,0,0.04893945890944451,12,True,,163359
component_p2_seed17,component,case_008,2,4,864,01_<=1000,component,0,0.07900591602083296,16,True,,123060
component_p2_seed17,component,case_007,2,4,3885,02_1001..5000,component,0,0.4272730000084266,16,True,,254398
component_p2_seed17,component,case_008,2,5,864,01_<=1000,component,0,0.10750329098664224,20,True,,100603
component_p2_seed17,component,case_007,2,5,3885,02_1001..5000,component,0,0.5666456249309704,20,True,,203834
component_p2_seed17,component,case_009,2,2,5671,03_5001..10000,component,0,0.23814229108393192,17,True,,92198
component_p2_seed17,component,case_010,2,2,667,01_<=1000,component,0,0.056096083018928766,24,True,,45452
component_p2_seed17,component,case_003,2,2,13455,04_>10000,component,0,0.502717416966334,17,True,,538381
component_p2_seed17,component,case_010,2,3,667,01_<=1000,component,0,0.08782204100862145,24,True,,30183
component_p2_seed17,component,case_010,2,4,667,01_<=1000,component,0,0.11885466706007719,24,True,,29856
component_p2_seed17,component,case_010,2,5,667,01_<=1000,component,0,0.1527287500211969,24,True,,29856
component_p2_seed17,component,case_011,2,2,688,01_<=1000,component,0,0.0633244999917224,14,True,,92646
component_p2_seed17,component,case_011,2,3,688,01_<=1000,component,0,0.1578488340601325,24,True,,69625
component_p2_seed17,component,case_011,2,4,688,01_<=1000,component,0,0.24051349994260818,24,True,,46880
component_p2_seed17,component,case_009,2,3,5671,03_5001..10000,component,0,0.3786690419074148,24,True,,92198
component_p2_seed17,component,case_011,2,5,688,01_<=1000,component,0,0.35806245799176395,24,True,,46880
component_p2_seed17,component,case_012,2,2,972,01_<=1000,component,0,0.0953770000487566,24,True,,26557
component_p2_seed17,component,case_012,2,3,972,01_<=1000,component,0,0.1784095000475645,24,True,,19788
component_p2_seed17,component,case_012,2,4,972,01_<=1000,component,0,0.24624583299737424,24,True,,14747
component_p2_seed17,component,case_012,2,5,972,01_<=1000,component,0,0.303278416977264,24,True,,12452
component_p2_seed17,component,case_013,2,2,1968,02_1001..5000,component,0,0.10153020801953971,8,True,,132198
component_p2_seed17,component,case_009,2,4,5671,03_5001..10000,component,0,0.5215041670016944,24,True,,92198
component_p2_seed17,component,case_013,2,3,1968,02_1001..5000,component,0,0.17277324991300702,12,True,,88351
component_p2_seed17,component,case_013,2,4,1968,02_1001..5000,component,0,0.2686388329602778,16,True,,66982
component_p2_seed17,component,case_013,2,5,1968,02_1001..5000,component,0,0.3681944999843836,20,True,,54363
component_p2_seed17,component,case_009,2,5,5671,03_5001..10000,component,0,0.6651357499649748,24,True,,92198
component_p2_seed17,component,case_015,2,2,1013,02_1001..5000,component,0,0.08919687499292195,24,True,,82923
component_p2_seed17,component,case_015,2,3,1013,02_1001..5000,component,0,0.1421108749927953,24,True,,54804
component_p2_seed17,component,case_015,2,4,1013,02_1001..5000,component,0,0.22346404194831848,24,True,,49885
component_p2_seed17,component,case_015,2,5,1013,02_1001..5000,component,0,0.27276779210660607,24,True,,43242
component_p2_seed17,component,case_016,2,2,17995,04_>10000,component,0,0.05277187505271286,1,True,,7715523
component_p2_seed17,component,case_016,2,3,17995,04_>10000,component,0,0.05202562490012497,1,True,,7715523
component_p2_seed17,component,case_016,2,4,17995,04_>10000,component,0,0.0529589579673484,1,True,,7715523
component_p2_seed17,component,case_016,2,5,17995,04_>10000,component,0,0.05365879100281745,1,True,,7715523
component_p2_seed17,component,case_003,2,3,13455,04_>10000,component,0,0.800644916947931,24,True,,538381
component_p2_seed17,component,case_017,2,2,1373,02_1001..5000,component,0,0.11458166607189924,24,True,,72048
component_p2_seed17,component,case_017,2,3,1373,02_1001..5000,component,0,0.19248866697307676,24,True,,49831
component_p2_seed17,component,case_017,2,4,1373,02_1001..5000,component,0,0.26875658391509205,24,True,,38150
component_p2_seed17,component,case_017,2,5,1373,02_1001..5000,component,0,0.3562630839878693,24,True,,34598
component_p2_seed17,component,case_018,2,2,2727,02_1001..5000,component,0,0.21392662497237325,24,True,,502893
component_p2_seed17,component,case_018,2,3,2727,02_1001..5000,component,0,0.4001235000323504,24,True,,339838
component_p2_seed17,component,case_018,2,4,2727,02_1001..5000,component,0,0.6173445830354467,24,True,,254758
component_p2_seed17,component,case_018,2,5,2727,02_1001..5000,component,0,0.8519308749819174,24,True,,205917
component_p2_seed17,component,case_019,2,2,647,01_<=1000,component,0,0.056703124893829226,24,True,,41077
component_p2_seed17,component,case_019,2,3,647,01_<=1000,component,0,0.08348875003866851,24,True,,27808
component_p2_seed17,component,case_019,2,4,647,01_<=1000,component,0,0.11291933304164559,24,True,,24099
component_p2_seed17,component,case_019,2,5,647,01_<=1000,component,0,0.1492401669966057,24,True,,24099
component_p2_seed17,component,case_003,2,4,13455,04_>10000,component,0,1.0389817910036072,24,True,,538381
component_p2_seed17,component,case_020,2,2,7008,03_5001..10000,component,0,0.15494808298535645,9,True,,266580
component_p2_seed17,component,case_020,2,3,7008,03_5001..10000,component,0,0.2370528751052916,13,True,,177950
component_p2_seed17,component,case_020,2,4,7008,03_5001..10000,component,0,0.3219135000836104,17,True,,133704
component_p2_seed17,component,case_020,2,5,7008,03_5001..10000,component,0,0.5031375419348478,24,True,,107187
component_p2_seed17,component,case_021,2,2,3920,02_1001..5000,component,0,0.16697841696441174,8,True,,3194570
component_p2_seed17,component,case_021,2,3,3920,02_1001..5000,component,0,0.4265626249834895,24,True,,2132650
component_p2_seed17,component,case_003,2,5,13455,04_>10000,component,0,1.2683955000247806,24,True,,538381
component_p2_seed17,component,case_022,2,2,1356,02_1001..5000,component,0,0.09873791690915823,24,True,,28088
component_p2_seed17,component,case_022,2,3,1356,02_1001..5000,component,0,0.16793991706799716,24,True,,18998
