case,compute_ops,all_ops,tensors,edges,compute_dependency_edges,copy_contracted_extra_edges,dependency_components,direct_dependency_components,touch_components,largest_component_ops,largest_component_fraction,largest_touch_component_fraction,singleton_components,largest_component_work_M_fraction,largest_component_work_V_fraction,dependency_layers,max_layer_width,root_compute_ops,sink_compute_ops,work_M,work_V,count_M,count_V,noncopy_other_pipe_ops,compute_critical_path,original_copy_in_bytes,original_copy_out_bytes,root_ddr_input_unique_bytes,root_ddr_input_count,max_root_ddr_input_bytes,max_all_tensor_bytes,shared_ddr_inputs_across_components,shared_ddr_inputs_across_touch_components,max_input_component_fanout,five_core_baseline_lb_M,five_core_baseline_lb_V,five_core_baseline_lb_DDR,five_core_baseline_lb_CP,five_core_whole_component_lb,whole_component_lb_over_baseline_lb,five_core_baseline_lb_dominant
case_001,600,1001,1202,2402,400,0,200,200,1,3,0.005,1.0,0,0.005,0.005,3,200,200,200,232800,30400,200,400,0,1316,820352,819200,820352,201,4096,4096,1,0,200,46560.0,6080.0,27325.866666666665,1316,46560.0,1.0,PIPE_M
case_002,1798,2197,2595,5392,1797,0,1,1,1,1798,1.0,1.0,0,1.0,1.0,24,199,199,1,240000,35928,800,998,0,2976,1222656,1536,1222656,398,4608,4608,0,0,1,48000.0,7185.6,20403.2,2976,240000,5.0,PIPE_M
case_003,13455,13670,13868,36295,20540,0,10,10,2,13194,0.9806020066889632,0.987736900780379,0,0.8732429032434502,0.9354590714938082,305,325,81,17,438792,325189,2550,10905,0,28285,1284230,34,1284230,198,32768,32768,3,0,9,87758.4,65037.8,21404.4,28285,383172,4.366214516217251,PIPE_M
case_004,777,1002,1116,2670,777,0,111,111,1,7,0.009009009009009009,1.0,0,0.009009009009009009,0.009009009009009009,6,222,222,111,385614,47952,333,444,0,2748,451584,340992,451584,114,36864,36864,3,0,111,77122.8,9590.4,13209.6,2748,77122.8,1.0,PIPE_M
case_005,4113,4209,4298,11187,6258,0,1,1,1,4113,1.0,1.0,0,1.0,1.0,138,196,25,7,63882,60930,816,3297,0,6894,318822,14592,318822,89,9216,9216,0,0,1,12776.4,12186.0,5556.9,6894,63882,5.0,PIPE_M
case_006,678,851,982,1995,695,0,27,27,15,136,0.20058997050147492,0.20058997050147492,0,0.1097534833869239,0.439536231884058,22,116,116,42,18660,69000,59,619,0,2836,543264,84,543264,131,16384,16384,13,0,8,3732.0,13800.0,9055.8,2836,30328,2.19768115942029,PIPE_V
case_007,3885,4998,5556,13326,3885,0,555,555,1,7,0.0018018018018018018,1.0,0,0.0018018018018018018,0.0018018018018018018,6,1110,1110,555,979020,253080,1665,2220,0,1632,880128,852480,880128,558,9216,9216,3,0,555,195804.0,50616.0,28876.8,1632,195804.0,1.0,PIPE_M
case_008,864,1404,1836,3348,972,0,108,108,108,8,0.009259259259259259,0.009259259259259259,0,0.009259259259259259,0.009259259259259259,8,108,108,108,250128,237168,216,648,0,4512,1990872,663552,1990872,432,6144,18432,0,0,1,50025.6,47433.6,44240.4,4512,50025.6,1.0,PIPE_M
case_009,5671,6058,6376,15754,8056,0,25,25,18,4774,0.8418268383001234,0.8418268383001234,0,0.5230202578268877,0.6651110074004933,366,217,200,69,65160,119992,966,4705,0,9965,495194,138,495194,318,8192,8192,3,0,8,13032.0,23998.4,8255.533333333333,9965,79808,3.3255550370024665,PIPE_V
case_010,667,796,889,1899,700,0,36,36,16,133,0.19940029985007496,0.27136431784107945,0,0.09038332212508406,0.518217529191293,62,80,80,36,44610,55496,131,536,0,3146,384078,72,384078,93,16384,16384,9,0,10,8922.0,11099.2,6402.5,3146,28759,2.591087645956465,PIPE_V
