config,case,cores,method,call,stage,family,name,status,elapsed_seconds,makespan,added_copy,simulated_l1,simulated_ub,simulated_memory_by_core
case_048_p1_n5,case_048,5,integrated,1,prefix,component,wcc_start0_simple_a1_per_core_lpt_mv,success,,222220,0,36608,17542,"{'0': {'L1': 36608, 'UB': 17542}, '1': {'L1': 0, 'UB': 0}, '2': {'L1': 0, 'UB': 0}, '3': {'L1': 0, 'UB': 0}, '4': {'L1': 0, 'UB': 0}}"
case_048_p1_n5,case_048,5,integrated,2,prefix,partition,selective_whole_critical_path_x1_a5_eft,success,,222220,0,36608,17542,"{'0': {'L1': 36608, 'UB': 17542}, '1': {'L1': 0, 'UB': 0}, '2': {'L1': 0, 'UB': 0}, '3': {'L1': 0, 'UB': 0}, '4': {'L1': 0, 'UB': 0}}"
case_048_p1_n5,case_048,5,integrated,3,prefix,partition,selective_local_quantile_stable_id_x1_a5_eft,success,,222220,0,36608,17542,"{'0': {'L1': 36608, 'UB': 17542}, '1': {'L1': 0, 'UB': 0}, '2': {'L1': 0, 'UB': 0}, '3': {'L1': 0, 'UB': 0}, '4': {'L1': 0, 'UB': 0}}"
case_048_p1_n5,case_048,5,integrated,4,prefix,partition,selective_phase_band_critical_path_x1_a3_eft,success,,222220,0,36608,17542,"{'0': {'L1': 36608, 'UB': 17542}, '1': {'L1': 0, 'UB': 0}, '2': {'L1': 0, 'UB': 0}, '3': {'L1': 0, 'UB': 0}, '4': {'L1': 0, 'UB': 0}}"
case_048_p1_n5,case_048,5,integrated,5,prefix,tensor,tensor4096_cheap256_active5,success,,222220,0,36608,17542,"{'0': {'L1': 36608, 'UB': 17542}, '1': {'L1': 0, 'UB': 0}, '2': {'L1': 0, 'UB': 0}, '3': {'L1': 0, 'UB': 0}, '4': {'L1': 0, 'UB': 0}}"
case_048_p1_n5,case_048,5,integrated,6,prefix,tensor,tensor4096_cheap256_active3,success,,222220,0,36608,17542,"{'0': {'L1': 36608, 'UB': 17542}, '1': {'L1': 0, 'UB': 0}, '2': {'L1': 0, 'UB': 0}, '3': {'L1': 0, 'UB': 0}, '4': {'L1': 0, 'UB': 0}}"
case_048_p1_n5,case_048,5,integrated,7,continuation,joint,p1_joint_r0_phase16_eft_merge8,success,2.536070583970286,178194,581428,23552,15488,"{'0': {'L1': 23552, 'UB': 12292}, '1': {'L1': 14848, 'UB': 15488}, '2': {'L1': 17408, 'UB': 12930}, '3': {'L1': 15360, 'UB': 15040}, '4': {'L1': 17408, 'UB': 12930}}"
case_048_p1_n5,case_048,5,integrated,8,continuation,structure,selective_local_quantile_stable_id_x2_a5_eft,success,2.844970416976139,178194,581428,23552,15488,"{'0': {'L1': 23552, 'UB': 12292}, '1': {'L1': 14848, 'UB': 15488}, '2': {'L1': 17408, 'UB': 12930}, '3': {'L1': 15360, 'UB': 15040}, '4': {'L1': 17408, 'UB': 12930}}"
case_048_p1_n5,case_048,5,integrated,9,continuation,joint,p1_joint_r0_phase8_eft_raw,success,3.2833176250569522,170743,728552,21632,15488,"{'0': {'L1': 21632, 'UB': 10944}, '1': {'L1': 14848, 'UB': 15488}, '2': {'L1': 16384, 'UB': 15040}, '3': {'L1': 8192, 'UB': 10304}, '4': {'L1': 17408, 'UB': 12930}}"
case_048_p1_n5,case_048,5,integrated,10,continuation,legacy,merge256,success,3.53001441701781,170743,728552,21632,15488,"{'0': {'L1': 21632, 'UB': 10944}, '1': {'L1': 14848, 'UB': 15488}, '2': {'L1': 16384, 'UB': 15040}, '3': {'L1': 8192, 'UB': 10304}, '4': {'L1': 17408, 'UB': 12930}}"
case_048_p1_n5,case_048,5,integrated,11,continuation,joint,p1_joint_r0_phase4_eft_raw,success,3.9679735420504585,162275,812186,17408,15488,"{'0': {'L1': 12416, 'UB': 10306}, '1': {'L1': 17408, 'UB': 15040}, '2': {'L1': 8192, 'UB': 8194}, '3': {'L1': 16384, 'UB': 12820}, '4': {'L1': 17408, 'UB': 15488}}"
case_048_p1_n5,case_048,5,integrated,12,continuation,structure,selective_phase_band_critical_path_x2_a3_eft,success,4.157551042037085,162275,812186,17408,15488,"{'0': {'L1': 12416, 'UB': 10306}, '1': {'L1': 17408, 'UB': 15040}, '2': {'L1': 8192, 'UB': 8194}, '3': {'L1': 16384, 'UB': 12820}, '4': {'L1': 17408, 'UB': 15488}}"
case_048_p1_n5,case_048,5,integrated,13,continuation,joint,p1_joint_r0_phase4_eft_raw,success,4.622270042076707,153288,922956,17408,15488,"{'0': {'L1': 13376, 'UB': 12292}, '1': {'L1': 8192, 'UB': 10306}, '2': {'L1': 15360, 'UB': 15040}, '3': {'L1': 16384, 'UB': 12820}, '4': {'L1': 17408, 'UB': 15488}}"
case_048_p1_n5,case_048,5,integrated,14,continuation,legacy,local_duration,success,4.934042250039056,152627,922956,17408,15488,"{'0': {'L1': 14848, 'UB': 15488}, '1': {'L1': 15360, 'UB': 15040}, '2': {'L1': 17408, 'UB': 12930}, '3': {'L1': 5120, 'UB': 2048}, '4': {'L1': 16384, 'UB': 12820}}"
case_048_p1_n5,case_048,5,integrated,15,continuation,joint,p1_joint_r0_phase8_eft_raw,success,5.400952292024158,147470,1098232,16384,15488,"{'0': {'L1': 15360, 'UB': 15040}, '1': {'L1': 8192, 'UB': 10240}, '2': {'L1': 8192, 'UB': 10304}, '3': {'L1': 16384, 'UB': 12820}, '4': {'L1': 14848, 'UB': 15488}}"
case_048_p1_n5,case_048,5,integrated,16,continuation,structure,selective_local_quantile_critical_path_x1_a5_eft,success,5.597034042002633,147470,1098232,16384,15488,"{'0': {'L1': 15360, 'UB': 15040}, '1': {'L1': 8192, 'UB': 10240}, '2': {'L1': 8192, 'UB': 10304}, '3': {'L1': 16384, 'UB': 12820}, '4': {'L1': 14848, 'UB': 15488}}"
case_048_p1_n5,case_048,5,integrated,17,continuation,joint,p1_joint_r0_phase2_eft_raw,success,6.0510158750694245,139592,1151040,16384,15040,"{'0': {'L1': 12416, 'UB': 10306}, '1': {'L1': 8192, 'UB': 10240}, '2': {'L1': 8192, 'UB': 10304}, '3': {'L1': 16384, 'UB': 15040}, '4': {'L1': 13376, 'UB': 12292}}"
case_048_p1_n5,case_048,5,integrated,18,continuation,legacy,local_duration,success,6.366351709002629,139410,1151040,16384,15040,"{'0': {'L1': 12416, 'UB': 10304}, '1': {'L1': 15360, 'UB': 15040}, '2': {'L1': 13376, 'UB': 12292}, '3': {'L1': 5120, 'UB': 2048}, '4': {'L1': 16384, 'UB': 12820}}"
case_048_p1_n5,case_048,5,integrated,19,continuation,joint,p1_joint_r0_phase8_eft_raw,success,6.870254084002227,133562,1271230,16384,12820,"{'0': {'L1': 12416, 'UB': 10306}, '1': {'L1': 13376, 'UB': 12292}, '2': {'L1': 8192, 'UB': 8194}, '3': {'L1': 16384, 'UB': 12820}, '4': {'L1': 8192, 'UB': 10240}}"
case_048_p1_n5,case_048,5,integrated,20,continuation,joint,p1_joint_r0_phase4_eft_raw,success,7.490307084051892,127113,1331468,13376,12292,"{'0': {'L1': 12416, 'UB': 10306}, '1': {'L1': 5120, 'UB': 4160}, '2': {'L1': 8192, 'UB': 10306}, '3': {'L1': 13376, 'UB': 12292}, '4': {'L1': 8192, 'UB': 10304}}"
case_048_p1_n5,case_048,5,integrated,21,continuation,legacy,local_duration,success,7.858074584044516,127113,1331468,13376,12292,"{'0': {'L1': 12416, 'UB': 10306}, '1': {'L1': 5120, 'UB': 4160}, '2': {'L1': 8192, 'UB': 10306}, '3': {'L1': 13376, 'UB': 12292}, '4': {'L1': 8192, 'UB': 10304}}"
case_048_p1_n5,case_048,5,integrated,22,continuation,joint,p1_joint_r0_phase4_eft_raw,success,8.40370270900894,121708,1391956,12416,10306,"{'0': {'L1': 12416, 'UB': 10240}, '1': {'L1': 8192, 'UB': 10306}, '2': {'L1': 8192, 'UB': 10304}, '3': {'L1': 8192, 'UB': 10306}, '4': {'L1': 8192, 'UB': 8192}}"
case_048_p1_n5,case_048,5,integrated,23,continuation,joint,p1_joint_r0_phase2_eft_raw,success,8.921917041996494,121708,1391956,12416,10306,"{'0': {'L1': 12416, 'UB': 10240}, '1': {'L1': 8192, 'UB': 10306}, '2': {'L1': 8192, 'UB': 10304}, '3': {'L1': 8192, 'UB': 10306}, '4': {'L1': 8192, 'UB': 8192}}"
case_048_p1_n5,case_048,5,integrated,24,continuation,legacy,local_duration,success,9.293671500054188,121708,1391956,12416,10306,"{'0': {'L1': 12416, 'UB': 10240}, '1': {'L1': 8192, 'UB': 10306}, '2': {'L1': 8192, 'UB': 10304}, '3': {'L1': 8192, 'UB': 10306}, '4': {'L1': 8192, 'UB': 8192}}"
case_048_p1_n5,case_048,5,joint_tonight,1,prefix,component,wcc_start0_simple_a1_per_core_lpt_mv,success,,222220,0,36608,17542,"{'0': {'L1': 36608, 'UB': 17542}, '1': {'L1': 0, 'UB': 0}, '2': {'L1': 0, 'UB': 0}, '3': {'L1': 0, 'UB': 0}, '4': {'L1': 0, 'UB': 0}}"
case_048_p1_n5,case_048,5,joint_tonight,2,prefix,partition,selective_whole_critical_path_x1_a5_eft,success,,222220,0,36608,17542,"{'0': {'L1': 36608, 'UB': 17542}, '1': {'L1': 0, 'UB': 0}, '2': {'L1': 0, 'UB': 0}, '3': {'L1': 0, 'UB': 0}, '4': {'L1': 0, 'UB': 0}}"
case_048_p1_n5,case_048,5,joint_tonight,3,prefix,partition,selective_local_quantile_stable_id_x1_a5_eft,success,,222220,0,36608,17542,"{'0': {'L1': 36608, 'UB': 17542}, '1': {'L1': 0, 'UB': 0}, '2': {'L1': 0, 'UB': 0}, '3': {'L1': 0, 'UB': 0}, '4': {'L1': 0, 'UB': 0}}"
case_048_p1_n5,case_048,5,joint_tonight,4,prefix,partition,selective_phase_band_critical_path_x1_a3_eft,success,,222220,0,36608,17542,"{'0': {'L1': 36608, 'UB': 17542}, '1': {'L1': 0, 'UB': 0}, '2': {'L1': 0, 'UB': 0}, '3': {'L1': 0, 'UB': 0}, '4': {'L1': 0, 'UB': 0}}"
case_048_p1_n5,case_048,5,joint_tonight,5,prefix,tensor,tensor4096_cheap256_active5,success,,222220,0,36608,17542,"{'0': {'L1': 36608, 'UB': 17542}, '1': {'L1': 0, 'UB': 0}, '2': {'L1': 0, 'UB': 0}, '3': {'L1': 0, 'UB': 0}, '4': {'L1': 0, 'UB': 0}}"
case_048_p1_n5,case_048,5,joint_tonight,6,prefix,tensor,tensor4096_cheap256_active3,success,,222220,0,36608,17542,"{'0': {'L1': 36608, 'UB': 17542}, '1': {'L1': 0, 'UB': 0}, '2': {'L1': 0, 'UB': 0}, '3': {'L1': 0, 'UB': 0}, '4': {'L1': 0, 'UB': 0}}"
case_048_p1_n5,case_048,5,joint_tonight,7,continuation,joint,p1_joint_r0_phase16_eft_merge8,success,2.5368939579930156,178194,581428,23552,15488,"{'0': {'L1': 23552, 'UB': 12292}, '1': {'L1': 14848, 'UB': 15488}, '2': {'L1': 17408, 'UB': 12930}, '3': {'L1': 15360, 'UB': 15040}, '4': {'L1': 17408, 'UB': 12930}}"
case_048_p1_n5,case_048,5,joint_tonight,8,continuation,structure,selective_local_quantile_stable_id_x2_a5_eft,success,2.844942457973957,178194,581428,23552,15488,"{'0': {'L1': 23552, 'UB': 12292}, '1': {'L1': 14848, 'UB': 15488}, '2': {'L1': 17408, 'UB': 12930}, '3': {'L1': 15360, 'UB': 15040}, '4': {'L1': 17408, 'UB': 12930}}"
case_048_p1_n5,case_048,5,joint_tonight,9,continuation,tonight,cpsat_intact_raw,success,3.3768653749721125,178194,581428,23552,15488,"{'0': {'L1': 23552, 'UB': 12292}, '1': {'L1': 14848, 'UB': 15488}, '2': {'L1': 17408, 'UB': 12930}, '3': {'L1': 15360, 'UB': 15040}, '4': {'L1': 17408, 'UB': 12930}}"
case_048_p1_n5,case_048,5,joint_tonight,10,continuation,legacy,merge256,success,3.6268783329287544,178194,581428,23552,15488,"{'0': {'L1': 23552, 'UB': 12292}, '1': {'L1': 14848, 'UB': 15488}, '2': {'L1': 17408, 'UB': 12930}, '3': {'L1': 15360, 'UB': 15040}, '4': {'L1': 17408, 'UB': 12930}}"
