case,method,complete,status,seed_time,best_time,best_copy,candidates,paid_calls,successes,errors,generation_seconds,elapsed_seconds
case_047,legacy,True,completed,159950,158429,3907362,2,2,2,0,2.6636013749521226,9.493372582946904
case_047,beam_small,True,completed,159950,159787,3966906,1,1,1,0,0.25524595798924565,4.048675999976695
case_047,cpsat_small,True,completed,159950,159950,3887038,1,1,1,0,18.020559333031997,21.710373000008985
case_047,beam_large,True,completed,159950,159745,4006080,1,1,1,0,0.28430941700935364,3.7977397920330986
case_047,multilevel,True,completed,159950,159135,4006080,1,1,1,0,0.5574121669633314,4.175451125018299
case_075,legacy,True,completed,422465,422465,10638860,2,2,2,0,1.3470627500209957,5.881302666966803
case_075,beam_small,True,completed,422465,422465,10638860,2,2,2,0,0.5736270000925288,5.284529916010797
case_075,cpsat_small,True,completed,422465,422465,10638860,2,2,2,0,17.98836608300917,22.88575087499339
case_075,beam_large,True,completed,422465,422465,10638860,2,2,2,0,0.31562529201619327,5.0349960420280695
case_075,multilevel,True,completed,422465,422465,10638860,1,1,1,0,1.0213889579754323,3.5299862500978634
case_085,legacy,True,completed,873645,873645,23398256,2,2,2,0,4.254068458918482,16.568712457898073
case_085,beam_small,True,completed,873645,873645,23398256,1,1,1,0,0.43544995796401054,6.971357374917716
case_085,cpsat_small,True,completed,873645,873645,23398256,1,1,1,0,18.058160625048913,23.957648165989667
case_085,beam_large,True,completed,873645,873645,23398256,1,1,1,0,0.46716716594528407,7.246879708021879
case_085,multilevel,True,completed,873645,873645,23398256,1,1,1,0,1.024958207970485,8.027131374925375
