case,a,b,proxy_delta,actual_delta,relation
case_047,beam_large_merge8_active,beam_small_merge8_active,688.899999999936,-42,inverted
case_047,beam_large_merge8_active,cpsat_small_merge8_active,-350.6666666667152,-262,concordant
case_047,beam_large_merge8_active,p1_joint_r0_phase2_eft_raw,3877.0333333332383,1316,concordant
case_047,beam_large_merge8_active,p1_joint_r0_tensor_cap0.25_eft_raw,1362.8333333332557,-832,inverted
case_047,beam_large_merge8_active,multilevel_merge8_active,654.2999999999302,610,concordant
case_047,beam_small_merge8_active,cpsat_small_merge8_active,-1039.5666666666511,-220,concordant
case_047,beam_small_merge8_active,p1_joint_r0_phase2_eft_raw,3188.1333333333023,1358,concordant
case_047,beam_small_merge8_active,p1_joint_r0_tensor_cap0.25_eft_raw,673.9333333333198,-790,inverted
case_047,beam_small_merge8_active,multilevel_merge8_active,-34.60000000000582,652,inverted
case_047,cpsat_small_merge8_active,p1_joint_r0_phase2_eft_raw,4227.699999999953,1578,concordant
case_047,cpsat_small_merge8_active,p1_joint_r0_tensor_cap0.25_eft_raw,1713.499999999971,-570,inverted
case_047,cpsat_small_merge8_active,multilevel_merge8_active,1004.9666666666453,872,concordant
case_047,p1_joint_r0_phase2_eft_raw,p1_joint_r0_tensor_cap0.25_eft_raw,-2514.1999999999825,-2148,concordant
case_047,p1_joint_r0_phase2_eft_raw,multilevel_merge8_active,-3222.733333333308,-706,concordant
case_047,p1_joint_r0_tensor_cap0.25_eft_raw,multilevel_merge8_active,-708.5333333333256,1442,inverted
case_075,beam_large_raw,beam_large_merge8_active,-1163.666666666686,-1935,concordant
case_075,beam_large_raw,beam_small_raw,2449.2333333333954,-587,inverted
case_075,beam_large_raw,beam_small_merge8_active,1623.766666666721,-494,inverted
case_075,beam_large_raw,cpsat_small_merge8_active,351.9000000000815,-1114,inverted
case_075,beam_large_raw,cpsat_small_raw,-125.69999999995343,-850,concordant
case_075,beam_large_raw,p1_joint_r0_phase2_eft_raw,7207.866666666698,2332,concordant
case_075,beam_large_raw,p1_joint_r0_phase4_eft_raw,6623.233333333337,1714,concordant
case_075,beam_large_raw,multilevel_merge8_active,-416.19999999995343,-391,concordant
case_075,beam_large_merge8_active,beam_small_raw,3612.9000000000815,1348,concordant
case_075,beam_large_merge8_active,beam_small_merge8_active,2787.433333333407,1441,concordant
case_075,beam_large_merge8_active,cpsat_small_merge8_active,1515.5666666667676,821,concordant
case_075,beam_large_merge8_active,cpsat_small_raw,1037.9666666667326,1085,concordant
case_075,beam_large_merge8_active,p1_joint_r0_phase2_eft_raw,8371.533333333384,4267,concordant
case_075,beam_large_merge8_active,p1_joint_r0_phase4_eft_raw,7786.900000000023,3649,concordant
case_075,beam_large_merge8_active,multilevel_merge8_active,747.4666666667326,1544,concordant
