case,method,name,makespan,proxy,task_count,added_copy,spill_copy,local_task_replay,memory_peak_by_core,memory_l1,memory_ub,ddr_max_active,estimated_copy,record_path,parent_time,parent_proxy,time_delta,proxy_delta,copy_delta,task_delta,l1_delta,ub_delta,local_task_replay_delta,observed_minus_local_replay
case_047,beam_large,beam_large_merge8_active,159745,156008.56666666665,768,4006080,0,173349,"{'0': {'L1': 8256, 'UB': 21744}, '1': {'L1': 8192, 'UB': 8512}, '2': {'L1': 12800, 'UB': 24866}, '3': {'L1': 13824, 'UB': 23328}, '4': {'L1': 12288, 'UB': 6144}}",13824,24866,10,4317728,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_047/beam_large/evaluations/call_01/attempts/20260926T173143-6aa164f76f84420faec4a31a1be42b6e/record.json,159950,153910.0666666667,-205,2098.499999999942,119042,34,0,0,-3232,-13604
case_047,beam_small,beam_small_merge8_active,159787,155319.66666666672,750,3966906,0,173439,"{'0': {'L1': 8256, 'UB': 21744}, '1': {'L1': 8192, 'UB': 8512}, '2': {'L1': 12800, 'UB': 24866}, '3': {'L1': 13824, 'UB': 23328}, '4': {'L1': 12288, 'UB': 6208}}",13824,24866,10,4254400,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_047/beam_small/evaluations/call_01/attempts/20260926T173134-131048dd6d5f4ded8a390f83798894fa/record.json,159950,153910.0666666667,-163,1409.6000000000058,79868,16,0,0,-3142,-13652
case_047,cpsat_small,cpsat_small_merge8_active,160007,156359.23333333337,750,3966906,0,175084,"{'0': {'L1': 8256, 'UB': 21744}, '1': {'L1': 8192, 'UB': 8512}, '2': {'L1': 12800, 'UB': 24866}, '3': {'L1': 13824, 'UB': 23328}, '4': {'L1': 12288, 'UB': 6144}}",13824,24866,10,4254400,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_047/cpsat_small/evaluations/call_01/attempts/20260926T173155-afc869e0f846431e8d3a8767786773b4/record.json,159950,153910.0666666667,57,2449.166666666657,79868,16,0,0,-1497,-15077
case_047,legacy,p1_joint_r0_phase2_eft_raw,158429,152131.5333333334,749,3907362,0,174604,"{'0': {'L1': 8256, 'UB': 21744}, '1': {'L1': 8192, 'UB': 21744}, '2': {'L1': 12800, 'UB': 24866}, '3': {'L1': 12288, 'UB': 20000}, '4': {'L1': 13824, 'UB': 23328}}",13824,24866,7,4169504,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_047/legacy/evaluations/call_01/attempts/20260926T173136-7da47a9f404143eab37aa6db1f82d175/record.json,159950,153910.0666666667,-1521,-1778.5333333332965,20324,15,0,0,-1977,-16175
case_047,legacy,p1_joint_r0_tensor_cap0.25_eft_raw,160577,154645.7333333334,734,3887038,0,177722,"{'0': {'L1': 8256, 'UB': 21744}, '1': {'L1': 11264, 'UB': 6144}, '2': {'L1': 12800, 'UB': 24866}, '3': {'L1': 13824, 'UB': 23328}, '4': {'L1': 12288, 'UB': 20000}}",13824,24866,10,4129728,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_047/legacy/evaluations/call_02/attempts/20260926T173139-7879394904b1415ca0fcd9d64f1dd08b/record.json,159950,153910.0666666667,627,735.6666666666861,0,0,0,0,1141,-17145
case_047,multilevel,multilevel_merge8_active,159135,155354.26666666672,768,4006080,0,173349,"{'0': {'L1': 8256, 'UB': 21744}, '1': {'L1': 8192, 'UB': 8512}, '2': {'L1': 12800, 'UB': 24866}, '3': {'L1': 13824, 'UB': 23328}, '4': {'L1': 12288, 'UB': 6144}}",13824,24866,10,4317728,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_047/multilevel/evaluations/call_01/attempts/20260926T173147-1358512569bb4c45af5683d4b4b1cec1/record.json,159950,153910.0666666667,-815,1444.2000000000116,119042,34,0,0,-3232,-14214
case_075,beam_large,beam_large_raw,425951,394353.5999999994,986,10911244,0,429612,"{'0': {'L1': 24576, 'UB': 16384}, '1': {'L1': 24576, 'UB': 16384}, '2': {'L1': 24576, 'UB': 16384}, '3': {'L1': 24576, 'UB': 16384}, '4': {'L1': 24576, 'UB': 16384}}",24576,16384,8,11331168,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_075/beam_large/evaluations/call_01/attempts/20260926T173202-97b57c79ed3c41afb34079266dad05c6/record.json,422465,389382.09999999934,3486,4971.500000000058,272384,34,0,0,2666,-3661
case_075,beam_large,beam_large_merge8_active,427886,395517.2666666661,983,10894860,0,429887,"{'0': {'L1': 24576, 'UB': 16384}, '1': {'L1': 24576, 'UB': 16384}, '2': {'L1': 24576, 'UB': 16384}, '3': {'L1': 24576, 'UB': 16384}, '4': {'L1': 24576, 'UB': 16384}}",24576,16384,8,11306592,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_075/beam_large/evaluations/call_02/attempts/20260926T173204-17f947ef2b224fd89551234011b3603e/record.json,422465,389382.09999999934,5421,6135.166666666744,256000,31,0,0,2941,-2001
case_075,beam_small,beam_small_raw,426538,391904.366666666,968,10767500,0,428467,"{'0': {'L1': 24576, 'UB': 16384}, '1': {'L1': 24576, 'UB': 16384}, '2': {'L1': 24576, 'UB': 16384}, '3': {'L1': 24576, 'UB': 16384}, '4': {'L1': 24576, 'UB': 16384}}",24576,16384,8,11151840,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_075/beam_small/evaluations/call_01/attempts/20260926T173157-02f956d657544ba8b9e656c547e61ee6/record.json,422465,389382.09999999934,4073,2522.266666666663,128640,16,0,0,1521,-1929
case_075,beam_small,beam_small_merge8_active,426445,392729.8333333327,966,10755212,0,428847,"{'0': {'L1': 24576, 'UB': 16384}, '1': {'L1': 24576, 'UB': 16384}, '2': {'L1': 24576, 'UB': 16384}, '3': {'L1': 24576, 'UB': 16384}, '4': {'L1': 24576, 'UB': 16384}}",24576,16384,8,11135456,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_075/beam_small/evaluations/call_02/attempts/20260926T173159-d711e070a0864a4894ed09e256417d15/record.json,422465,389382.09999999934,3980,3347.733333333337,116352,14,0,0,1901,-2402
