case,method,name,predicted,status,makespan,added_copy,seconds,record_path
case_047,legacy,p1_joint_r0_phase2_eft_raw,152131.5333333334,success,158429,3907362,3.2325822500279173,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_047/legacy/evaluations/call_01/attempts/20260926T173136-7da47a9f404143eab37aa6db1f82d175/record.json
case_047,legacy,p1_joint_r0_tensor_cap0.25_eft_raw,154645.7333333334,success,160577,3887038,3.189613541937433,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_047/legacy/evaluations/call_02/attempts/20260926T173139-7879394904b1415ca0fcd9d64f1dd08b/record.json
case_047,beam_small,beam_small_merge8_active,155319.66666666672,success,159787,3966906,3.38812737504486,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_047/beam_small/evaluations/call_01/attempts/20260926T173134-131048dd6d5f4ded8a390f83798894fa/record.json
case_047,cpsat_small,cpsat_small_merge8_active,156359.23333333337,success,160007,3966906,3.5882211250718683,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_047/cpsat_small/evaluations/call_01/attempts/20260926T173155-afc869e0f846431e8d3a8767786773b4/record.json
case_047,beam_large,beam_large_merge8_active,156008.56666666665,success,159745,4006080,3.413871540920809,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_047/beam_large/evaluations/call_01/attempts/20260926T173143-6aa164f76f84420faec4a31a1be42b6e/record.json
case_047,multilevel,multilevel_merge8_active,155354.26666666672,success,159135,4006080,3.509014750015922,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_047/multilevel/evaluations/call_01/attempts/20260926T173147-1358512569bb4c45af5683d4b4b1cec1/record.json
case_075,legacy,p1_joint_r0_phase2_eft_raw,387145.7333333327,success,423619,10671628,2.181552082998678,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_075/legacy/evaluations/call_01/attempts/20260926T173152-23debda573b34265a747ca106bf2f543/record.json
case_075,legacy,p1_joint_r0_phase4_eft_raw,387730.36666666606,success,424237,10679820,2.2884075839538127,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_075/legacy/evaluations/call_02/attempts/20260926T173154-1691f93ed72e4a2c9c7acbf8af56bda1/record.json
case_075,beam_small,beam_small_raw,391904.366666666,success,426538,10767500,2.319161249906756,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_075/beam_small/evaluations/call_01/attempts/20260926T173157-02f956d657544ba8b9e656c547e61ee6/record.json
case_075,beam_small,beam_small_merge8_active,392729.8333333327,success,426445,10755212,2.3174350829795003,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/run_v1/arms/case_075/beam_small/evaluations/call_02/attempts/20260926T173159-d711e070a0864a4894ed09e256417d15/record.json
