rank,case,baseline_makespan,priority_group,source_task,target_task,source_core,target_core,source_op,target_op,pair_compute_edges,source_task_compute_ops,target_task_compute_ops,producer_op_end,producer_task_end,consumer_op_start,consumer_task_start,compute_to_task_tail_cycles,task_dependency_wait_cycles,source_task_last_compute_end,source_remaining_compute_tail_cycles,source_post_compute_task_tail_cycles,source_compute_ops_ending_later,source_later_compute_examples,producer_task_release,latest_dependency_release,other_dependency_release,consumer_core_available,consumer_previous_core_task,consumer_core_idle_to_start,source_release_wait_after_core_ready,core_ready_after_source_release,consumer_on_observed_release_chain,producer_on_observed_release_chain,producer_is_latest_dependency,core_masks_source_release,other_dependency_masks_source_release,data_edge_tight_on_observed_chain,unexplained_consumer_start_gap,optimistic_opportunity_proxy_cycles,witness_scope
1,case_047,159950,0,630,637,1,0,12007,12008,10,268,44,135718,138617,139625,139617,2899,1000,138210,2492,407,135,12140;12053;12066;12142;12144,139617,139617,136146,136794,649,2823,2823,0,True,True,True,False,False,True,0,2823,latest required compute across this Task pair; COPY_OUT readiness unknown
2,case_047,159950,0,289,303,0,4,7816,7817,10,268,44,85427,88445,89451,89445,3018,1000,87919,2492,526,135,7949;7862;7875;7951;7953,89445,89445,85619,87597,265,1848,1848,0,True,True,True,False,False,True,0,1848,latest required compute across this Task pair; COPY_OUT readiness unknown
3,case_047,159950,0,189,192,2,4,5182,5183,10,220,44,53094,54869,55871,55869,1775,1000,54223,1129,646,49,5228;5241;5230;5242;5248,55869,55869,51068,49596,180,6273,6273,0,True,True,True,False,False,True,0,1775,latest required compute across this Task pair; COPY_OUT readiness unknown
4,case_047,159950,0,138,141,2,0,3705,3706,10,269,45,38916,41179,42187,42179,2263,1000,40785,1869,394,93,3912;3751;3914;3764;3916,42179,42179,39489,41291,148,888,888,0,True,True,True,False,False,True,0,888,latest required compute across this Task pair; COPY_OUT readiness unknown
5,case_047,159950,0,230,248,3,0,5719,6114,3,83,47,69548,70204,71813,71204,656,1000,70049,501,155,25,6145;6146;6128;6298;6139,71204,71204,69484,63864,204,7340,7340,0,True,True,True,False,False,True,0,656,latest required compute across this Task pair; COPY_OUT readiness unknown
6,case_047,159950,0,33,35,0,3,83,123,6,30,6,1879,2411,3654,3411,532,1000,2294,415,117,6,699;704;709;710;711,3411,3411,0,495,17,2916,2916,0,True,True,True,False,False,True,0,532,latest required compute across this Task pair; COPY_OUT readiness unknown
7,case_047,159950,0,695,719,2,1,13618,13627,15,96,31,151539,151884,153133,152884,345,1000,151875,336,9,5,12704;13283;13285;12701;13282,152884,152884,0,148912,723,3972,3972,0,True,True,True,False,False,True,0,345,latest required compute across this Task pair; COPY_OUT readiness unknown
8,case_047,159950,0,393,394,0,2,8456,8457,2,7,8,94441,94783,95802,95783,342,1000,94753,312,30,2,8295;8296,95783,95783,94561,95060,294,723,723,0,True,True,True,False,False,True,0,342,latest required compute across this Task pair; COPY_OUT readiness unknown
9,case_047,159950,0,103,104,2,0,1966,1967,12,106,46,23047,23342,24365,24342,295,1000,23220,173,122,8,2124;2132;2140;2141;2142,24342,24342,22353,22579,109,1763,1763,0,True,True,True,False,False,True,0,295,latest required compute across this Task pair; COPY_OUT readiness unknown
10,case_047,159950,0,188,189,3,2,4294,4902,2,8,220,48955,49201,50913,50201,246,1000,49183,228,18,3,4322;4903;4310,50201,50201,49888,46852,163,3349,3349,0,True,True,True,False,False,True,0,246,latest required compute across this Task pair; COPY_OUT readiness unknown
11,case_047,159950,0,186,188,0,3,4254,4310,1,7,8,47567,47794,49107,48794,227,1000,47719,152,75,2,4308;4309,48794,48794,47988,48088,184,706,706,0,True,True,True,False,False,True,0,227,latest required compute across this Task pair; COPY_OUT readiness unknown
