case,problem,cores,makespan,added_copy,original_singlecore,speedup,source,source_plan,plan,verification
case_001,1,1,233110,0,233110,1.0,team13,A题研究/直接迭代/第十三轮成果/方案/p1/n1/case_001_multicore_res.json,plans/p1/n1/case_001_multicore_res.json,inherited_team13_success
case_001,1,2,116868,1152,233110,1.9946435294520313,team13,A题研究/直接迭代/第十三轮成果/方案/p1/n2/case_001_multicore_res.json,plans/p1/n2/case_001_multicore_res.json,inherited_team13_success
case_001,1,3,78545,2304,233110,2.9678528232223567,team13,A题研究/直接迭代/第十三轮成果/方案/p1/n3/case_001_multicore_res.json,plans/p1/n3/case_001_multicore_res.json,inherited_team13_success
case_001,1,4,58984,3456,233110,3.952088702020887,team13,A题研究/直接迭代/第十三轮成果/方案/p1/n4/case_001_multicore_res.json,plans/p1/n4/case_001_multicore_res.json,inherited_team13_success
case_001,1,5,47502,4608,233110,4.9073723211654245,team13,A题研究/直接迭代/第十三轮成果/方案/p1/n5/case_001_multicore_res.json,plans/p1/n5/case_001_multicore_res.json,inherited_team13_success
case_001,2,1,233110,0,233110,1.0,team13,A题研究/直接迭代/第十三轮成果/方案/p2/n1/case_001_multicore_res.json,plans/p2/n1/case_001_multicore_res.json,inherited_team13_success
case_001,2,2,116868,1152,233110,1.9946435294520313,team13,A题研究/直接迭代/第十三轮成果/方案/p2/n2/case_001_multicore_res.json,plans/p2/n2/case_001_multicore_res.json,inherited_team13_success
case_001,2,3,78545,2304,233110,2.9678528232223567,team13,A题研究/直接迭代/第十三轮成果/方案/p2/n3/case_001_multicore_res.json,plans/p2/n3/case_001_multicore_res.json,inherited_team13_success
case_001,2,4,58984,3456,233110,3.952088702020887,team13,A题研究/直接迭代/第十三轮成果/方案/p2/n4/case_001_multicore_res.json,plans/p2/n4/case_001_multicore_res.json,inherited_team13_success
case_001,2,5,47502,4608,233110,4.9073723211654245,team13,A题研究/直接迭代/第十三轮成果/方案/p2/n5/case_001_multicore_res.json,plans/p2/n5/case_001_multicore_res.json,inherited_team13_success
case_001,3,1,233110,0,233110,1.0,team13,A题研究/直接迭代/第十三轮成果/方案/p3/n1/case_001_multicore_res.json,plans/p3/n1/case_001_multicore_res.json,inherited_team13_success
case_001,3,2,116868,1152,233110,1.9946435294520313,team13,A题研究/直接迭代/第十三轮成果/方案/p3/n2/case_001_multicore_res.json,plans/p3/n2/case_001_multicore_res.json,inherited_team13_success
case_001,3,3,78545,2304,233110,2.9678528232223567,team13,A题研究/直接迭代/第十三轮成果/方案/p3/n3/case_001_multicore_res.json,plans/p3/n3/case_001_multicore_res.json,inherited_team13_success
case_001,3,4,58984,3456,233110,3.952088702020887,team13,A题研究/直接迭代/第十三轮成果/方案/p3/n4/case_001_multicore_res.json,plans/p3/n4/case_001_multicore_res.json,inherited_team13_success
case_001,3,5,47502,4608,233110,4.9073723211654245,team13,A题研究/直接迭代/第十三轮成果/方案/p3/n5/case_001_multicore_res.json,plans/p3/n5/case_001_multicore_res.json,inherited_team13_success
case_002,1,1,261945,0,261945,1.0,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/远端P1恢复437_v1/plans/p1/n1/case_002.json,plans/p1/n1/case_002_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match
case_002,1,2,132881,56832,261945,1.9712750506091916,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/远端P1恢复437_v1/plans/p1/n2/case_002.json,plans/p1/n2/case_002_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match
case_002,1,3,116122,1701888,261945,2.2557740996538125,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/远端P1恢复437_v1/plans/p1/n3/case_002.json,plans/p1/n3/case_002_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match
case_002,1,4,83979,1692672,261945,3.1191726503054333,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/远端P1恢复437_v1/plans/p1/n4/case_002.json,plans/p1/n4/case_002_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match
