case,ops,wcc,max_wcc_ops,largest_component_work_fraction,branch_ops,join_ops,edges,root_input_bytes,tensor_bytes,compute_cycles,pipe_m_fraction,root_cycles_to_fivecore_work
case_001,600,200,3,0.005,0,0,400,820352,4917504,263200,0.8844984802431611,0.25973657548125634
case_002,1798,1,1798,1.0,0,198,1797,1222656,5208576,275928,0.8697921196833956,0.36925574787625753
case_003,13455,10,13194,0.8997252549474398,3640,7166,20540,1284230,10353812,763981,0.5743493620914656,0.14008092696895166
case_004,777,111,7,0.009009009009009009,111,222,777,451584,5336064,433566,0.8894009216589862,0.08679647389324809
case_005,4113,1,4113,1.0,1166,2170,6258,318822,3550860,124812,0.5118257859821171,0.21286815370316955
case_006,678,27,136,0.3459730778005932,26,133,695,543264,3709238,87660,0.21286789869952089,0.5164499201460186
case_007,3885,555,7,0.0018018018018018018,555,1110,3885,880128,12842496,1232100,0.7945945945945946,0.059527635743851955
case_008,864,108,8,0.009259259259259259,216,216,972,1990872,15303600,487296,0.5132978723404256,0.34046247044917255
case_009,5671,25,4774,0.6151054268924991,1435,2585,8056,495194,3302976,185152,0.35192706533010715,0.22287723960133657
case_010,667,36,133,0.2872854773939624,58,113,700,384078,2941496,100106,0.44562763470721034,0.3197260903442351
case_011,688,16,43,0.0625,0,336,672,540672,3964928,209984,0.8783907345321549,0.21456872904602256
case_012,972,50,98,0.17357577902638294,44,209,986,484096,2046444,67809,0.5245911309708151,0.5949259439504098
case_013,1968,246,8,0.0040650406504065045,0,738,1722,2023424,8581120,307008,0.8589743589743589,0.5492321589882565
case_014,35705,1340,124,0.0020250384962323805,144,14725,34509,9911640,193330034,18877172,0.9125174046197174,0.04375496499157819
case_015,1013,46,145,0.14846521475796148,68,222,1063,884482,5017738,196477,0.4834153615944869,0.3751422982503465
case_016,17995,1,17995,1.0,304,3355,21338,393216,360593104,7714975,0.0,0.004247324197421249
case_017,1373,60,162,0.04665864275992396,60,288,1428,535118,3039622,177802,0.622040247016344,0.2508023906742706
case_018,2727,126,59,0.026754276320948,52,1010,2653,1592596,12182654,1084051,0.8960095050878603,0.12242628191232084
case_019,647,31,170,0.27186851835151954,78,104,694,179252,1707988,88712,0.5459915231310307,0.16838383382932035
case_020,7008,288,28,0.003995433789954338,1344,1344,8064,1179648,32243712,532608,0.0,0.18457101658255226
case_021,3920,80,49,0.0125,0,1920,3840,2355200,53862400,6975360,0.8876961189099918,0.02813713796372756
case_022,1356,32,183,0.12212528384354032,91,276,1483,213540,2237688,58571,0.07655665773164194,0.3038192962387529
case_023,1011,43,127,0.07332520948985272,142,207,1123,434122,2982630,132942,0.4767793473845737,0.27212493668918275
case_024,5959,1,5959,1.0,100,1111,7058,393216,119935528,2554795,0.0,0.012826078021915653
case_025,18662,2666,7,0.00037509377344336085,2666,5332,18662,4122624,61479936,5918520,0.7945945945945946,0.05804694416847454
case_026,636,31,198,0.3652827487473157,42,119,679,488886,4254342,111760,0.3667859699355762,0.3645356120257695
case_027,1424,16,89,0.0625,0,704,1408,1843200,21381120,2516352,0.8858538074164505,0.0610407446970853
case_028,19584,153,128,0.006535947712418301,3672,3672,23103,4028544,104410368,40950144,0.9517575322812052,0.00819806640972984
case_029,861,21,41,0.047619047619047616,42,231,924,258132,1549338,37485,0.0,0.5738562091503268
case_030,10070,486,57,0.007273893585968281,0,3986,9584,2393088,45791096,3183302,0.8722012551746583,0.06264689935167948
case_031,6135,107,2147,0.07235922204643215,749,2690,7166,2184820,20168404,1555517,0.8579089781725304,0.11704682966070658
case_032,827,25,189,0.21542643560992183,30,180,870,279156,1537524,44145,0.22992411371616264,0.526967946539812
case_033,3465,95,64,0.02141759758352212,65,1411,3437,2889776,24461520,1920150,0.899985938598547,0.12541450754715344
case_034,3745,155,94,0.0186756712098937,64,1320,3691,2279984,16713330,944116,0.7935041880446895,0.2012450447473262
case_035,3857,16,2430,0.5982794843304982,750,1434,5067,396878,4771216,206101,0.30175496479881225,0.16047067538084078
case_036,2400,800,3,0.00125,0,0,1600,3277952,19663104,1052800,0.8844984802431611,0.2594630192502533
case_037,780,20,39,0.05,0,380,760,532480,4341760,238480,0.8788996980878899,0.18606731521860673
case_038,5907,130,116,0.019798013901616854,78,2542,5855,2794506,20021784,1492776,0.8876080537200491,0.15600163721817606
case_039,5250,70,75,0.014285714285714285,0,2590,5180,4202496,30195712,1476300,0.9333333333333333,0.23722007722007724
case_040,3083,28,2194,0.47310419416706134,662,1262,4149,911174,9653756,297723,0.376094557692889,0.2550396397546265
case_041,16594,494,182,0.0048825232700650005,8,7120,16140,4948992,70537108,6502990,0.9065429902244967,0.06341944244109247
case_042,4733,104,258,0.030899094954692945,26,2011,4687,2364192,24034948,1825102,0.8761570586191895,0.10794793934804738
case_043,9309,38,4910,0.39007861020226486,2275,4640,13402,1430996,12920912,861593,0.6009241022153151,0.13840603007065594
case_044,1364,11,124,0.09090909090909091,264,264,1617,952928,3018176,84392,0.8816475495307612,0.9409738679811671
case_045,1651,68,28,0.016959418534221685,317,317,1900,278528,7598080,125476,0.0,0.18498092596725005
case_046,992,8,124,0.125,192,192,1176,995936,5227712,227648,0.9191734607815575,0.36457454783994003
case_047,13710,1,13710,1.0,3873,7266,20909,457286,5435148,413130,0.3721830900685014,0.09224013425959544
case_048,1728,1,1728,1.0,537,777,2448,410182,2436332,259596,0.5375121342393565,0.13167318962284988
case_049,4303,11,3952,0.8563322472327408,1113,2080,6323,152504,4064356,261179,0.3655117754490215,0.04865883806380553
case_050,4555,23,4011,0.761310612313153,1172,2158,6605,319300,3949894,185379,0.28033380264215474,0.14353477650291205
case_051,1416,1,1416,1.0,23,264,1668,393216,29099090,607080,0.0,0.053976411675561706
case_052,1008,52,120,0.03365617789274114,58,244,1034,810044,3835682,204123,0.6933466586322953,0.3307009335874285
case_053,11670,39,9853,0.3958929908877301,3082,5623,17160,2896918,18735136,1556802,0.7789853815706814,0.1550677821157304
case_054,15751,24,15390,0.6838853154239679,4254,8426,23976,1606214,14319950,1014888,0.5657924815349082,0.131887623724654
case_055,1236,24,183,0.10907562382972219,26,252,1288,625692,3505018,130845,0.4722840001528526,0.3984944017730903
case_056,7678,19,7464,0.9658088596144511,2069,3894,11483,221526,5660336,376969,0.3475511248935589,0.04897087028376338
case_057,865,21,193,0.21011894137309944,30,165,904,336588,1933158,61627,0.22817920716569037,0.45514141528875335
case_058,16575,255,65,0.00392156862745098,0,8160,16320,6623232,82182144,4669050,0.933588203167668,0.11821162763303027
case_059,2752,64,43,0.015625,0,1344,2688,1081344,13697024,839936,0.8783907345321549,0.10728436452301128
case_060,5281,89,183,0.02762507660215482,128,2080,5384,2098728,21107010,993771,0.7247464456097028,0.17599024322504883
case_061,1115,40,167,0.22254311911782526,20,239,1122,544036,2205930,99028,0.7215736963283111,0.4578132783993753
case_062,19636,1,19636,1.0,0,2180,19635,13400064,56962560,3011088,0.8695860101066458,0.3708533261067096
case_063,7360,1,7360,1.0,0,816,7359,5019648,21345792,1128768,0.8696206837897602,0.370584566536259
case_064,906,1,906,1.0,269,424,1308,35622,325708,23052,0.3170223841749089,0.12877407600208227
case_065,704,42,61,0.06687666585897746,70,135,741,299720,1495780,57778,0.48911350340960225,0.4322867988969273
case_066,5962,28,3675,0.6655501990340095,1639,3012,8887,1027116,6524788,440377,0.6124161797732397,0.1943630116922546
case_067,8804,71,124,0.014084507042253521,1704,1704,10437,4884864,67205888,61275840,0.9614757137560253,0.006643270822562367
case_068,5351,32,4176,0.8442658068286788,1319,2360,7491,2739974,9936512,403797,0.6168966089396405,0.5654602849121382
case_069,1032,1,1032,1.0,294,528,1548,113766,976780,31962,0.5216819973718791,0.2966178587072148
case_070,1191,38,285,0.08020367360441868,36,259,1237,419858,2528198,139046,0.6604433065316514,0.2516301559675695
case_071,741,1,741,1.0,216,370,1100,111462,769420,23488,0.5336341961852861,0.39545725476839233
case_072,29666,476,6140,0.011688040891541596,1758,13817,32401,11093006,202538656,24636293,0.9306633104258015,0.03752257560285822
case_073,4836,39,124,0.02564102564102564,936,936,5733,3881344,15650048,8588736,0.9501598372566115,0.037659247336666694
case_074,3609,73,269,0.032547850092584055,15,1462,3597,3776536,22558598,1777844,0.8883929073642007,0.17701853105971804
case_075,7410,1,7410,1.0,2175,3790,11135,1819782,12892812,1752180,0.6320811788743166,0.08654847104749512
case_076,32528,809,122,0.003784906373218477,11,14472,31730,4269056,100001112,7008892,0.8648505355768072,0.05075761856034687
case_077,4486,41,2096,0.24435677567300274,1146,2043,6316,2141260,10168792,552078,0.7524407782958206,0.3232121789553891
case_078,1024,8,128,0.125,192,192,1208,2246784,9531648,2141184,0.9517575322812052,0.08744320899091344
case_079,18720,288,65,0.003472222222222222,0,9216,18432,5812224,245194752,33184512,0.8866902728598208,0.014595724656128737
case_080,1098,18,61,0.05555555555555555,0,540,1080,1904640,8380416,309564,0.9337132224677288,0.5127211174425966
case_081,3485,85,41,0.011764705882352941,170,935,3740,1044820,6271130,151725,0.0,0.5738562091503269
case_082,4113,1,4113,1.0,1157,2170,6258,566406,6182092,927702,0.6121965889908613,0.050878946040862266
case_083,3844,31,124,0.03225806451612903,744,744,4557,1184352,14907584,882136,0.9191734607815575,0.11188297496077702
case_084,8616,1077,8,0.0009285051067780873,2154,2154,9693,9927786,51493524,2507256,0.5051546391752577,0.3299684994272623
case_085,19737,1,19737,1.0,5445,10674,30348,1655942,27000268,4289922,0.5979633196128041,0.032167290376530544
case_086,5274,1,5274,1.0,1474,2816,8064,321126,4331916,157242,0.5035677490746747,0.17018671856119866
case_087,27556,196,12693,0.1988568528063942,6003,14003,38493,5918684,54425176,4476064,0.8027767252657693,0.11019137945004064
case_088,3309,31,2798,0.8329809183763061,920,1492,4731,1829730,6726570,273352,0.6351078462934239,0.5578064180982762
case_089,5120,40,128,0.025,960,960,6040,402560,9201920,698880,0.842948717948718,0.0480006105006105
case_090,1664,13,128,0.07692307692307693,312,312,1963,2188416,6423552,899808,0.934119278779473,0.20267434830541625
case_091,31554,513,147,0.0062107904009555065,124,14422,31173,6535680,104722708,9913070,0.9060119619855403,0.05494160739306794
case_092,17608,142,124,0.007042253521126761,3408,3408,20874,2093664,61623488,4040752,0.9191734607815575,0.04317810150189866
case_093,552,69,8,0.014492753623188406,0,207,483,573440,2418688,86112,0.8589743589743589,0.5549362071101201
case_094,647,40,44,0.0637504648568241,73,141,680,471328,3055460,107560,0.6595760505764224,0.36516672864757654
case_095,3696,462,8,0.0021645021645021645,924,924,4158,8516508,65465400,2084544,0.5132978723404256,0.34046247044917255
case_096,1198,50,397,0.28632845165855436,92,171,1276,210260,2631150,93274,0.4303878894440037,0.18785156277919537
case_097,6592,64,103,0.015625,0,3264,6528,4259840,90308608,11635200,0.8855445544554456,0.03050971763843051
case_098,1365,27,389,0.49560270448951926,96,247,1514,697912,8289012,179997,0.09609049039706218,0.32311279262061776
case_099,6296,202,117,0.009829307368561387,12,2620,6106,2533632,17250788,1740204,0.9168373363122945,0.12132830403791739
case_100,1394,43,275,0.34713149371365376,64,298,1505,436006,4788756,164563,0.38013405200439954,0.22078980896880426
