rank,case,baseline_makespan,priority_group,source_task,target_task,source_core,target_core,source_op,target_op,pair_compute_edges,source_task_compute_ops,target_task_compute_ops,producer_op_end,producer_task_end,consumer_op_start,consumer_task_start,compute_to_task_tail_cycles,task_dependency_wait_cycles,source_task_last_compute_end,source_remaining_compute_tail_cycles,source_post_compute_task_tail_cycles,source_compute_ops_ending_later,source_later_compute_examples,producer_task_release,latest_dependency_release,other_dependency_release,consumer_core_available,consumer_previous_core_task,consumer_core_idle_to_start,source_release_wait_after_core_ready,core_ready_after_source_release,consumer_on_observed_release_chain,producer_on_observed_release_chain,producer_is_latest_dependency,core_masks_source_release,other_dependency_masks_source_release,data_edge_tight_on_observed_chain,unexplained_consumer_start_gap,optimistic_opportunity_proxy_cycles,witness_scope
1,case_047,160151,0,191,194,4,0,5022,5023,10,220,44,52339,55357,56361,56357,3018,1000,54714,2375,643,131,5068;5081;4895;5070;5147,56357,56357,51554,50900,187,5457,5457,0,True,True,True,False,False,True,0,3018,latest required compute across this Task pair; COPY_OUT readiness unknown
2,case_047,160151,0,146,164,4,0,3865,3866,10,269,45,40608,41625,42633,42625,1017,1000,41231,623,394,29,3911;3924;3913;3925;3931,42625,42625,39935,39528,143,3097,3097,0,True,True,True,False,False,True,0,1017,latest required compute across this Task pair; COPY_OUT readiness unknown
3,case_047,160151,0,233,262,2,0,5719,5874,3,83,47,70057,70713,72322,71713,656,1000,70558,501,155,25,6145;6146;6128;6298;6139,71713,71713,69993,66945,211,4768,4768,0,True,True,True,False,False,True,0,656,latest required compute across this Task pair; COPY_OUT readiness unknown
4,case_047,160151,0,34,47,0,1,83,124,7,30,7,1879,2411,3789,3411,532,1000,2294,415,117,6,699;704;709;710;711,3411,3411,0,495,5,2916,2916,0,True,True,True,False,False,True,0,532,latest required compute across this Task pair; COPY_OUT readiness unknown
5,case_047,160151,0,557,559,2,0,13618,13627,15,96,31,151900,152245,153494,153245,345,1000,152236,336,9,5,12704;13283;13285;12701;13282,153245,153245,0,150021,556,3224,3224,0,True,True,True,False,False,True,0,345,latest required compute across this Task pair; COPY_OUT readiness unknown
6,case_047,160151,0,411,421,0,2,9894,10314,1,8,8,116023,116336,117417,117336,313,1000,116327,304,9,4,9895;10474;10475;10476,117336,117336,116277,116600,404,736,736,0,True,True,True,False,False,True,0,313,latest required compute across this Task pair; COPY_OUT readiness unknown
7,case_047,160151,0,179,191,2,4,4294,4902,2,8,220,49401,49647,51404,50647,246,1000,49629,228,18,3,4322;4903;4310,50647,50647,50334,47298,157,3349,3349,0,True,True,True,False,False,True,0,246,latest required compute across this Task pair; COPY_OUT readiness unknown
8,case_047,160151,0,178,179,0,2,4254,4310,1,7,8,48013,48240,49553,49240,227,1000,48165,152,75,2,4308;4309,49240,49240,48434,48534,176,706,706,0,True,True,True,False,False,True,0,227,latest required compute across this Task pair; COPY_OUT readiness unknown
9,case_047,160151,0,548,557,4,2,12696,12958,16,64,96,147862,148494,149824,149494,632,1000,148248,386,246,19,12873;12884;12948;12875;12950,149494,149494,149290,147988,544,1506,1506,0,True,True,True,False,False,True,0,204,latest required compute across this Task pair; COPY_OUT readiness unknown
10,case_047,160151,0,329,343,1,2,9427,9436,2,149,8,102192,102381,103495,103381,189,1000,102192,0,189,0,,103381,103381,96964,95552,313,7829,7829,0,True,True,True,False,False,True,0,189,latest required compute across this Task pair; COPY_OUT readiness unknown
1,case_075,424934,0,537,542,1,3,3906,4228,1,5,1,219490,222738,224085,223738,3248,1000,222634,3144,104,3,3933;3934;3935,223738,223738,0,221210,500,2528,2528,0,True,True,True,False,False,True,0,2528,latest required compute across this Task pair; COPY_OUT readiness unknown
2,case_075,424934,0,766,777,1,3,6529,6652,1,11,1,345531,347662,348942,348662,2131,1000,347627,2096,35,2,6530;6531,348662,348662,345956,345337,831,3325,3325,0,True,True,True,False,False,True,0,2131,latest required compute across this Task pair; COPY_OUT readiness unknown
3,case_075,424934,0,228,267,4,1,859,880,1,11,1,58114,63389,64669,64389,5275,1000,63354,5240,35,5,860;861;1154;1155;1156,64389,64389,63483,61950,194,2439,2439,0,True,True,True,False,False,True,0,906,latest required compute across this Task pair; COPY_OUT readiness unknown
4,case_075,424934,0,20,48,1,3,394,518,2,7,1,8840,10028,11378,11028,1188,1000,9888,1048,140,1,395,11028,11028,0,10128,90,900,900,0,True,True,True,False,False,True,0,900,latest required compute across this Task pair; COPY_OUT readiness unknown
5,case_075,424934,0,244,245,0,1,1518,1519,1,12,4,83051,83413,84856,84413,362,1000,83051,0,362,0,,84413,84413,0,82444,266,1969,1969,0,True,True,True,False,False,True,0,362,latest required compute across this Task pair; COPY_OUT readiness unknown
6,case_075,424934,0,612,613,1,3,4742,4743,6,33,23,272598,272894,275161,273894,296,1000,272598,0,296,0,,273894,273894,268894,272994,609,900,900,0,True,True,True,False,False,True,0,296,latest required compute across this Task pair; COPY_OUT readiness unknown
7,case_075,424934,0,28,602,3,2,4520,4521,1,4,6,242814,242964,244569,243964,150,1000,242958,144,6,3,4539;4558;4577,243964,243964,243377,243477,601,487,487,0,True,True,True,False,False,True,0,150,latest required compute across this Task pair; COPY_OUT readiness unknown
