case,problem,cores,makespan,speedup,original_bytes,added_bytes,scheduled_bytes,modeled_pre_spill_bytes,inferred_spill_bytes,spill_model_checked_against_record,root_read_bytes,root_replication_bytes,root_replication_fraction,active_cores,subgraphs,fixed_core_compute_fraction,global_compute_floor_fraction,heaviest_subgraph_compute_fraction,original_compute_path_fraction,logical_ddr_volume_over_time,hit_rate_if_available,cache_record_available,plan_sha256
case_001,1,5,47502,4.9073723211654245,1639552,4608,1644160,1644160,0,False,824960,4608,0.0028026469443363177,5,5,0.980169256031325,0.980169256031325,0.980169256031325,0.02770409666961391,0.576873956184301,,False,811c489eb7d6113f0afaa4b601c2327b28ff85d87c97f113bb17239be950b2e6
case_001,2,5,47502,4.9073723211654245,1639552,4608,1644160,1644160,0,False,824960,4608,0.0028026469443363177,5,5,0.980169256031325,0.980169256031325,0.980169256031325,0.02770409666961391,0.576873956184301,,False,811c489eb7d6113f0afaa4b601c2327b28ff85d87c97f113bb17239be950b2e6
case_001,3,5,47502,4.9073723211654245,1639552,4608,1644160,1644160,0,False,824960,4608,0.0028026469443363177,5,5,0.980169256031325,0.980169256031325,0.980169256031325,0.02770409666961391,0.576873956184301,,False,811c489eb7d6113f0afaa4b601c2327b28ff85d87c97f113bb17239be950b2e6
case_002,1,5,64296,4.074048152295632,1224192,2165760,3389952,3389952,0,True,2144256,921600,0.27186225645672857,5,103,0.7838745800671892,0.7465472191116088,0.07894736842105263,0.04628592758491975,0.878735846708971,,False,5b5b63dd7752e106d4258c3ff10da6b0944cba1bd9156d2eb9311280a58ade38
case_002,2,5,51207,5.115413908254731,1224192,642048,1866240,1866240,0,False,1222656,0,0.0,5,1601,0.9373718436932451,0.9373718436932451,0.017575722069248345,0.058117054308981196,0.6074169547132228,,False,5dcc44acd14d153494c2e1f85ae0a01722199c47aebc0f636ad84301c488dc77
case_002,3,5,51207,5.115413908254731,1224192,642048,1866240,1866240,0,False,1222656,0,0.0,5,1601,0.9373718436932451,0.9373718436932451,0.017575722069248345,0.058117054308981196,0.6074169547132228,,False,5dcc44acd14d153494c2e1f85ae0a01722199c47aebc0f636ad84301c488dc77
case_003,1,5,232913,2.585566284406624,1284264,8482342,9766606,9766606,0,False,4334504,3050274,0.3123166840148973,5,709,0.38598103154396707,0.3767861819649397,0.08392833375552244,0.12144019440735382,0.6988736853102517,,False,0a883cb005822698ea2eb60da532c9a719e4f568ea422ecf43b5d8e852a48b59
case_003,2,5,157029,3.8350368403288564,1284264,5783280,7067544,7067544,0,False,3041950,1757720,0.24870308554145543,5,13455,0.5834591062797317,0.5588674703398735,0.013118595928140662,0.18012596399391195,0.7501315043718039,,False,8dedb7f64dcabf683f0f0c027c5eab2a4009328322db4e5b9166763801c3de00
case_003,3,5,145137,4.149265866043807,1284264,5783280,7067544,7067544,0,False,3041950,1757720,0.24870308554145543,5,13455,0.6312656317823849,0.6046590462804109,0.014193486154460958,0.194884832950936,0.8115945623789936,,False,dee7955c586e823f32b38ed0ff586b1391c6f9d1d8e7c644c87c27b3a0243472
case_004,1,5,88341,4.441391879195391,792576,442368,1234944,1234944,0,False,893952,442368,0.3582089552238806,5,5,0.9044724420144666,0.8730125309878766,0.9044724420144666,0.031106734132509254,0.2329880802798248,,False,40ea1048576c145589a488c1877599594d92acd498a8c36be4f7e5a4863ae4c2
case_004,2,5,81107,4.837523271727471,792576,2863104,3655680,3594240,61440,False,943104,491520,0.13675213675213677,5,777,0.9565882106353336,0.9508772362434809,0.014277435979631844,0.033881169319540855,0.7512051980716831,,False,e2ccb5991d5b4d63de25f7fbc76d141a5b0a683a58fb8ce89bb056c7c7af4811
case_004,3,5,81107,4.837523271727471,792576,2863104,3655680,3594240,61440,False,943104,491520,0.13675213675213677,5,777,0.9565882106353336,0.9508772362434809,0.014277435979631844,0.033881169319540855,0.7512051980716831,,False,e2ccb5991d5b4d63de25f7fbc76d141a5b0a683a58fb8ce89bb056c7c7af4811
case_005,1,5,51854,1.8439850349056968,333414,2089762,2423176,2423176,0,False,772648,453826,0.1872856119406927,5,98,0.3048173718517376,0.2463917923400316,0.06826860030084468,0.13295020634859414,0.7788457335338965,,False,e7b9027b64a7e14aff549ccd8b05407b2fdb4ce93accf436803f1e4a0d765ec5
case_005,2,5,36856,2.5943672672020837,333414,1546098,1879512,1879512,0,False,698520,379698,0.20201946037056429,4,4113,0.4626655090080313,0.34665726069025393,0.011884089429129585,0.18705231169958758,0.8499348817017582,,False,1579c22a6411b45191ca743b78cbdb798070b6b6f57029e3825e9d99f2157cdf
case_005,3,5,33821,2.8271783802962656,333414,1546098,1879512,1879512,0,False,698520,379698,0.20201946037056429,4,4113,0.5041837911356849,0.37776529375240236,0.0129505336920848,0.20383785222199224,0.9262056118979333,,False,1579c22a6411b45191ca743b78cbdb798070b6b6f57029e3825e9d99f2157cdf
case_006,1,5,25366,3.265670582669715,543348,491636,1034984,1034984,0,True,860960,317696,0.30695740224003465,5,59,0.5959157927935032,0.5440353228731373,0.27260900417882206,0.11180320113537806,0.6800336408315593,,False,36683a945f1fa9dec188fb4bef160d40bd5cdc6479aff2cee59102d216008870
case_006,2,5,20866,3.9699511166490944,543348,355106,898454,898454,0,True,851362,308098,0.34292017176171513,5,123,0.7258219112431707,0.6613629828429023,0.3235886130547302,0.13591488545959934,0.7176379437042717,,False,31fc073601d497dca1cf3a6f8dbc2a1d488bfc64d24587b0d3e9b50cf4850920
case_006,3,5,20505,4.039843940502316,543348,355106,898454,898454,0,True,851362,308098,0.34292017176171513,5,123,0.7386003413801512,0.6730065837600585,0.32928554011216776,0.13830772982199463,0.7302722913110623,0.3469056975582546,True,31fc073601d497dca1cf3a6f8dbc2a1d488bfc64d24587b0d3e9b50cf4850920
case_007,1,5,203834,4.967581463347626,1732608,110592,1843200,1843200,0,False,990720,110592,0.06,5,5,0.9606051983476751,0.9606051983476751,0.9606051983476751,0.008006515105428928,0.15071087257277982,,False,c0350b440db5fbbbef6ad20650b2837bb022ac03a73228a0fb830940e7089aad
