problem,group,case,cores,strong,wait_integrated,time_reduction_pct,strong_calls,new_calls,strong_seconds,new_seconds
2,development,case_080,5,74408,76034,-2.185248897967962,24,24,7.8723909620021,29.362011178018292
2,development,case_009,5,52200,50350,3.544061302681989,24,24,39.748901384999044,93.90413969400106
2,development,case_062,5,691726,691729,-0.0004336977358132543,21,7,180.0292560890084,95.5347840450122
2,development,case_053,5,405585,418489,-3.1815772279546906,24,7,95.63842887300416,50.77802392101148
2,development,case_018,5,197769,197035,0.37114006745243566,24,24,19.76858873499441,66.78037117997883
2,development,case_090,5,260978,259094,0.7218999302623264,24,24,9.942972385004396,33.56659523397684
2,decision,case_071,5,9399,9204,2.0746887966805017,24,24,6.122577074012952,14.378298060997622
2,decision,case_013,5,54130,54117,0.024016257158687715,24,24,13.833309328998439,56.38338065901189
2,decision,case_028,5,8628857,9521682,-10.346967159149823,24,7,180.03966512301122,78.67715099701309
2,decision,case_037,5,43013,43647,-1.4739729849115424,24,24,7.332886036019772,18.870011749007972
2,decision,case_055,5,19824,18793,5.2007667473769175,24,24,7.879058681020979,28.733605974004604
2,decision,case_092,5,1139576,1259475,-10.521369351407884,24,7,144.7190270150022,67.45306533999974
2,lowcore,case_071,3,8818,8728,1.0206396008165086,24,24,4.562883256003261,15.58735709998291
2,lowcore,case_071,2,10089,9551,5.332540390524332,24,24,4.445093613991048,14.778157999011455
2,lowcore,case_028,3,13730603,14322553,-4.3111726411432905,21,7,180.03236583797843,86.2722027200216
2,lowcore,case_028,2,20786944,20786944,0.0,18,7,180.02095743099926,107.10043691901956
3,development,case_080,5,71695,72295,-0.8368784434060972,24,24,8.84235975399497,34.77184427398606
3,development,case_046,5,77846,76275,2.0180869922667877,20,24,6.02107441300177,13.132851250004023
3,development,case_017,5,27483,27885,-1.462722410217232,24,24,9.217786327993963,27.411271680000937
3,development,case_044,5,43958,77497,-76.29782974657628,24,24,8.226968461007345,19.712533935002284
3,development,case_090,5,194679,194679,0.0,24,24,10.057973682996817,35.53835395400529
3,development,case_023,5,18572,19174,-3.241438724962298,24,24,6.5429846180195455,27.34728824297781
3,decision,case_092,5,859001,1062672,-23.71021686819923,24,7,149.66594480301137,68.53264165399014
3,decision,case_028,5,8428330,9447245,-12.089168316855181,24,7,180.02999595800065,80.95883121000952
3,decision,case_037,5,43013,43013,0.0,24,24,7.884626821993152,13.052582442003768
3,decision,case_013,5,53849,54044,-0.36212371631785256,24,24,17.475572201015893,45.14795107598184
3,decision,case_071,5,8129,7572,6.852011317505225,24,24,6.034113125002477,14.766273492976325
3,decision,case_055,5,19462,19590,-0.6576919124447578,24,24,8.16647182800807,29.206788886978757
3,lowcore,case_028,3,13647648,14136334,-3.580734204164693,20,7,180.0357786270033,89.56500601800508
3,lowcore,case_071,2,11297,9732,13.853235372222716,24,24,4.884852835006313,10.876055656990502
3,lowcore,case_028,2,20870921,20945271,-0.35623727386060455,19,7,180.14786555297906,109.06294522099779
3,lowcore,case_071,3,10257,8718,15.004387247733252,24,24,5.47021338599734,14.758636426995508
