case,problem,cores,policy,makespan,added_copy,spill,hit_rate,hit_bytes,miss_bytes,calls,new_calls,failures,generation_failures,generation_seconds,elapsed_seconds,summary
case_023,3,5,mature,19711,280992,0,0.19818937959542116,141728,573386,12,12,0,0,4.820923802006291,8.027112117997603,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/集中对照/slots/case_023_p3/mature/summary.json
case_051,1,5,mature,259576,9111024,0,,,,12,12,0,0,1.9955391639959998,8.638691649015527,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/集中对照/slots/case_051_p1/mature/summary.json
case_051,1,5,wait_joint,259576,9111024,0,,,,12,12,0,0,7.219836209027562,13.5695979980228,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/集中对照/slots/case_051_p1/wait_joint/summary.json
case_046,3,5,mature,58096,2653984,0,0.5839859525899912,2128512,1516288,12,12,0,0,2.5972693669900764,5.617683023010613,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/集中对照/slots/case_046_p3/mature/summary.json
case_044,3,5,wait_joint,43210,1021280,0,0.15612038358164382,301120,1627648,12,12,0,0,6.5496503800095525,10.641850190993864,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/集中对照/slots/case_044_p3/wait_joint/summary.json
case_044,1,5,mature,96349,222208,58880,,,,12,12,0,0,0.47362601399072446,6.466942978993757,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/集中对照/slots/case_044_p1/mature/summary.json
case_046,3,5,wait_joint,56568,2582304,0,0.5752320206399828,2054784,1517312,12,12,0,0,4.615032264002366,7.596373022010084,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/集中对照/slots/case_046_p3/wait_joint/summary.json
case_017,3,5,mature,27146,340992,0,0.24764013651253838,216960,659150,12,12,0,0,7.742626236984506,11.805061763996491,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/集中对照/slots/case_017_p3/mature/summary.json
case_018,2,5,wait_joint,197095,4812800,131072,,,,12,12,0,0,42.55117780301953,51.675311483006226,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/集中对照/slots/case_018_p2/wait_joint/summary.json
case_080,3,5,wait_joint,73308,4255744,0,0.35531419705197825,1875968,3403776,12,12,0,0,15.284199159010313,20.099161102989456,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/集中对照/slots/case_080_p3/wait_joint/summary.json
case_023,3,5,wait_joint,18049,279968,0,0.20453537416695625,144800,563146,12,12,0,0,13.348522432032041,16.67550535299233,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/集中对照/slots/case_023_p3/wait_joint/summary.json
case_018,2,5,proxy,196951,4816896,135168,,,,12,12,0,0,42.867972582025686,51.797619710996514,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/集中对照/slots/case_018_p2/proxy/summary.json
case_047,1,5,wait_joint,190683,3231082,0,,,,5,5,0,0,17.62053714497597,64.07630755100399,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/集中对照/slots/case_047_p1/wait_joint/summary.json
case_051,1,5,proxy,259576,9111024,0,,,,12,12,0,0,6.899502015003236,14.073414956015768,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/集中对照/slots/case_051_p1/proxy/summary.json
