round,case,problem,cores,frozen_before,round_before,after,cumulative_reduction,round_reduction,selected_name,new_calls,failures,selected_plan_sha256,source_summary
1,case_025,1,5,975282,975282,975282,0.0,0.0,incumbent,5,4,e48afe849dfcd61d22619e886a0e31c2903b11b87250ea3d3be4386f585119c7,运行结果/统一V2_冒进第一轮_20260925/slots/case_025/p1_n5/attack/summary.json
1,case_025,2,5,974390,974390,974390,0.0,0.0,incumbent,7,0,50b5ca26c685baafba0c585cbbf786f9ff90b7a753379dd44fb7a927877c3b69,运行结果/统一V2_冒进第一轮_20260925/slots/case_025/p2_n5/attack/summary.json
1,case_025,3,5,974390,974390,974390,0.0,0.0,incumbent,8,0,9b0e841c1a299aea872dda718127ccaae2eaf00a86456c3a66892d0ca35c6a58,运行结果/统一V2_冒进第一轮_20260925/slots/case_025/p3_n5/attack/summary.json
1,case_043,1,5,222525,222525,222525,0.0,0.0,incumbent,9,3,3058a73686828131ac088d7fe3776021cabd7e9a65dcd7088ac508612ce1491b,运行结果/统一V2_冒进第一轮_20260925/slots/case_043/p1_n5/attack/summary.json
1,case_043,2,5,169830,169830,169830,0.0,0.0,incumbent,9,0,3f529002436ed5be59614284c78ecfdd9867997a6701cb7a20257a9039088c98,运行结果/统一V2_冒进第一轮_20260925/slots/case_043/p2_n5/attack/summary.json
1,case_043,3,5,158368,158368,158368,0.0,0.0,incumbent,9,0,3f529002436ed5be59614284c78ecfdd9867997a6701cb7a20257a9039088c98,运行结果/统一V2_冒进第一轮_20260925/slots/case_043/p3_n5/attack/summary.json
1,case_047,1,5,208139,208139,208139,0.0,0.0,incumbent,7,3,dddebbb7ea55c06abaa0c00a5cf50768db83de139f31b1374668fdf78695c3e3,运行结果/统一V2_冒进第一轮_20260925/slots/case_047/p1_n5/attack/summary.json
1,case_047,2,5,95504,95504,95504,0.0,0.0,incumbent,7,0,ba942616f0594f7a5f230241fb5837ea2dfa0b3f5e5879b746771c85ede3e17c,运行结果/统一V2_冒进第一轮_20260925/slots/case_047/p2_n5/attack/summary.json
1,case_047,3,5,93047,93047,93047,0.0,0.0,incumbent,7,0,ba942616f0594f7a5f230241fb5837ea2dfa0b3f5e5879b746771c85ede3e17c,运行结果/统一V2_冒进第一轮_20260925/slots/case_047/p3_n5/attack/summary.json
1,case_048,1,5,136675,136675,136675,0.0,0.0,incumbent,9,0,78f2c9e850659c17b0d3008f5761fbe74e9efffab8db39b9a32498e5b496137e,运行结果/统一V2_冒进第一轮_20260925/slots/case_048/p1_n5/attack/summary.json
1,case_048,2,5,98926,98926,98926,0.0,0.0,incumbent,9,0,4b6b08d4eebc9c87adbe23cf3e6a5035f4aa5f6babfade4dd5e112a84e4954ef,运行结果/统一V2_冒进第一轮_20260925/slots/case_048/p2_n5/attack/summary.json
1,case_048,3,5,98781,98781,98781,0.0,0.0,incumbent,9,0,172a7262506895a6ca871e9e1ba1c8ecad7b4a50a0fb2c1b754b3e96e55f87d0,运行结果/统一V2_冒进第一轮_20260925/slots/case_048/p3_n5/attack/summary.json
1,case_051,1,5,290405,290405,290405,0.0,0.0,incumbent,8,0,0bc4a2928ac9849480ad1b4782345049817f9b0e4a1ee40e155a2fc02f0f5097,运行结果/统一V2_冒进第一轮_20260925/slots/case_051/p1_n5/attack/summary.json
1,case_051,2,5,162296,162296,162296,0.0,0.0,incumbent,9,0,66be6762f6a74731bf33b9d4a4ef2cb0394a49a1f31c0455971678bfd7ef1ae3,运行结果/统一V2_冒进第一轮_20260925/slots/case_051/p2_n5/attack/summary.json
1,case_051,3,5,159635,159635,159635,0.0,0.0,incumbent,9,0,66be6762f6a74731bf33b9d4a4ef2cb0394a49a1f31c0455971678bfd7ef1ae3,运行结果/统一V2_冒进第一轮_20260925/slots/case_051/p3_n5/attack/summary.json
1,case_064,1,5,16370,16370,16370,0.0,0.0,incumbent,9,0,cd1a6bd35f3ac4bf7ef09ce3fa4d4716fd655192f987cbc6ea8c0a6bfa3d003c,运行结果/统一V2_冒进第一轮_20260925/slots/case_064/p1_n5/attack/summary.json
1,case_064,2,5,8558,8558,8558,0.0,0.0,incumbent,9,0,a0e5d8abd33f58520c233c1d6e02d0523dd227eaffa17ce777bd0c28f9307169,运行结果/统一V2_冒进第一轮_20260925/slots/case_064/p2_n5/attack/summary.json
1,case_064,3,5,8516,8516,8516,0.0,0.0,incumbent,9,0,a0e5d8abd33f58520c233c1d6e02d0523dd227eaffa17ce777bd0c28f9307169,运行结果/统一V2_冒进第一轮_20260925/slots/case_064/p3_n5/attack/summary.json
1,case_068,1,5,210185,210185,210185,0.0,0.0,incumbent,9,0,1bb1177e81360bd857a609a932fd76da9e841f1c06abad548d41e8e500effbf6,运行结果/统一V2_冒进第一轮_20260925/slots/case_068/p1_n5/attack/summary.json
1,case_068,2,5,134477,134477,134477,0.0,0.0,incumbent,7,0,fe337773b476efa7ade70aa8295363efd6a75314e283cda2d5f920e5a4225007,运行结果/统一V2_冒进第一轮_20260925/slots/case_068/p2_n5/attack/summary.json
1,case_068,3,5,123937,123937,123937,0.0,0.0,incumbent,7,0,fe337773b476efa7ade70aa8295363efd6a75314e283cda2d5f920e5a4225007,运行结果/统一V2_冒进第一轮_20260925/slots/case_068/p3_n5/attack/summary.json
1,case_071,1,5,11491,11491,11491,0.0,0.0,incumbent,9,0,82fbc1bba321d6ba3d3a0b5e1ae0de8702afef1ff945a3afc7f76881e3ab1548,运行结果/统一V2_冒进第一轮_20260925/slots/case_071/p1_n5/attack/summary.json
