case,problem,num_cores,before,after,reduction,best_name,new_calls,failures,elapsed_seconds
case_025,1,5,975282,975282,0.0,incumbent,5,4,150.0331581349892
case_025,2,5,974390,974390,0.0,incumbent,7,0,117.75029357298627
case_025,3,5,974390,974390,0.0,incumbent,8,0,133.69610444901627
case_043,1,5,222525,222525,0.0,incumbent,9,3,150.02013332699426
case_043,2,5,169830,169830,0.0,incumbent,9,0,43.489833477011416
case_043,3,5,158368,158368,0.0,incumbent,9,0,46.358082067017676
case_047,1,5,208139,208139,0.0,incumbent,7,3,150.03263564500958
case_047,2,5,95504,95504,0.0,incumbent,7,0,55.73485739401076
case_047,3,5,93047,93047,0.0,incumbent,7,0,60.3268388529832
case_048,1,5,136675,136675,0.0,incumbent,9,0,9.186571886995807
case_048,2,5,98926,98926,0.0,incumbent,9,0,5.9954603480000515
case_048,3,5,98781,98781,0.0,incumbent,9,0,5.946059245005017
case_051,1,5,290405,290405,0.0,incumbent,8,0,8.28108131600311
case_051,2,5,162296,162296,0.0,incumbent,9,0,4.867248018999817
case_051,3,5,159635,159635,0.0,incumbent,9,0,5.5455938639934175
case_064,1,5,16370,16370,0.0,incumbent,9,0,4.096792004012968
case_064,2,5,8558,8558,0.0,incumbent,9,0,3.1875000960135367
case_064,3,5,8516,8516,0.0,incumbent,9,0,3.3848642880038824
case_068,1,5,210185,210185,0.0,incumbent,9,0,60.57424035700387
case_068,2,5,134477,134477,0.0,incumbent,7,0,18.392610265989788
case_068,3,5,123937,123937,0.0,incumbent,7,0,19.25098630299908
case_071,1,5,11491,11491,0.0,incumbent,9,0,3.4987017980020028
case_071,2,5,8852,8852,0.0,incumbent,9,0,2.770120095985476
case_071,3,5,7494,7494,0.0,incumbent,9,0,3.2577515990124084
case_075,1,5,720755,720755,0.0,incumbent,9,1,150.02692392698373
case_075,2,5,392249,392249,0.0,incumbent,9,0,37.69145938399015
case_075,3,5,379091,379091,0.0,incumbent,9,0,38.033181330014486
case_085,1,5,2568855,2568855,0.0,incumbent,7,3,150.02168239600724
case_085,2,5,869620,869620,0.0,incumbent,9,0,125.08957694098353
case_085,3,5,816858,816858,0.0,incumbent,9,0,126.24997275599162
