case,problem,cores,baseline,v2,result,reduction,archive,archive_reduction,baseline_calls,v2_calls,baseline_seconds,v2_seconds,v2_best,v2_new_calls,v2_generation_errors
case_025,1,5,975282,975282,tie,0.0,975282,0.0,3,4,146.3764778879995,179.8046030120022,wcc_start0_simple_a5_per_core_lpt_mv,2,[]
case_025,2,5,975282,974390,win,0.0009146072623097412,974747,0.00036624888304348513,8,8,108.22657430099207,87.92473295099626,v2_p2_branch_s2_residency,2,[]
case_025,3,5,975282,974390,win,0.0009146072623097412,974747,0.00036624888304348513,8,8,109.1794053610065,91.98896029101161,v2_p3_branch_s2_cache_window,2,[]
case_043,1,5,232684,258721,loss,-0.11189854050987602,222525,-0.16266037523873722,8,8,53.70788858100423,68.73956101600197,v2_p1_wavefront_s2_critical,6,[]
case_043,2,5,232981,226361,win,0.02841433421609485,169830,-0.332868162279927,8,8,34.55646295200859,25.927841566997813,v2_p2_branch_s2_residency,6,[]
case_043,3,5,225659,219620,win,0.02676161819382339,158368,-0.38677005455647606,8,8,37.66048563498771,27.489266892996966,v2_p3_branch_s2_residency,6,[]
case_047,1,5,326508,208139,win,0.36253016771411417,321049,0.3516908633884547,8,8,103.83820951600501,72.61205589000019,v2_p1_branch_s2_critical,6,[]
case_047,2,5,122134,122134,tie,0.0,95504,-0.27883648852404086,8,8,47.87663319900457,38.42240946600214,op_stable_id_w200,6,[]
case_047,3,5,120548,120548,tie,0.0,93047,-0.29556030823132406,8,8,50.69274908199441,39.25405310300994,op_stable_id_w200,6,[]
case_048,1,5,222220,136675,win,0.38495634956349567,162167,0.15719597698668653,8,8,3.9212101900047855,6.012426486995537,v2_p1_wavefront_s4_critical,5,[]
case_048,2,5,102506,102506,tie,0.0,98926,-0.036188666275802195,8,8,3.731603778011049,4.497708655006136,op_stable_id_w200,6,[]
case_048,3,5,102463,102463,tie,0.0,98781,-0.03727437462669947,8,8,3.8802838169940514,4.131652597003267,op_stable_id_w200,6,[]
case_051,1,5,607628,513650,win,0.15466370871651736,293518,-0.7499778548504692,8,8,2.6129021990054753,3.4091472949949093,v2_p1_wavefront_s4_critical,6,[]
case_051,2,5,164392,257171,loss,-0.564376612000584,162296,-0.5845800266180312,8,8,3.1151227469963487,3.1362148899934255,op_release_priority_w200,6,[]
case_051,3,5,161479,256583,loss,-0.5889558394590009,159635,-0.6073104269113916,8,8,3.376479697995819,3.1828620200103614,op_release_priority_w200,6,[]
case_064,1,5,16469,17325,loss,-0.05197644058534223,16370,-0.05833842394624322,8,8,2.0837309589987854,2.619202611997025,selective_phase_band_critical_path_x1_a5_eft,6,[]
case_064,2,5,8945,14697,loss,-0.6430408049189491,8559,-0.7171398527865405,8,8,2.192485966006643,2.2165623539913213,op_critical_path_w200,6,[]
case_064,3,5,8867,14655,loss,-0.6527574151347693,8516,-0.7208783466416158,8,8,2.2886950579995755,2.3971189850126393,op_critical_path_w200,6,[]
case_071,1,5,13396,13705,loss,-0.023066587040907693,11491,-0.19267252632495002,8,8,1.908901672999491,2.3219418079970637,selective_phase_band_critical_path_x2_a5_eft,6,[]
case_071,2,5,9374,9374,tie,0.0,8852,-0.05896972435607761,8,8,2.067893722007284,1.990084385004593,op_stable_id_w200,6,[]
case_071,3,5,8129,8129,tie,0.0,7494,-0.08473445423005077,8,8,1.9240064559999155,1.6119707979960367,op_stable_id_w200,6,[]
case_075,1,5,1438628,758284,win,0.4729116908610148,720755,-0.05206901096766581,8,8,34.54774432200065,41.55462685599923,v2_p1_branch_s2_critical,5,[]
case_075,2,5,413605,413605,tie,0.0,392249,-0.05444500814533626,8,8,23.66785094300576,22.362522513998556,op_critical_path_w200,6,[]
case_075,3,5,409050,409050,tie,0.0,379091,-0.07902851821858081,8,8,24.87326910799311,21.75516451599833,op_critical_path_w200,6,[]
case_085,1,5,2760933,2568855,win,0.06956996058940945,2760933,0.06956996058940945,5,8,169.3524399529997,179.89293645700673,v2_p1_wavefront_s4_critical,5,[]
case_085,2,5,969255,969255,tie,0.0,869620,-0.11457303189899037,8,8,109.59665389700967,74.78435042999627,op_critical_path_w200,6,[]
case_085,3,5,948393,948393,tie,0.0,816858,-0.1610255393226241,8,8,108.53514220900252,75.26445711500128,op_critical_path_w200,6,[]
