case,problem,cores,baseline,v2,result,reduction,archive,archive_reduction,baseline_calls,v2_calls,baseline_seconds,v2_seconds,v2_best,v2_new_calls,v2_generation_errors
case_025,1,5,975282,975282,tie,0.0,975282,0.0,2,2,127.31946576100017,128.19679161999375,wcc_start0_simple_a5_per_core_lpt_mv,1,[]
case_025,2,5,975282,974390,win,0.0009146072623097412,974747,0.00036624888304348513,8,9,166.77214534899394,177.23166516699712,v2_p2_branch_s2_residency,4,[]
case_025,3,5,975282,974390,win,0.0009146072623097412,974747,0.00036624888304348513,8,9,178.78257737999957,179.9270037499955,v2_p3_branch_s2_cache_window,4,[]
case_043,1,5,227536,227536,tie,0.0,222525,-0.022518818110324634,12,12,113.1552944159921,134.83045818800747,selective_phase_band_critical_path_x2_a5_eft,2,"[{""source"": ""joint"", ""error"": ""assignment deadline""}, {""source"": ""joint"", ""error"": ""assignment deadline""}]"
case_043,2,5,232981,226361,win,0.02841433421609485,169830,-0.332868162279927,12,12,87.69679836800788,60.60944959500921,v2_p2_branch_s2_residency,10,[]
case_043,3,5,225659,217185,win,0.03755223589575418,158368,-0.3713944736310366,12,12,88.61685779399704,69.1295835810015,joint_fifo_g2_t0_w8_work,9,[]
case_047,1,5,326508,208139,win,0.36253016771411417,321049,0.3516908633884547,3,12,130.780851885007,139.08417658199323,v2_p1_branch_s2_critical,7,"[{""source"": ""joint"", ""error"": ""assignment deadline""}, {""source"": ""joint"", ""error"": ""assignment deadline""}]"
case_047,2,5,122134,127203,loss,-0.041503594412694245,95504,-0.33191279946389685,12,12,116.58387521399709,91.61581035199924,op_stable_id_w100,10,[]
case_047,3,5,120548,116057,win,0.037254869429604764,93047,-0.24729437810998744,12,12,124.580673192002,133.98488696799905,joint_fifo_g1_t6_w8_advance,10,[]
case_048,1,5,211661,136675,win,0.3542740514312982,162167,0.15719597698668653,12,12,8.377016525002546,11.16856340400409,v2_p1_wavefront_s4_critical,4,[]
case_048,2,5,98926,104738,loss,-0.05875098558518488,98926,-0.05875098558518488,12,12,9.423864374010009,9.537962719012285,op_stable_id_w100,8,[]
case_048,3,5,98790,102463,loss,-0.03717987650571919,98781,-0.03727437462669947,12,12,9.065063822999946,10.874766631997772,op_stable_id_w200,10,[]
case_051,1,5,607628,523148,win,0.13903243431836587,293518,-0.7823370287341833,12,12,6.254738161005662,7.446318157992209,v2_p1_affinity_s4_critical,3,[]
case_051,2,5,164392,164392,tie,0.0,162296,-0.012914674422043637,11,12,6.6863231110037304,7.597933675002423,op_release_priority_w100,9,[]
case_051,3,5,161479,161479,tie,0.0,159635,-0.01155135152065645,11,12,6.624014947999967,7.7946617280103965,op_release_priority_w100,9,[]
case_064,1,5,16469,16469,tie,0.0,16370,-0.0060476481368356705,12,12,4.539582494995557,4.970607102994109,selective_phase_band_critical_path_x2_a5_eft,2,[]
case_064,2,5,8945,8945,tie,0.0,8559,-0.04509872648673907,12,12,4.388318940997124,4.939501695000217,op_stable_id_w100,8,[]
case_064,3,5,8867,8867,tie,0.0,8516,-0.04121653358384214,12,12,4.591872649005381,5.349346381990472,op_stable_id_w100,10,[]
case_071,1,5,13396,13396,tie,0.0,11491,-0.16578191628230798,12,12,4.056446553993737,4.564388042999781,selective_phase_band_critical_path_x1_a5_eft,4,[]
case_071,2,5,9374,9374,tie,0.0,8852,-0.05896972435607761,12,12,4.058880386990495,4.066434388994821,op_stable_id_w200,9,[]
case_071,3,5,8129,8129,tie,0.0,7494,-0.08473445423005077,12,12,3.671956827005488,3.7792484189994866,op_stable_id_w200,10,[]
case_075,1,5,1438628,758284,win,0.4729116908610148,720755,-0.05206901096766581,12,12,64.87749353000254,80.29511440699571,v2_p1_branch_s2_critical,6,"[{""source"": ""joint"", ""error"": ""assignment deadline""}, {""source"": ""joint"", ""error"": ""assignment deadline""}]"
case_075,2,5,413605,413605,tie,0.0,392249,-0.05444500814533626,12,12,54.799329011992086,51.03083923200029,op_critical_path_w200,10,[]
case_075,3,5,409050,409050,tie,0.0,379091,-0.07902851821858081,12,12,57.92790801799856,57.05651334200229,op_critical_path_w200,10,[]
case_085,1,5,2760933,2568855,win,0.06956996058940945,2760933,0.06956996058940945,4,5,165.44714856799692,179.90894097999262,v2_p1_wavefront_s4_critical,3,"[{""source"": ""joint"", ""error"": ""assignment deadline""}]"
case_085,2,5,969255,969255,tie,0.0,869620,-0.11457303189899037,8,11,165.15262354300648,168.28613625899015,op_critical_path_w200,9,[]
case_085,3,5,948393,908530,win,0.042032153337276834,816858,-0.11222513582532101,8,7,178.08949427198968,166.02561792600318,joint_fifo_g1_t0_w8_advance,5,[]
