case,problem,cores,valid,cold_makespan,archive_makespan,cold_speedup,archive_speedup,outcome,trained_graph,calls,seconds,failures,best_name
case_001,1,5,True,47502,47502,4.9073723211654245,4.9073723211654245,tie,False,2,0.8249124019930605,0,wcc_start0_simple_a5_per_core_lpt_mv
case_001,2,5,True,47502,47502,4.9073723211654245,4.9073723211654245,tie,False,2,0.7006111730006523,0,wcc_start0_simple_a5_per_core_lpt_mv
case_001,3,5,True,47502,47502,4.9073723211654245,4.9073723211654245,tie,False,2,0.7045300419995328,0,wcc_start0_simple_a5_per_core_lpt_mv
case_002,1,5,True,76778,64296,3.411719502982625,4.074048152295632,loss,False,8,10.100770866003586,0,v2_p1_affinity_s2_critical
case_002,2,5,True,58804,51207,4.454543908577648,5.115413908254731,loss,False,8,5.757081180010573,0,v2_p2_branch_s2_residency
case_002,3,5,True,58804,51207,4.454543908577648,5.115413908254731,loss,False,8,6.02245125900663,0,v2_p3_branch_s2_residency
case_003,1,5,True,347627,409613,1.7323510544347822,1.4701974790839158,win,False,4,78.25288559598266,0,v2_p1_branch_s2_critical
case_003,2,5,True,213029,157029,2.826901501673481,3.8350368403288564,loss,False,8,47.94586650200654,0,op_stable_id_w200
case_003,3,5,True,193573,145137,3.1110330469641942,4.149265866043807,loss,False,8,60.16552374602179,0,joint_fifo_g1_t0_w8_advance
case_004,1,5,True,88341,88341,4.441391879195391,4.441391879195391,tie,False,8,2.997121915992466,0,wcc_start0_simple_a5_per_core_lpt_mv
case_004,2,5,True,83270,81107,4.711865017413234,4.837523271727471,loss,False,8,2.813906348994351,0,op_release_priority_w200
case_004,3,5,True,81548,81107,4.811362633050473,4.837523271727471,loss,False,8,3.019770063998294,0,op_release_priority_w200
case_005,1,5,True,71793,70732,1.3318568662682992,1.3518350958547758,loss,False,8,15.059085146000143,0,v2_p1_branch_s2_critical
case_005,2,5,True,41728,37038,2.291458972392638,2.5816188779091744,loss,False,8,10.210494757004199,0,op_stable_id_w200
case_005,3,5,True,36097,34188,2.6489181926475887,2.796829296829297,loss,False,8,13.067371010009083,0,op_stable_id_w200
case_006,1,5,True,31151,31151,2.6592083721228854,2.6592083721228854,tie,False,8,3.4357719980034744,0,selective_whole_critical_path_x1_a3_eft
case_006,2,5,True,20866,31151,3.9699511166490944,2.6592083721228854,win,False,8,3.0529208810039563,0,v2_p2_affinity_s2_residency
case_006,3,5,True,20505,31151,4.039843940502316,2.6592083721228854,win,False,8,3.240791411997634,0,v2_p3_affinity_s2_residency
case_007,1,5,True,203834,203834,4.967581463347626,4.967581463347626,tie,False,3,6.639671060998808,0,wcc_start0_simple_a5_per_core_lpt_mv
case_007,2,5,True,203530,203834,4.975001228320149,4.967581463347626,win,False,8,12.062479686006554,0,v2_p2_branch_s2_residency
case_007,3,5,True,203530,203834,4.975001228320149,4.967581463347626,win,False,8,12.282404982994194,0,joint_g0_reallocate_branch
case_008,1,5,True,100603,100603,4.846823653370178,4.846823653370178,tie,False,8,2.9552055719977943,0,wcc_start0_simple_a5_per_core_lpt_mv
case_008,2,5,True,100500,55855,4.851791044776119,8.729836182973772,loss,False,8,3.826935801000218,0,joint_g0_reallocate_branch
case_008,3,5,True,100603,55855,4.846823653370178,8.729836182973772,loss,False,8,4.011686450001434,0,wcc_start0_simple_a5_per_core_lpt_mv
case_009,1,5,True,83830,83830,1.8282357151377788,1.8282357151377788,tie,False,8,27.59855630999664,0,selective_phase_band_critical_path_x2_a5_eft
