problem,cores,graphs,before_mean,after_mean,delta_mean,improved
1,1,100,1.0012193240160676,1.0021867095309935,0.0009673855149259225,7
1,2,100,1.784572255948752,1.7864345214286457,0.0018622654798936544,6
1,3,100,2.4287737599386845,2.430718497334446,0.0019447373957612868,3
1,4,100,3.03475714977441,3.036815406493281,0.0020582567188709433,3
1,5,100,3.6182539684264774,3.6653494314097714,0.047095462983294034,23
2,1,100,1.0015105678032634,1.0024460533585284,0.0009354855552650143,6
2,2,100,2.0420107113779897,2.042043366594617,3.2655216627208716e-05,1
2,3,100,2.897896084195691,2.899103029284156,0.0012069450884650834,3
2,4,100,3.606766851120958,3.6079510249349953,0.001184173814037237,1
2,5,100,4.334517565184253,4.388427246682187,0.053909681497933626,30
3,1,100,1.010132283469584,1.0111209089977997,0.0009886255282156586,7
3,2,100,2.0483501485922906,2.048526140265181,0.00017599167289050754,2
3,3,100,2.9147717447600945,2.9157105062047965,0.0009387614447020631,3
3,4,100,3.641775579313945,3.6422361991051924,0.0004606197912475629,1
3,5,100,4.42846590611176,4.482579350414788,0.054113444303028224,34
