problem,cores,graphs,mean_original_singlecore_speedup,formal_p1_p2,p3_samecore_p2_over_p3,interpretation
1,1,100,1.0021867095309935,1,,cumulative best-known; independent scene mappings; not unified cold result
1,2,100,1.7864345214286457,1.7864345214286457,,cumulative best-known; independent scene mappings; not unified cold result
1,3,100,2.430718497334446,2.430718497334446,,cumulative best-known; independent scene mappings; not unified cold result
1,4,100,3.036815406493281,3.036815406493281,,cumulative best-known; independent scene mappings; not unified cold result
1,5,100,3.6653494314097714,3.6653494314097714,,cumulative best-known; independent scene mappings; not unified cold result
2,1,100,1.0024460533585284,1,,cumulative best-known; independent scene mappings; not unified cold result
2,2,100,2.042043366594617,2.042043366594617,,cumulative best-known; independent scene mappings; not unified cold result
2,3,100,2.899103029284156,2.899103029284156,,cumulative best-known; independent scene mappings; not unified cold result
2,4,100,3.6079510249349953,3.6079510249349953,,cumulative best-known; independent scene mappings; not unified cold result
2,5,100,4.388427246682187,4.388427246682187,,cumulative best-known; independent scene mappings; not unified cold result
3,1,100,1.0111209089977997,,1.0086752318398495,cumulative best-known; independent scene mappings; not unified cold result
3,2,100,2.048526140265181,,1.0030169821220905,cumulative best-known; independent scene mappings; not unified cold result
3,3,100,2.9157105062047965,,1.0059966731520447,cumulative best-known; independent scene mappings; not unified cold result
3,4,100,3.6422361991051924,,1.011244720795769,cumulative best-known; independent scene mappings; not unified cold result
3,5,100,4.482579350414788,,1.0268109284704454,cumulative best-known; independent scene mappings; not unified cold result
