case,makespan,plan_sha256,hit_rate,peak_cache_bytes,evicted_entries,hit_count,hit_bytes,first_miss_count,first_miss_bytes,pre_first_insert_repeat_miss_count,pre_first_insert_repeat_miss_bytes,post_eviction_miss_count,post_eviction_miss_bytes,oversize_miss_count,oversize_miss_bytes,ddr_busy_cycles,cache_busy_cycles,simultaneous_pools_cycles,max_ddr_concurrency,max_cache_concurrency
case_001,47502,811c489eb7d6113f0afaa4b601c2327b28ff85d87c97f113bb17239be950b2e6,0.0,820352,0,0,0,201,820352,4,4608,0,0,0,0,27700,0,0,10,0
case_002,59289,42885e152e7339b219b2be72d7ff14c966e84d2faf783a5a1b281f46f1e8c562,0.0,1047552,163,0,0,607,1543680,0,0,0,0,0,0,31391,0,0,10,0
case_003,238032,116943e57cf8dfbd457114eab4b63cb33e49d5cbd975bf8b5e6824ed25e4ced7,0.2873533880692084,1048576,5466,1697,2539862,6608,5524228,197,694848,9,79872,0,0,208403,11625,10308,10,4
case_004,82161,73c8aacdb33481b18778b84a35d699e1afe9686be411b1beb3b7b18ea5cf75cf,0.20748299319727892,457728,0,6,187392,115,457728,7,258048,0,0,0,0,17900,753,740,9,4
case_005,32209,ce80228cdf9403a210ac974f78307f00788bcd38884b42e8fc38374b4c3fc9db,0.4438917125769342,694662,0,362,632654,563,694662,41,97928,0,0,0,0,25437,2745,2114,10,3
case_006,31729,3aa8111a2c51a154355d695532ece49f7731f289086dc4e21e523e85487d1139,0.0896388083311363,543264,0,21,54400,131,543264,2,9216,0,0,0,0,9348,225,225,6,2
case_007,196870,71b49abfdc7708499bc2d60707658ae852ac0c6c86e6b92e741953d214f002c5,0.0,880128,0,0,0,558,880128,12,110592,0,0,0,0,31170,0,0,10,0
case_008,55855,e88b516d4f6a3167d37e45a5dc30ed4ac5c281a3d7a2bc650c29bf1748f78719,0.0,1044610,209,0,0,432,1990872,0,0,0,0,0,0,44604,0,0,10,0
case_009,37274,466ec3afb693248d5f918cb8877998937a7b7d85102e370f56fcf12a1acbc21f,0.36854246992413386,821028,0,588,502588,996,821028,41,40102,0,0,0,0,23268,2547,1705,10,4
case_010,18774,747742990ad23bcb56b00f447d7213252272dbe89b786db265a52a6f65453b63,0.31744794675805843,509168,0,52,258242,190,509168,7,46084,0,0,0,0,11576,1060,568,5,3
case_011,46253,1d1d83952b6f7b37e8253dbe4a0deb5cc3f946d4998c5b240ca96c7698392578,0.5454545454545454,544768,0,337,1179648,177,544768,190,438272,0,0,0,0,17860,4945,3984,5,5
case_012,12272,295689f2c0d8888fca27a1a7d53048a57434f4f644d0c699302b64194798f41d,0.05468937395058767,484096,0,22,29184,251,484096,9,20352,0,0,0,0,9874,126,121,6,2
case_013,53849,d9fc96b4bbc5bacf15b3abd7db2c49bff255d0dea2b2603df44b35eaa20ff0f0,0.013930348258706468,1048576,477,14,28672,989,2025472,2,4096,0,0,0,0,43330,126,101,10,5
case_014,3574405,9d2edf59be39d457e614f5113234242cb70dc2bd0a9ddfc96f874c3579e0bf09,0.2673517905952803,1048416,12879,5236,26425344,1621,9911640,101,4192944,11491,58311168,0,0,1212807,108460,24476,7,2
case_015,32109,ed2364b0d6fc0d5479b728ba8a1967deb38d4125e4773fb74010b798acd5585f,0.23231420924241084,884482,0,17,278272,211,884482,2,35072,0,0,0,0,15526,1126,852,5,1
case_016,1969433,c1573cb169a2cd981ceb464fcef71ae97e8c842bee78b6d4f51a43d3017e5cb6,0.017457807920163798,1016192,4063,923,362272,4282,20389016,0,0,0,0,0,0,682137,2364,307,5,4
case_017,25560,04493e840abb4ae427d3830c37383ba2b9bef448f49f0b202e36e7993aa629fb,0.2683478449699795,535118,0,19,232320,257,535118,4,98304,0,0,0,0,12701,941,538,5,2
case_018,196222,e3b240dea79ce2c369fbb3412eb1a5a2d6c1b61dc8f29a3fa2188cbe1bd113e4,0.6895812202238839,1048576,115,745,4326656,432,1592596,57,355072,0,0,0,0,32919,17633,6317,7,5
case_019,22206,adf2a40e409992dfdeb74bc07791531d083d46d76370fcd55381b79e8f91634f,0.06527199263662033,182324,0,5,16736,89,182324,7,57344,0,0,0,0,4262,70,37,5,1
case_020,107187,0b84c2b8325700c09af637a0efa8252ea91118b73f6b976111afd4317536a447,0.0,1048576,32,0,0,288,1179648,0,0,0,0,0,0,39744,0,0,10,0
case_021,1248894,ace269dbb1bec1db459d2bf8e954f42d596d9f21ecb57071172bef4c07a1c6ff,0.34908161333080856,1048576,1377,1441,7550976,1225,11878400,195,1198080,245,1003520,0,0,410690,30937,16200,9,5
case_022,11713,b1514b40deca883322e397e9c9c0f45422770cabe3c43a7f45d569fdb68847d5,0.060801182245210326,213540,0,6,13824,138,213540,0,0,0,0,0,0,3751,60,20,5,1
case_023,16725,aa419f2cabd50dc4e40fb3797195d3e2b652aea3b9de413323c89155bd90f98d,0.129456282494819,434122,0,8,92576,134,434122,8,188416,0,0,0,0,10692,374,330,5,1
case_024,656897,7a87881ccf8ef1c8b28a1c330511fe77bb295b6d24dfcb86bb7b94f6f6c659b8,0.048950191870088006,1016192,1207,311,361048,1426,7014776,0,0,0,0,0,0,230277,1752,307,5,4
case_025,942350,9c60bb2359e412cc005ccb9ca6d0e61767371262575c1dc8c0ee8a15224c23d4,0.010873504893077202,1047552,1990,5,46080,2670,4125696,7,64512,1,1536,0,0,140302,185,185,9,4
case_026,25514,b18cdb2c07e7a99be8ee7ed46b8b6b4af97b03d94b402a0db5acb9072bb16f0d,0.28912451433792397,729526,0,58,328468,221,729526,7,78084,0,0,0,0,18425,1346,1131,7,4
