case,cores,p2_time,p3_time,ratio_p2_over_p3,same_plan,p2_added_copy,p3_added_copy,hit_bytes,miss_bytes,hit_rate
case_001,1,233110,233110,1.0,True,0,0,0,820352,0.0
case_002,1,255849,251773,1.0161891862908254,False,3316224,2732544,958464,2503680,0.27684117125110913
case_003,1,453222,453222,1.0,True,745240,745240,20,1656842,1.2071011345543564e-05
case_004,1,386363,386363,1.0,True,0,0,0,451584,0.0
case_005,1,73787,73787,1.0,True,0,0,0,318822,0.0
case_006,1,77634,77634,1.0,True,0,0,0,543264,0.0
case_007,1,979262,979262,1.0,True,0,0,0,880128,0.0
case_008,1,254001,254001,1.0,True,0,0,0,1990872,0.0
case_009,1,122105,122068,1.000303109742111,True,415618,415618,34306,685850,0.04763690089369525
case_010,1,75081,75081,1.0,True,1282564,1282564,0,1025360,0.0
case_011,1,184697,184697,1.0,True,0,0,0,540672,0.0
case_012,1,35956,35956,1.0,True,0,0,0,484096,0.0
case_013,1,263949,263949,1.0,True,0,0,0,2023424,0.0
case_014,1,17513386,17512146,1.0000708079980603,True,60734880,60734880,10695168,59934072,0.15142691610443493
case_015,1,116048,116048,1.0,True,1083648,1083648,0,1426306,0.0
case_016,1,7715523,7715523,1.0,True,0,0,0,393216,0.0
case_017,1,111337,111337,1.0,True,12288,12288,0,541262,0.0
case_018,1,975003,974899,1.0001066777173842,True,690176,690176,40960,1917204,0.020917553381637085
case_019,1,49567,49567,1.0,True,0,0,0,179252,0.0
case_020,1,532746,532746,1.0,True,0,0,0,1179648,0.0
case_021,1,6199721,6199721,1.0,True,26124288,26124288,0,15417344,0.0
case_022,1,54262,54262,1.0,True,0,0,0,213540,0.0
case_023,1,69823,69823,1.0,True,0,0,0,434122,0.0
case_024,1,2555343,2555343,1.0,True,0,0,0,393216,0.0
case_025,1,4703066,4703066,1.0,True,0,0,0,4122624,0.0
case_026,1,86096,86096,1.0,True,1249280,1249280,0,1113526,0.0
case_027,1,2229905,2229905,1.0,True,0,0,0,1843200,0.0
case_028,1,40346726,40597261,0.9938287708621525,False,147635712,141611064,0,142853304,0.0
case_029,1,37555,37555,1.0,True,0,0,0,258132,0.0
case_030,1,2783863,2783811,1.0000186794290273,True,11663360,11663360,1556480,7446528,0.17288444040036396
case_031,1,1342133,1347132,0.996289153549912,False,4904704,3355142,1266694,3525172,0.26434253378537714
case_032,1,34152,34152,1.0,True,28672,28672,24576,281204,0.08037150892798745
case_033,1,1738589,1738241,1.0002002023885066,True,4957184,4957184,1357824,5876784,0.1876845296939378
case_034,1,758553,758553,1.0,True,59904,59904,27648,2312240,0.011815950165136108
case_035,1,146202,146202,1.0,True,731080,731080,34920,744958,0.044776234231508005
case_036,1,931510,931510,1.0,True,0,0,0,3277952,0.0
case_037,1,210001,210001,1.0,True,0,0,0,532480,0.0
case_038,1,1328347,1328347,1.0,True,4938752,4938752,807936,4913162,0.14122044404762862
case_039,1,1381195,1380227,1.000701333911016,True,10153984,10153984,585728,9027584,0.06092884533446954
case_040,1,223809,223809,1.0,True,0,0,0,911174,0.0
case_041,1,5925894,5925504,1.0000658171861836,True,24450048,24450048,4067328,25331712,0.13834900731452457
case_042,1,1621175,1621175,1.0,True,1894400,1894400,24576,3299104,0.007394213642709286
case_043,1,532953,532288,1.0012493236744018,False,610242,1893060,193238,2280912,0.07810278277388194
case_044,1,74567,74567,1.0,True,0,0,0,952928,0.0
case_045,1,125614,125614,1.0,True,0,0,0,278528,0.0
case_046,1,209667,209667,1.0,True,0,0,0,995936,0.0
case_047,1,277066,277066,1.0,True,0,0,0,457286,0.0
case_048,1,150456,150456,1.0,True,0,0,0,410182,0.0
case_049,1,166548,166548,1.0,True,303504,303504,32784,287864,0.1022429580100297
case_050,1,133500,133500,1.0,True,225996,225996,16584,424006,0.03764043668716948
case_051,1,607628,607628,1.0,True,0,0,0,393216,0.0
case_052,1,141828,141828,1.0,True,0,0,0,810044,0.0
case_053,1,1217800,1217800,1.0,True,136822,136822,18,2965322,6.070130238016551e-06
case_054,1,577879,577771,1.0001869252697002,True,985508,985508,18458,2089742,0.008755336305853335
case_055,1,70489,70489,1.0,True,0,0,0,625692,0.0
case_056,1,246138,246138,1.0,True,89280,89280,20480,255926,0.07409390534214164
case_057,1,47719,47719,1.0,True,229384,229384,32768,434896,0.07006739881624414
case_058,1,4459065,4473866,0.9966916756112052,False,71098368,28766208,0,35389440,0.0
case_059,1,738041,738041,1.0,False,0,0,0,1081344,0.0
case_060,1,727354,727120,1.0003218175816921,True,2259072,2259072,1244160,3039912,0.2904152871380313
case_061,1,71663,71663,1.0,True,0,0,0,544036,0.0
case_062,1,2854809,2854809,1.0,True,0,0,0,13400064,0.0
case_063,1,1070397,1070397,1.0,True,0,0,0,5019648,0.0
case_064,1,16277,16277,1.0,True,0,0,0,35622,0.0
case_065,1,29854,29854,1.0,True,0,0,0,299720,0.0
case_066,1,280637,280637,1.0,True,0,0,0,1027116,0.0
case_067,1,60066399,60066399,1.0,True,29110272,29110272,1073152,20312448,0.05018105641179111
case_068,1,256826,256826,1.0,True,627670,627670,45004,3031310,0.014629195849318372
case_069,1,19752,19752,1.0,True,0,0,0,113766,0.0
case_070,1,92008,92008,1.0,True,0,0,0,419858,0.0
case_071,1,14377,14377,1.0,True,0,0,0,111462,0.0
case_072,1,23454874,23444619,1.000437413804848,True,88848864,88848864,3676160,96254190,0.036787222300332184
case_073,1,8206775,8206775,1.0,True,188416,188416,0,3975552,0.0
case_074,1,1607310,1605014,1.0014305171169846,True,2392092,2392092,229376,4857894,0.04508823003300395
case_075,1,1138789,1138789,1.0,True,0,0,0,1819782,0.0
case_076,1,6116671,6116632,1.0000063760579352,True,22736896,22736896,6803456,20202496,0.25192431653585107
case_077,1,418664,418664,1.0,True,0,0,0,2141260,0.0
case_078,1,2061245,2061245,1.0,True,0,0,0,2246784,0.0
case_079,1,30161480,30801806,0.9792114137722964,False,67907584,35608576,104448,41316352,0.0025216316440049443
case_080,1,289509,289509,1.0,True,827392,827392,0,2318336,0.0
case_081,1,151795,151795,1.0,True,0,0,0,1044820,0.0
case_082,1,597412,597412,1.0,True,960396,960396,12,1046598,1.1465588901309944e-05
case_083,1,823296,823296,1.0,True,131072,131072,0,1249888,0.0
case_084,1,1268652,1268652,1.0,True,0,0,0,9927786,0.0
case_085,1,2707438,2707438,1.0,True,10144936,10144936,24,6728406,3.5669539550831323e-06
case_086,1,92756,92756,1.0,True,171086,171086,14,406662,3.442543941614455e-05
case_087,1,3660759,3660005,1.0002060106475263,True,8097756,8097756,774956,12761916,0.05724778959275082
case_088,1,182214,182110,1.0005710834111252,True,461958,461958,8194,2056614,0.0039684077163591
case_089,1,589412,589412,1.0,True,0,0,0,402560,0.0
case_090,1,840883,840883,1.0,True,0,0,0,2188416,0.0
case_091,1,9040424,9038981,1.0001596418888368,True,38763680,38763680,4673920,40610080,0.10321349704089745
case_092,1,3945094,3958435,0.9966297286680216,False,56614784,34696704,24252864,11226784,0.6835711560610748
case_093,1,74205,74205,1.0,True,0,0,0,573440,0.0
case_094,1,71257,71257,1.0,True,0,0,0,471328,0.0
case_095,1,1073865,1073865,1.0,True,0,0,0,8516508,0.0
case_096,1,54774,54774,1.0,True,137216,137216,2048,277844,0.00731710802738199
case_097,1,10419693,10419693,1.0,True,34676736,34676736,0,21598208,0.0
case_098,1,169595,169429,1.000979761433993,True,1566248,1566248,131072,1415500,0.0847500148715999
case_099,1,1596164,1596164,1.0,True,6086016,6086016,918528,5122688,0.15204356209081085
case_100,1,139277,139277,1.0,True,0,0,0,436006,0.0
case_001,2,116868,116868,1.0,True,1152,1152,0,821504,0.0
case_002,2,129232,129739,0.9960921542481443,False,4205568,4348416,193536,4205568,0.04399441340782123
case_003,2,281188,279980,1.0043145938995643,False,7582218,7582474,360582,4943304,0.06798449287937185
case_004,2,194802,194802,1.0,True,125952,125952,76800,494592,0.13440860215053763
case_005,2,40820,40429,1.009671275569517,True,710982,710982,144486,604374,0.1929412707315119
case_006,2,40612,40612,1.0,True,3456,3456,3456,543264,0.006321334503950834
case_007,2,490226,490226,1.0,True,35328,35328,19968,892416,0.021885521885521887
case_008,2,129246,129246,1.0,True,0,0,0,1990872,0.0
case_009,2,79930,79930,1.0,True,493568,493568,47104,718426,0.06153122673180672
case_010,2,45452,45452,1.0,True,48384,48384,48384,384078,0.11188035018105637
case_011,2,92646,92646,1.0,True,180224,180224,0,720896,0.0
case_012,2,18675,18542,1.0071729047567684,True,28800,28800,28800,484096,0.0561517344646868
case_013,2,132198,132198,1.0,True,8192,8192,0,2031616,0.0
case_014,2,8801137,8787064,1.001601558836945,True,68858136,68858136,27610848,51158928,0.3505259174534151
case_015,2,67929,67929,1.0,True,1191168,1191168,70144,1464834,0.04569707187985756
case_016,2,4027025,4026193,1.0002066468249287,True,404196,404196,393216,398706,0.49653374953593915
case_017,2,57263,57263,1.0,True,87552,87552,38400,584270,0.06166990540735863
case_018,2,486844,486465,1.0007790899653624,True,1463296,1463296,1258496,1715476,0.42317009037072306
case_019,2,26149,26149,1.0,True,2592,2592,2592,179252,0.014253975935417171
case_020,2,266580,266580,1.0,True,0,0,0,1179648,0.0
case_021,2,3102874,3102874,1.0,True,25079808,25079808,0,15663104,0.0
case_022,2,27246,27181,1.0023913763290533,False,6912,6912,6912,213540,0.03135376408469871
case_023,2,37454,37454,1.0,True,74016,74016,74016,434122,0.14566121801557844
case_024,2,1335245,1334413,1.0006234951248227,True,396852,396852,393216,395034,0.49884681255946717
case_025,2,2351860,2351860,1.0,True,27648,27648,0,4150272,0.0
case_026,2,49867,49867,1.0,True,1296,1296,1296,488886,0.0026439159332656034
case_027,2,1115722,1115722,1.0,True,1105920,1105920,0,2949120,0.0
case_028,2,20786944,20870921,0.9959763634772035,False,141796560,74690688,2145240,42520872,0.04802835760587355
case_029,2,19740,19740,1.0,True,0,0,0,258132,0.0
case_030,2,1393832,1393511,1.0002303534023054,True,12249088,12249088,3864576,6650368,0.3675317719238448
case_031,2,680485,679536,1.0013965411692685,True,4885124,4885124,2928640,3618168,0.447338611427126
case_032,2,17325,17325,1.0,True,6144,6144,6144,279156,0.02153522607781283
case_033,2,869585,868519,1.0012273767182986,True,6563360,6563360,3233280,5767248,0.3592322583741754
case_034,2,374992,374992,1.0,True,1101312,1101312,1101312,2279984,0.3257070661663457
case_035,2,80127,80127,1.0,True,588832,588832,36864,672862,0.05194117166343067
case_036,2,466068,466068,1.0,True,1152,1152,0,3279104,0.0
case_037,2,105374,105374,1.0,True,204800,204800,0,737280,0.0
case_038,2,666218,664974,1.0018707498338282,True,5591552,5591552,2710016,4330506,0.38491691383110516
case_039,2,692686,691136,1.0022426845078247,True,13369344,13369344,2990080,10256384,0.22572665429808286
case_040,2,130824,130824,1.0,True,12288,12288,12288,911174,0.013306448993028408
case_041,2,2968333,2973456,0.9982770890169553,False,30394368,29000704,9950208,23979008,0.2932637170278264
case_042,2,822365,821855,1.0006205474201653,True,3658016,3658016,2052384,3167008,0.3932228121589641
case_043,2,272847,272945,0.999640953305611,False,1698060,1701132,781678,1899940,0.29149491090826507
case_044,2,43839,43790,1.0011189769353734,True,930400,930400,2848,1880480,0.0015122166717640262
case_045,2,62983,62983,1.0,True,0,0,0,278528,0.0
case_046,2,105322,105322,1.0,True,930400,930400,0,1926336,0.0
case_047,2,155794,155794,1.0,False,763014,762886,135686,770918,0.1496640208955619
case_048,2,118084,102880,1.1477838258164852,False,710854,479718,147462,576342,0.20373194953329907
case_049,2,103352,103147,1.001987454797522,False,3732258,3729574,17574,2014776,0.00864713262971437
case_050,2,96093,96093,1.0,True,789888,789888,36224,696132,0.04946228337038271
case_051,2,319230,318398,1.0026130817404633,True,394080,394080,393216,393648,0.4997254925882999
case_052,2,71528,71558,0.9995807596634898,False,232448,186368,82944,872764,0.08678801474927489
case_053,2,609413,609949,0.9991212380051447,False,1165808,1167856,1016046,2982184,0.2541239498478077
