config_id,case,problem,cores,group,baseline,baseline_makespan,persistent_makespan,baseline_speedup,persistent_speedup,outcome,time_reduction,copy_delta,baseline_calls,persistent_calls,baseline_seconds,persistent_seconds
case_060_p2_n5,case_060,2,5,frozen_regression,legacy,162261,164455,5.477526947325605,5.404451065641057,loss,-0.01352142535791101,90108,24,24,113.26471866801148,126.68765738100046
case_060_p2_n5,case_060,2,5,frozen_regression,mature,163289,164455,5.443042703427665,5.404451065641057,loss,-0.007140713703923662,-95232,24,24,48.33651985100005,126.68765738100046
case_047_p3_n4,case_047,3,4,core_regression,legacy,90017,90052,3.6271815323772176,3.6257717763070225,loss,-0.00038881544597124673,0,8,20,240.02410141099244,240.06437291600741
case_047_p3_n4,case_047,3,4,core_regression,mature,91015,90052,3.5874086689007307,3.6257717763070225,win,0.010580673515354633,-38432,24,20,150.1862770470034,240.06437291600741
case_025_p3_n5,case_025,3,5,existing_regression,legacy,942350,942938,5.160530588422561,5.157312569861433,loss,-0.0006239719849312486,-7680,11,13,240.01780441598385,240.00565342401387
case_025_p3_n5,case_025,3,5,existing_regression,mature,942350,942938,5.160530588422561,5.157312569861433,loss,-0.0006239719849312486,-7680,23,13,240.8091000310087,240.00565342401387
case_047_p3_n1,case_047,3,1,core_regression,legacy,277066,277066,1.0,1.0,tie,0.0,0,6,8,95.55559362602071,89.46860079499311
case_047_p3_n1,case_047,3,1,core_regression,mature,277066,277066,1.0,1.0,tie,0.0,0,10,8,65.21428776200628,89.46860079499311
case_053_p3_n5,case_053,3,5,existing_regression,legacy,325708,325708,4.521491642821177,4.521491642821177,tie,0.0,0,12,22,240.04167719298857,240.03023415099597
case_053_p3_n5,case_053,3,5,existing_regression,mature,374457,325708,3.932857444245935,4.521491642821177,win,0.13018584243317655,6796570,24,22,115.83366296198801,240.03023415099597
case_095_p2_n5,case_095,2,5,existing_regression,legacy,217302,220188,9.594265124112985,9.468513270477954,loss,-0.013281055857746304,0,24,24,93.79000224999618,91.65540965599939
case_095_p2_n5,case_095,2,5,existing_regression,mature,220188,220188,9.468513270477954,9.468513270477954,tie,0.0,0,24,24,47.77061532699736,91.65540965599939
case_047_p3_n3,case_047,3,3,core_regression,legacy,108619,104462,3.0059934265644133,3.1256150561926823,win,0.03827138898351112,149216,12,20,240.07363979998627,240.5666240840219
case_047_p3_n3,case_047,3,3,core_regression,mature,108690,104462,3.004029809550097,3.1256150561926823,win,0.03889962278038461,149216,24,20,144.8789275510062,240.5666240840219
case_054_p1_n5,case_054,1,5,development,legacy,329736,461210,2.4718289783341825,1.76720149172828,loss,-0.3987250406385714,726646,15,9,240.01415262802038,240.05864260499948
case_054_p1_n5,case_054,1,5,development,mature,517986,461210,1.573500055986069,1.76720149172828,win,0.10960914001536726,5712362,5,9,240.17292675899807,240.05864260499948
case_085_p1_n5,case_085,1,5,development,mature,2760933,2627370,1.1546455491676184,1.213342239577981,win,0.048376038100164,10324080,6,9,246.34888332997798,240.04074943700107
case_060_p2_n4,case_060,2,4,core_regression,legacy,194109,194770,4.578813965349365,4.563274631616779,loss,-0.0034053032059306876,26624,24,24,113.21648469302454,105.62868494397844
case_060_p2_n4,case_060,2,4,core_regression,mature,194395,194770,4.572077471128373,4.563274631616779,loss,-0.0019290619614702464,174080,24,24,45.01116213100613,105.62868494397844
case_060_p2_n1,case_060,2,1,core_regression,legacy,731696,731696,1.0,1.0,tie,0.0,0,24,7,94.96500131802168,25.754351942014182
case_060_p2_n1,case_060,2,1,core_regression,mature,727354,731696,1.0,1.0,loss,-0.005969582899111092,-194560,24,7,61.67478783399565,25.754351942014182
