variant,problem,cores,count,statement_mean_speedup,raw_optimized_mean_ratio,graph_set,interpretation
legacy,1,5,1,2.4718289783341825,2.4718289783341825,case_054,panel only; graph sets may differ by core count; not full-pool curve
legacy,2,1,1,1.0,1.2146970873149505,case_060,panel only; graph sets may differ by core count; not full-pool curve
legacy,2,4,1,4.578813965349365,4.578813965349365,case_060,panel only; graph sets may differ by core count; not full-pool curve
legacy,2,5,2,7.535896035719295,7.535896035719295,case_060;case_095,panel only; graph sets may differ by core count; not full-pool curve
legacy,3,1,1,1.0,1.178448456324486,case_047,panel only; graph sets may differ by core count; not full-pool curve
legacy,3,3,1,3.0059934265644133,3.0059934265644133,case_047,panel only; graph sets may differ by core count; not full-pool curve
legacy,3,4,1,3.6271815323772176,3.6271815323772176,case_047,panel only; graph sets may differ by core count; not full-pool curve
legacy,3,5,2,4.841011115621869,4.841011115621869,case_025;case_053,panel only; graph sets may differ by core count; not full-pool curve
persistent,1,5,2,1.4902718656531304,1.4902718656531304,case_054;case_085,panel only; graph sets may differ by core count; not full-pool curve
persistent,2,1,1,1.0,1.2146970873149505,case_060,panel only; graph sets may differ by core count; not full-pool curve
persistent,2,4,1,4.563274631616779,4.563274631616779,case_060,panel only; graph sets may differ by core count; not full-pool curve
persistent,2,5,3,6.676758968660148,6.676758968660148,case_025;case_060;case_095,panel only; graph sets may differ by core count; not full-pool curve
persistent,3,1,1,1.0,1.178448456324486,case_047,panel only; graph sets may differ by core count; not full-pool curve
persistent,3,3,1,3.1256150561926823,3.1256150561926823,case_047,panel only; graph sets may differ by core count; not full-pool curve
persistent,3,4,1,3.6257717763070225,3.6257717763070225,case_047,panel only; graph sets may differ by core count; not full-pool curve
persistent,3,5,2,4.839402106341305,4.839402106341305,case_025;case_053,panel only; graph sets may differ by core count; not full-pool curve
mature,1,5,2,1.3640728025768438,1.3640728025768438,case_054;case_085,panel only; graph sets may differ by core count; not full-pool curve
mature,2,1,1,1.0,1.2219483222749858,case_060,panel only; graph sets may differ by core count; not full-pool curve
mature,2,4,1,4.572077471128373,4.572077471128373,case_060,panel only; graph sets may differ by core count; not full-pool curve
mature,2,5,2,7.45577798695281,7.45577798695281,case_060;case_095,panel only; graph sets may differ by core count; not full-pool curve
mature,3,1,1,1.0,1.178448456324486,case_047,panel only; graph sets may differ by core count; not full-pool curve
mature,3,3,1,3.004029809550097,3.004029809550097,case_047,panel only; graph sets may differ by core count; not full-pool curve
mature,3,4,1,3.5874086689007307,3.5874086689007307,case_047,panel only; graph sets may differ by core count; not full-pool curve
mature,3,5,2,4.546694016334248,4.546694016334248,case_025;case_053,panel only; graph sets may differ by core count; not full-pool curve
