config_id,case,problem,cores,group,variant,allowed_time_regression,makespan,added_copy,actual_time_regression,bytes_saved,archived_plan
case_060_p2_n5,case_060,2,5,frozen_regression,legacy,0.0,163999,3628416,0.0,0,plans/6214499d404e38b702c245268b8f5d84157bb90e81c5bcea0d195ade0e786902.json
case_060_p2_n5,case_060,2,5,frozen_regression,legacy,0.01,164251,3620228,0.0015365947353338516,8188,plans/6f501f34a70706a1d23414796ca3454a8588cd8a7b41db641ecd60b7a9e70fb1.json
case_060_p2_n5,case_060,2,5,frozen_regression,legacy,0.03,164251,3620228,0.0015365947353338516,8188,plans/6f501f34a70706a1d23414796ca3454a8588cd8a7b41db641ecd60b7a9e70fb1.json
case_060_p2_n5,case_060,2,5,frozen_regression,persistent,0.0,164455,3644800,0.0,0,plans/c94610c6820f26b2b2dd11bc0d73edc1e5d8ceadc706087c198802b84200aece.json
case_060_p2_n5,case_060,2,5,frozen_regression,persistent,0.01,164455,3644800,0.0,0,plans/c94610c6820f26b2b2dd11bc0d73edc1e5d8ceadc706087c198802b84200aece.json
case_060_p2_n5,case_060,2,5,frozen_regression,persistent,0.03,164455,3644800,0.0,0,plans/c94610c6820f26b2b2dd11bc0d73edc1e5d8ceadc706087c198802b84200aece.json
case_060_p2_n5,case_060,2,5,frozen_regression,mature,0.0,163289,3740032,0.0,0,plans/79276bc069933aecd9feb1e3d223f5d8e3bdea621b99ec064eb4654bd68b0cf5.json
case_060_p2_n5,case_060,2,5,frozen_regression,mature,0.01,164455,3644800,0.007140713703923662,95232,plans/c94610c6820f26b2b2dd11bc0d73edc1e5d8ceadc706087c198802b84200aece.json
case_060_p2_n5,case_060,2,5,frozen_regression,mature,0.03,165264,3588480,0.012095119695754164,151552,plans/76f298c5aa192d3974f66f85f95a096dc32ee6f1fd2959ad52f4b36a7c755262.json
case_047_p3_n4,case_047,3,4,core_regression,persistent,0.0,90052,2114418,0.0,0,plans/5780646d664bdcb55447599b49a7f21b44acd1b18172917b24d158eabd42b0fb.json
case_047_p3_n4,case_047,3,4,core_regression,persistent,0.01,90052,2114418,0.0,0,plans/5780646d664bdcb55447599b49a7f21b44acd1b18172917b24d158eabd42b0fb.json
case_047_p3_n4,case_047,3,4,core_regression,persistent,0.03,92392,2106546,0.025984986452272096,7872,plans/e9a719f5329991fbada41966329b8f6b437832a9402d6ad1982529b326182c51.json
case_047_p3_n4,case_047,3,4,core_regression,mature,0.0,91015,2152850,0.0,0,plans/205c697a7cd5b255a45e15701764696801d4ff5643b5dca89ba177facfec4b43.json
case_047_p3_n4,case_047,3,4,core_regression,mature,0.01,91015,2152850,0.0,0,plans/205c697a7cd5b255a45e15701764696801d4ff5643b5dca89ba177facfec4b43.json
case_047_p3_n4,case_047,3,4,core_regression,mature,0.03,91015,2152850,0.0,0,plans/205c697a7cd5b255a45e15701764696801d4ff5643b5dca89ba177facfec4b43.json
case_025_p3_n5,case_025,3,5,existing_regression,mature,0.0,942350,118272,0.0,0,plans/9c60bb2359e412cc005ccb9ca6d0e61767371262575c1dc8c0ee8a15224c23d4.json
case_025_p3_n5,case_025,3,5,existing_regression,mature,0.01,942938,110592,0.0006239719849312486,7680,plans/c7b7c79a1105825d864864a1f45a3ee16960f02f7e4cc0821f4a283ede83cff8.json
case_025_p3_n5,case_025,3,5,existing_regression,mature,0.03,942938,110592,0.0006239719849312486,7680,plans/c7b7c79a1105825d864864a1f45a3ee16960f02f7e4cc0821f4a283ede83cff8.json
