case,problem,cores,lineages,stale_parent_visits,max_depth,parent_family_streams_with_multiple_calls,max_calls_same_parent_family
case_001,2,5,1,12,2,2,8
case_001,3,5,1,10,1,3,8
case_003,1,5,3,3,2,3,2
case_009,2,5,4,7,2,1,3
case_009,3,5,5,6,2,1,2
case_012,1,5,5,6,3,3,3
case_012,2,5,3,7,4,2,2
case_012,3,5,3,7,4,2,2
case_016,1,5,4,0,2,1,2
case_019,2,5,3,7,3,2,3
case_019,3,5,4,7,3,1,2
case_023,2,5,3,7,3,4,2
case_023,3,5,3,7,3,3,2
case_025,2,5,3,6,2,3,2
case_025,3,5,3,4,2,0,1
case_028,2,5,4,5,3,3,2
case_028,3,5,3,4,2,1,2
case_035,2,5,5,6,2,1,2
case_035,3,5,4,7,2,1,3
case_037,2,5,3,7,2,2,2
case_037,3,5,5,6,2,3,2
case_042,1,5,5,5,3,3,3
case_042,2,5,4,7,2,3,3
case_042,3,5,4,7,1,3,3
case_043,1,5,5,5,2,5,3
case_046,2,5,3,5,2,4,3
case_046,3,5,3,7,3,3,3
case_047,1,1,5,4,2,7,3
case_047,1,2,5,4,2,4,5
case_047,1,3,5,3,2,4,4
case_047,1,4,5,4,2,4,4
case_047,1,5,5,4,2,6,2
case_047,2,1,1,1,1,0,1
case_047,2,2,5,5,1,2,2
case_047,2,3,4,7,2,3,2
case_047,2,4,5,6,2,3,2
case_047,2,5,5,5,1,2,2
case_047,3,1,1,3,1,0,1
case_047,3,2,5,5,2,1,3
case_047,3,3,5,6,3,2,2
case_047,3,4,4,7,2,3,3
case_047,3,5,5,5,2,2,2
case_049,2,5,4,7,2,2,2
case_049,3,5,5,6,2,1,2
case_050,2,5,4,7,3,2,2
case_050,3,5,4,7,2,1,3
case_053,2,5,4,7,3,2,2
case_053,3,5,5,6,3,1,2
case_054,1,5,3,0,1,0,1
case_058,1,5,2,1,1,2,3
case_060,1,1,5,4,1,3,2
case_060,1,2,5,5,2,3,3
case_060,1,3,5,6,3,3,3
case_060,1,4,5,6,3,3,3
case_060,1,5,5,6,2,3,3
case_060,2,1,1,1,0,0,1
case_060,2,2,4,8,2,3,3
case_060,2,3,5,6,2,3,2
case_060,2,4,4,7,2,3,3
case_060,2,5,5,6,3,3,2
case_060,3,1,1,15,3,6,3
case_060,3,2,3,7,2,3,2
case_060,3,3,5,4,2,1,2
case_060,3,4,4,7,2,3,3
case_060,3,5,3,7,3,3,3
case_062,1,5,2,0,1,0,1
case_066,2,5,4,7,4,3,2
case_066,3,5,4,7,4,3,2
case_071,2,5,5,4,3,3,2
case_071,3,5,5,4,3,4,2
case_075,1,5,3,6,3,3,3
case_085,1,5,3,0,2,0,1
case_087,1,5,2,2,2,2,2
case_095,2,5,3,7,1,5,3
case_095,3,5,3,7,2,3,3
