case,problem,cores,variant,old_time,new_time,old_copy,new_copy,time_reduction
case_003,1,5,mature,232913,221109,8482342,9306974,0.05067986759004439
case_019,3,5,legacy,15396,15394,272468,789864,0.00012990387113531732
case_025,2,5,legacy,942350,942179,118272,125952,0.00018146124051576784
case_035,2,5,legacy,41934,41448,1130532,1126424,0.011589640864215212
case_035,3,5,legacy,40778,40174,1130532,1132564,0.014811908381970662
case_042,1,5,mature,335169,335169,11748480,11692896,0.0
case_042,2,5,persistent,347174,346660,10476936,14267176,0.0014805256153974655
case_042,3,5,legacy,347203,343838,8738816,14425492,0.00969173653453459
case_047,1,1,legacy,323254,320846,501350,544716,0.007449250434642729
case_047,1,2,mature,319012,232371,1051490,2888764,0.2715916642634133
case_047,1,3,mature,219173,194391,3421374,3515328,0.1130704968221451
case_047,1,4,mature,190683,162413,3231082,3828672,0.14825653047204002
case_047,1,5,legacy,162013,160151,3494802,3720028,0.011492904890348266
case_047,2,1,legacy,277066,273973,0,0,0.011163405109251956
case_047,2,2,legacy,155794,150181,763014,903430,0.03602834512240527
case_047,2,4,legacy,92456,91661,2149778,2114482,0.008598684779787091
case_047,2,5,legacy,86887,86880,2658872,2648760,8.056441124681957e-05
case_047,3,2,legacy,155794,149574,762886,903366,0.03992451570663824
case_047,3,3,persistent,108690,104462,1560748,1709964,0.03889962278038461
case_047,3,4,legacy,91015,90017,2152850,2114418,0.010965225512278187
case_047,3,5,legacy,83346,83320,2658872,2648760,0.0003119525832073755
case_049,2,5,legacy,54069,53502,1782112,1789276,0.010486600454974182
case_049,3,5,legacy,52519,52472,1786208,1778976,0.0008949142215198824
case_050,3,5,persistent,35012,34788,1481220,1481220,0.00639780646635435
case_053,2,5,legacy,365859,344470,17097752,10036070,0.05846241311543521
case_054,1,5,legacy,387450,329736,13481052,6116212,0.14895857530003875
case_058,1,5,mature,943984,937334,36671488,36671488,0.0070446109256089295
case_060,1,2,legacy,437641,434183,2497668,4645000,0.007901453474423059
case_060,1,4,legacy,226171,222248,4825344,5581056,0.01734528299384097
case_060,1,5,persistent,183430,179213,3628416,5589632,0.022989696341928822
case_060,2,4,legacy,194395,194109,3667328,3814784,0.0014712312559479468
case_060,3,4,legacy,191705,188051,3841408,3704196,0.019060535718943172
case_062,1,5,mature,789139,740813,23235072,23488512,0.061238894542026134
case_075,1,5,legacy,478842,424934,12535518,10606092,0.11257993242029729
case_087,1,5,persistent,879179,835614,14544428,32684724,0.04955191149925098
case_095,2,5,legacy,220188,217302,0,0,0.013106981306883259
case_095,3,5,legacy,220188,217302,0,0,0.013106981306883259
