problem,cores,count,mean_speedup,raw_optimized_singlecore_ratio
1,1,100,1.0,1.0515525908789989
1,2,100,1.8865623418040816,1.8865623418040816
1,3,100,2.6086721949798797,2.6086721949798797
1,4,100,3.2968553575201174,3.2968553575201174
1,5,100,3.9228384379259973,3.9228384379259973
2,1,100,1.0,1.2014586335788489
2,2,100,2.2631854223274464,2.2631854223274464
2,3,100,3.1677100585690763,3.1677100585690763
2,4,100,3.9136933980240203,3.9136933980240203
2,5,100,4.730723905435941,4.730723905435941
3,1,100,1.0,1.2011758384475673
3,2,100,2.264590929322452,2.264590929322452
3,3,100,3.189593301122709,3.189593301122709
3,4,100,3.9706219953375963,3.9706219953375963
3,5,100,4.872482166360644,4.872482166360644
