problem,cores,group,baseline,count,baseline_mean_speedup,persistent_mean_speedup,wins,ties,losses,copy_increase_cases,time_tie_copy_regressions
1,1,all,legacy,2,1.0,1.0,0,1,1,0,0
1,1,all,mature,2,1.0,1.0,1,0,1,1,0
1,1,core_regression,legacy,2,1.0,1.0,0,1,1,0,0
1,1,core_regression,mature,2,1.0,1.0,1,0,1,1,0
1,2,all,legacy,2,1.6969756444605155,1.5181935522798808,0,0,2,1,0
1,2,all,mature,2,1.7179891461038959,1.5181935522798808,0,0,2,1,0
1,2,core_regression,legacy,2,1.6969756444605155,1.5181935522798808,0,0,2,1,0
1,2,core_regression,mature,2,1.7179891461038959,1.5181935522798808,0,0,2,1,0
1,3,all,legacy,2,2.319510707278017,2.013891107787899,0,0,2,1,0
1,3,all,mature,2,2.3647874004892326,2.013891107787899,0,0,2,0,0
1,3,core_regression,legacy,2,2.319510707278017,2.013891107787899,0,0,2,1,0
1,3,core_regression,mature,2,2.3647874004892326,2.013891107787899,0,0,2,0,0
1,4,all,legacy,2,2.9210492862687945,2.496400827411049,0,0,2,1,0
1,4,all,mature,2,2.970038815449218,2.496400827411049,1,0,1,1,0
1,4,core_regression,legacy,2,2.9210492862687945,2.496400827411049,0,0,2,1,0
1,4,core_regression,mature,2,2.970038815449218,2.496400827411049,1,0,1,1,0
1,5,all,legacy,13,3.1894783029768727,2.9854702167720357,4,3,6,5,0
1,5,all,mature,12,3.27123551270829,2.8379369567697847,3,0,9,7,0
1,5,development,legacy,9,2.8212891487059952,2.6305337119472822,3,2,4,4,0
1,5,development,mature,8,2.861879697846416,2.364866758840811,2,0,6,5,0
1,5,frozen_regression,legacy,4,4.017903900086347,3.784077352627732,1,1,2,1,0
1,5,frozen_regression,mature,4,4.089947142432038,3.784077352627732,1,0,3,2,0
2,1,all,legacy,2,1.0,1.0,0,1,1,0,0
2,1,all,mature,2,1.0,1.0,0,1,1,0,0
2,1,core_regression,legacy,2,1.0,1.0,0,1,1,0,0
2,1,core_regression,mature,2,1.0,1.0,0,1,1,0,0
2,2,all,legacy,2,2.304053996761236,2.301728265373766,0,1,1,0,0
2,2,all,mature,2,2.2667687410794537,2.301728265373766,1,0,1,2,0
2,2,core_regression,legacy,2,2.304053996761236,2.301728265373766,0,1,1,0,0
2,2,core_regression,mature,2,2.2667687410794537,2.301728265373766,1,0,1,2,0
2,3,all,legacy,2,2.8898369970311375,2.9432035500831315,1,0,1,2,0
2,3,all,mature,2,3.3693517056813573,2.9432035500831315,0,1,1,1,0
2,3,core_regression,legacy,2,2.8898369970311375,2.9432035500831315,1,0,1,2,0
2,3,core_regression,mature,2,3.3693517056813573,2.9432035500831315,0,1,1,1,0
2,4,all,legacy,2,4.070469812013224,4.062467003939028,0,0,2,1,0
2,4,all,mature,2,4.05178676706025,4.062467003939028,1,0,1,1,0
2,4,core_regression,legacy,2,4.070469812013224,4.062467003939028,0,0,2,1,0
2,4,core_regression,mature,2,4.05178676706025,4.062467003939028,1,0,1,1,0
2,5,all,legacy,19,4.654339451546919,4.671480896932789,7,4,8,7,0
2,5,all,mature,19,4.234685274059745,4.671480896932789,10,6,3,9,1
2,5,development,legacy,5,4.073336892611697,4.058204918881137,1,2,2,1,0
2,5,development,mature,5,2.345166064070488,4.058204918881137,5,0,0,3,0
2,5,existing_regression,legacy,10,4.949912894570858,4.987745148050818,4,1,5,4,0
2,5,existing_regression,mature,10,4.990104807583864,4.987745148050818,3,6,1,4,1
2,5,frozen_regression,legacy,4,4.641659042656103,4.647415241702282,2,1,1,2,0
2,5,frozen_regression,mature,4,4.708035452736022,4.647415241702282,2,0,2,2,0
3,1,all,legacy,2,1.0,1.0,0,2,0,0,0
3,1,all,mature,2,1.0,1.0,0,1,1,0,0
3,1,core_regression,legacy,2,1.0,1.0,0,2,0,0,0
3,1,core_regression,mature,2,1.0,1.0,0,1,1,0,0
3,2,all,legacy,2,2.3108163103642383,2.3056743872135455,0,0,2,0,0
3,2,all,mature,2,2.268392332076645,2.3056743872135455,1,0,1,1,0
3,2,core_regression,legacy,2,2.3108163103642383,2.3056743872135455,0,0,2,0,0
3,2,core_regression,mature,2,2.268392332076645,2.3056743872135455,1,0,1,1,0
3,3,all,legacy,2,2.9090859396704363,2.9658602474128655,1,0,1,2,0
3,3,all,mature,2,3.317292591778741,2.9658602474128655,1,0,1,2,0
3,3,core_regression,legacy,2,2.9090859396704363,2.9658602474128655,1,0,1,2,0
3,3,core_regression,mature,2,3.317292591778741,2.9658602474128655,1,0,1,2,0
3,4,all,legacy,2,4.176750228249433,4.131707142913264,0,1,1,1,0
3,4,all,mature,2,4.11182071117502,4.131707142913264,1,1,0,0,0
3,4,core_regression,legacy,2,4.176750228249433,4.131707142913264,0,1,1,1,0
3,4,core_regression,mature,2,4.11182071117502,4.131707142913264,1,1,0,0,0
3,5,all,legacy,19,4.85072582049109,4.923855062403507,4,3,12,9,1
3,5,all,mature,19,4.455947365891052,4.923855062403507,10,5,4,9,1
3,5,development,legacy,5,4.394856437387212,4.383342782552536,1,0,4,4,0
3,5,development,mature,5,2.856948132147491,4.383342782552536,5,0,0,2,0
3,5,existing_regression,legacy,10,5.082665665135772,5.264656383241039,3,3,4,3,1
3,5,existing_regression,mature,10,5.121570531113839,5.264656383241039,3,5,2,4,1
3,5,frozen_regression,legacy,4,4.840712937759233,4.747492110123389,0,0,4,2,0
3,5,frozen_regression,mature,4,4.790638495013535,4.747492110123389,2,0,2,3,0
