case,cores,variant,p2_makespan,p3_makespan,same_core_p2_over_p3,identical_plan_hash,interpretation
case_047,4,legacy,91661,90017,1.0182632169479098,False,separately optimized plans; includes scheduling differences
case_047,4,persistent,91673,90017,1.0183965251008142,False,separately optimized plans; includes scheduling differences
case_047,4,mature,92456,91015,1.0158325550733396,False,separately optimized plans; includes scheduling differences
case_025,5,legacy,942179,942350,0.9998185387594842,False,separately optimized plans; includes scheduling differences
case_025,5,persistent,942350,942938,0.9993764171133203,False,separately optimized plans; includes scheduling differences
case_025,5,mature,942350,942350,1.0,True,separately optimized plans; includes scheduling differences
case_047,1,legacy,273973,277066,0.988836594890748,False,separately optimized plans; includes scheduling differences
case_047,1,persistent,277066,277066,1.0,True,separately optimized plans; includes scheduling differences
case_047,1,mature,277066,277066,1.0,True,separately optimized plans; includes scheduling differences
case_053,5,legacy,344470,325708,1.0576037432301326,False,separately optimized plans; includes scheduling differences
case_053,5,persistent,345963,325708,1.0621876036204208,True,separately optimized plans; includes scheduling differences
case_053,5,mature,374457,374457,1.0,True,separately optimized plans; includes scheduling differences
case_047,3,legacy,109386,108619,1.007061379684954,False,separately optimized plans; includes scheduling differences
case_047,3,persistent,105024,104462,1.0053799467749038,True,separately optimized plans; includes scheduling differences
case_047,3,mature,105024,108690,0.966271046094397,False,separately optimized plans; includes scheduling differences
case_047,2,legacy,150181,149574,1.0040581919317528,False,separately optimized plans; includes scheduling differences
case_047,2,persistent,150503,150257,1.0016371949393372,False,separately optimized plans; includes scheduling differences
case_047,2,mature,155794,155794,1.0,False,separately optimized plans; includes scheduling differences
case_037,5,legacy,43662,43013,1.01508846162788,True,separately optimized plans; includes scheduling differences
case_037,5,persistent,43013,43013,1.0,False,separately optimized plans; includes scheduling differences
case_037,5,mature,43013,43013,1.0,True,separately optimized plans; includes scheduling differences
case_028,5,legacy,7913518,7900566,1.0016393762168432,False,separately optimized plans; includes scheduling differences
case_028,5,persistent,8029486,7911691,1.0148887260637454,False,separately optimized plans; includes scheduling differences
case_028,5,mature,8032082,7970583,1.0077157467653244,True,separately optimized plans; includes scheduling differences
case_023,5,legacy,18864,17376,1.0856353591160222,False,separately optimized plans; includes scheduling differences
case_023,5,persistent,17694,16725,1.0579372197309418,True,separately optimized plans; includes scheduling differences
