case,problem,cores,call,name,action,success,local_time_improved,global_accepted,global_time_improved,moved_ops,cross_old_task_blocks,partition_changed,parent_time,candidate_time,copy_delta
case_001,2,5,6,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,False,False,False,6,,,47502,47502,0
case_001,2,5,7,persistent_p23_r0_2_related_chain_move,related_chain_move,True,False,False,False,3,,,47502,48390,0
case_001,2,5,8,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,True,False,False,6,,,64407,64269,-8192
case_001,2,5,9,persistent_p23_r0_3_related_chain_exchange,related_chain_exchange,True,False,False,False,6,,,47502,47502,0
case_001,2,5,10,persistent_p23_r0_2_related_chain_move,related_chain_move,True,True,False,False,3,,,64407,63651,0
case_001,2,5,11,persistent_p23_r0_4_related_chain_move,related_chain_move,True,False,False,False,3,,,47502,48390,0
case_001,2,5,12,persistent_p23_r0_3_related_chain_exchange,related_chain_exchange,True,True,False,False,6,,,64407,64269,-8192
case_001,2,5,13,persistent_p23_r0_5_related_chain_exchange,related_chain_exchange,True,False,False,False,6,,,47502,47502,0
case_001,2,5,14,persistent_p23_r0_4_related_chain_move,related_chain_move,True,True,False,False,3,,,64407,63651,0
case_001,2,5,15,persistent_p23_r0_6_related_chain_move,related_chain_move,True,False,False,False,3,,,47502,48390,0
case_001,2,5,16,persistent_p23_r0_5_related_chain_exchange,related_chain_exchange,True,True,False,False,6,,,64407,64269,-8192
case_001,2,5,17,persistent_p23_r0_7_related_chain_exchange,related_chain_exchange,True,False,False,False,6,,,47502,47502,0
case_001,2,5,18,persistent_p23_r0_6_related_chain_move,related_chain_move,True,True,False,False,3,,,64407,63651,0
case_001,2,5,19,persistent_p23_r0_8_related_chain_move,related_chain_move,True,False,False,False,3,,,47502,48390,0
case_001,2,5,20,persistent_p23_r0_7_related_chain_exchange,related_chain_exchange,True,True,False,False,6,,,64407,64269,-8192
case_001,2,5,21,persistent_p23_r0_8_related_chain_move,related_chain_move,True,True,False,False,3,,,64407,63651,0
case_001,2,5,23,persistent_p23_r1_1_related_chain_exchange,related_chain_exchange,True,False,False,False,6,,,64269,64269,0
case_001,3,5,6,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,False,False,False,6,,,47502,47502,0
case_001,3,5,8,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,True,False,False,6,,,64407,64269,-8192
case_001,3,5,9,persistent_p23_r0_2_related_chain_move,related_chain_move,True,False,False,False,3,,,47502,48390,0
case_001,3,5,10,persistent_p23_r0_2_related_chain_move,related_chain_move,True,True,False,False,3,,,64407,63651,0
case_001,3,5,12,persistent_p23_r0_3_related_chain_exchange,related_chain_exchange,True,True,False,False,6,,,64407,64269,-8192
case_001,3,5,13,persistent_p23_r0_3_related_chain_exchange,related_chain_exchange,True,False,False,False,6,,,47502,47502,0
case_001,3,5,14,persistent_p23_r0_4_related_chain_move,related_chain_move,True,True,False,False,3,,,64407,63651,0
case_001,3,5,15,persistent_p23_r0_4_related_chain_move,related_chain_move,True,False,False,False,3,,,47502,48390,0
case_001,3,5,16,persistent_p23_r0_5_related_chain_exchange,related_chain_exchange,True,True,False,False,6,,,64407,64269,-8192
case_001,3,5,17,persistent_p23_r0_5_related_chain_exchange,related_chain_exchange,True,False,False,False,6,,,47502,47502,0
case_001,3,5,18,persistent_p23_r0_6_related_chain_move,related_chain_move,True,True,False,False,3,,,64407,63651,0
case_001,3,5,19,persistent_p23_r0_6_related_chain_move,related_chain_move,True,False,False,False,3,,,47502,48390,0
case_001,3,5,20,persistent_p23_r0_7_related_chain_exchange,related_chain_exchange,True,True,False,False,6,,,64407,64269,-8192
case_001,3,5,21,persistent_p23_r0_7_related_chain_exchange,related_chain_exchange,True,False,False,False,6,,,47502,47502,0
case_001,3,5,22,persistent_p23_r0_8_related_chain_move,related_chain_move,True,True,False,False,3,,,64407,63651,0
case_001,3,5,23,persistent_p23_r0_8_related_chain_move,related_chain_move,True,False,False,False,3,,,47502,48390,0
case_003,1,5,7,p1_region_r0_cap4096_affinity_raw,p1_region,True,True,True,True,3112,209,True,459147,411250,3147228
case_003,1,5,8,p1_region_r0_cap4096_affinity_raw,p1_region,True,True,True,True,3504,131,True,517943,375962,6018656
case_003,1,5,9,p1_region_r0_cap4096_affinity_raw,p1_region,True,True,False,False,3557,206,True,594037,478756,4523444
case_003,1,5,10,p1_region_r1_cap4096_branch_raw,p1_region,True,False,False,False,3239,327,True,411250,485181,5394224
case_003,1,5,11,p1_region_r1_cap4096_branch_raw,p1_region,True,False,False,False,3250,108,True,375962,460068,5338460
case_003,1,5,12,p1_region_r1_cap4096_branch_raw,p1_region,True,False,False,False,3290,165,True,478756,504697,5047916
case_003,1,5,13,p1_region_r0_cap4096_affinity_merge,p1_region,True,True,False,False,3112,139,True,459147,449082,2459140
case_003,1,5,14,p1_region_r0_cap4096_affinity_merge,p1_region,True,True,False,False,3504,115,True,517943,456438,5186300
case_003,1,5,15,p1_region_r0_cap4096_affinity_merge,p1_region,True,True,False,False,3557,107,True,594037,553059,3480020
case_009,2,5,7,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,True,True,True,7,,,46156,44787,-16384
case_009,2,5,11,persistent_p23_r1_1_related_chain_move,related_chain_move,True,False,False,False,96,,,80534,93068,59842
case_009,2,5,12,persistent_p23_r1_1_related_chain_move,related_chain_move,True,True,False,False,1,,,77563,77333,-12288
case_009,2,5,13,persistent_p23_r0_2_related_chain_move,related_chain_move,True,True,True,True,6,,,46156,44320,-22016
case_009,2,5,14,persistent_p23_r0_1_related_chain_move,related_chain_move,True,False,False,False,32,,,82135,90821,41152
case_009,2,5,15,persistent_p23_r0_1_related_chain_move,related_chain_move,True,True,False,False,1,,,110613,109463,-4096
case_009,2,5,19,persistent_p23_r0_3_related_chain_exchange,related_chain_exchange,True,True,False,False,2,,,46156,44735,-13824
case_009,2,5,20,persistent_p23_r0_1_related_chain_move,related_chain_move,True,False,False,False,32,,,92225,108920,41152
case_009,2,5,22,persistent_p23_r1_1_related_chain_exchange,related_chain_exchange,True,False,False,False,14,,,42596,43740,0
case_009,2,5,23,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,True,False,False,6,,,77300,75190,5632
case_009,3,5,7,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,False,False,False,7,,,42009,42038,-16384
case_009,3,5,12,persistent_p23_r1_1_related_chain_move,related_chain_move,True,False,False,False,96,,,80534,92904,59842
case_009,3,5,13,persistent_p23_r1_1_related_chain_move,related_chain_move,True,True,False,False,1,,,70023,69851,-12288
case_009,3,5,14,persistent_p23_r1_1_related_chain_move,related_chain_move,True,True,True,True,1,,,38411,38231,-13824
case_009,3,5,15,persistent_p23_r0_1_related_chain_move,related_chain_move,True,False,False,False,32,,,82135,90549,41152
case_009,3,5,16,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,True,False,False,3,,,105032,102964,-8192
case_009,3,5,17,persistent_p23_r0_1_related_chain_move,related_chain_move,True,True,False,False,1,,,74767,72296,-4096
case_009,3,5,21,persistent_p23_r0_1_related_chain_move,related_chain_move,True,False,False,False,32,,,92225,108893,41152
case_009,3,5,22,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,True,False,False,4,,,59700,59340,-10752
case_009,3,5,24,persistent_p23_r0_2_first_reader_and_independent_follower_work,first_reader_and_independent_follower_work,True,True,False,False,0,,,59700,59653,0
case_012,1,5,6,p1_region_r0_cap4096_affinity_raw,p1_region,True,False,False,False,64,0,True,14006,16620,66944
case_012,1,5,7,p1_region_r0_cap4096_affinity_raw,p1_region,True,False,False,False,34,0,True,16648,17877,32840
case_012,1,5,8,p1_region_r0_cap4096_affinity_raw,p1_region,True,True,False,False,3,1,True,54832,54600,-46080
case_012,1,5,10,p1_region_r0_cap4096_affinity_raw,p1_region,True,False,False,False,135,0,True,14300,18128,88154
case_012,1,5,12,p1_region_r1_cap4096_branch_raw,p1_region,True,True,False,False,3,1,True,54600,52690,-46080
case_012,1,5,14,p1_region_r0_cap4096_affinity_raw,p1_region,True,True,False,False,827,0,True,59088,26105,468854
case_012,1,5,15,p1_region_r1_cap4096_branch_raw,p1_region,True,False,False,False,3,0,False,26105,27585,0
case_012,1,5,17,p1_region_r2_cap4096_affinity_raw,p1_region,True,False,False,False,2,1,True,54832,54893,-40960
case_012,1,5,18,p1_region_r0_cap4096_affinity_merge,p1_region,True,True,False,False,827,0,True,59088,38766,408742
case_012,1,5,19,p1_region_r1_cap4096_branch_raw,p1_region,True,False,False,False,69,0,True,14006,17597,124544
case_012,1,5,20,p1_region_r2_cap4096_affinity_raw,p1_region,True,True,False,False,2,1,True,52690,52555,-46080
case_012,2,5,10,persistent_p23_r1_1_related_chain_move,related_chain_move,True,False,False,False,27,,,13346,15080,36864
case_012,2,5,11,persistent_p23_r1_1_related_chain_move,related_chain_move,True,True,False,False,1,,,33350,33057,-18432
case_012,2,5,12,persistent_p23_r1_1_related_chain_exchange,related_chain_exchange,True,True,False,False,4,,,19673,19517,-11072
case_012,2,5,13,persistent_p23_r0_1_related_chain_move,related_chain_move,True,False,False,False,27,,,13927,16069,36864
case_012,2,5,14,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,True,False,False,4,,,33375,33366,0
case_012,2,5,15,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,True,False,False,6,,,29959,29724,0
case_012,2,5,19,persistent_p23_r0_1_related_chain_move,related_chain_move,True,True,False,False,3,,,14300,14021,0
