case,variant,problem,makespan,copy,spill,hit_bytes,miss_bytes,hit_rate
case_046,legacy,2,89048,3619200,0,,,
case_046,legacy,3,88781,3619200,0,143616,4467424,0.031146118879905618
case_046,mature,2,77846,2791200,0,,,
case_046,mature,3,77846,2791200,0,0,3787136,0.0
case_046,persistent,2,94972,3872608,0,,,
case_046,persistent,3,62003,3872608,0,2424096,2331808,0.5097024666603868
case_047,legacy,1,160151,3720028,0,,,
case_047,mature,1,175486,2906212,0,,,
case_047,persistent,1,317205,2217688,0,,,
case_085,legacy,1,2218649,26722630,2228740,,,
case_085,mature,1,2760933,4246258,347136,,,
case_085,persistent,1,2081783,29487924,0,,,
