case,problem,target_cores,source_cores,old_makespan,source_makespan,potential_reduction_percent,old_copy,source_copy,target_official_verified
case_005,1,5,4,49343,48777,1.1470725330847364,2085056,2086306,False
case_005,2,4,3,35287,34420,2.4569954940913075,1555314,1262476,False
case_005,2,5,3,35106,34420,1.9540819233179518,1546098,1262476,False
case_009,1,4,3,84913,81990,3.4423468726814455,235116,603674,False
case_009,2,3,2,80002,79930,0.08999775005624766,74240,493568,False
case_009,3,3,2,79991,79930,0.07625857909014933,95232,493568,False
case_010,2,4,3,29617,29582,0.11817537225242702,133632,48384,False
case_010,3,4,3,29582,29343,0.8079237374078785,133632,59904,False
case_019,2,4,3,22103,22000,0.4660000904854522,51744,27168,False
case_019,3,4,3,22103,22000,0.4660000904854522,51744,27168,False
case_026,3,4,3,41655,41481,0.417716960749015,95664,105264,False
case_035,2,3,2,80191,80127,0.0798094549263606,102400,588832,False
case_035,3,3,2,80191,80127,0.0798094549263606,102400,588832,False
case_043,2,4,3,219424,218258,0.5313912789849828,1434420,1020724,False
case_043,3,4,3,219046,218258,0.3597417893958399,1443636,1020724,False
case_044,1,4,3,96349,68578,28.823340148833932,222208,807872,True
case_044,2,3,2,44806,43839,2.1581930991385057,1020512,930400,False
case_044,2,4,2,44806,43839,2.1581930991385057,1020512,930400,False
case_044,3,3,2,43843,43790,0.12088588828319535,1021024,930400,False
case_046,1,5,4,123055,120451,2.1161269351103185,5709984,5079200,False
case_054,1,4,3,517960,492148,4.983396401266504,49152,2283422,False
case_057,2,5,4,14028,14026,0.014257199885947536,14112,288,False
case_057,3,5,4,14028,14026,0.014257199885947536,14112,288,False
case_064,1,5,4,15155,15095,0.395908940943579,148968,96914,False
case_066,1,5,4,125828,118972,5.448707759799087,4268418,1958292,False
case_068,2,5,4,130506,129343,0.8911467671984474,4092568,4068370,False
case_071,1,4,3,12884,11375,11.712201179757841,465378,364122,False
case_071,2,4,3,8852,8596,2.8920018075011322,302060,281740,False
case_071,3,4,3,8316,7601,8.597883597883593,318862,257388,False
case_082,1,3,2,488459,398820,18.35138670799391,11947636,4371054,False
case_083,1,5,4,412888,311694,24.508825637945396,17453280,12305888,True
case_086,2,4,3,43989,40972,6.858532815021934,1946800,1419148,False
case_086,2,5,3,42744,40972,4.145611079917644,1797234,1419148,False
case_100,1,5,4,51180,51023,0.30676045330206847,1307176,786472,False
