case,p2_makespan,p3_makespan,time_reduction_percent,p2_copy,p3_copy,cache_byte_hit_rate
case_001,47502,47502,0.0,4608,4608,0.0
case_002,51207,51207,0.0,642048,642048,0.0
case_003,148821,132837,10.740419698832826,5783280,5783280,0.4519169174218999
case_004,81107,81107,0.0,2863104,2863104,0.08080808080808081
case_005,35106,31056,11.536489488976242,1546098,1546098,0.4161517336079643
case_006,20866,19386,7.092878366720978,355106,355106,0.3391513671808025
case_007,196870,196870,0.0,110592,110592,0.0
case_008,55855,55855,0.0,0,0,0.0
case_009,39975,37274,6.756722951844907,1207674,1327286,0.36854246992413386
case_010,19138,18544,3.1037725990176623,554512,554512,0.36276850228766283
case_011,39795,38462,3.3496670435984366,1601536,1558528,0.676153091265947
case_012,12090,12045,0.3722084367245637,61824,61824,0.08637326429748177
case_013,53708,53418,0.5399568034557212,45056,45056,0.014895729890764648
case_014,3584500,3574405,0.2816292369926088,88929456,88929456,0.2673517905952803
case_015,33367,32109,3.7701921059729693,313344,313344,0.23231420924241084
case_016,1971422,1969193,0.11306559427661789,40388464,40388464,0.015878725214550537
case_017,27307,25560,6.397626982092508,340992,330624,0.2683478449699795
case_018,196754,196222,0.27038840379356444,4681728,4681728,0.6895812202238839
case_019,14954,15394,-2.942356560117698,379948,789864,0.21508768902747138
case_020,107187,107187,0.0,0,0,0.0
case_021,1244571,1244853,-0.022658410006348717,6553600,7360512,0.5997048903878583
case_022,11576,11576,0.0,13824,13824,0.060801182245210326
case_023,17020,16213,4.741480611045823,267168,280992,0.16382283104512008
case_024,658886,656657,0.33829827921674216,13637536,13637536,0.044507569594936104
case_025,942179,942350,-0.018149417467383522,125952,118272,0.010873504893077202
case_026,27772,24235,12.735849056603776,765184,765184,0.29469073820961406
case_027,448117,448117,0.0,16119808,16119808,0.2401134953005852
case_028,7891254,7864808,0.33513051284371764,95173632,88390656,0.19078738128139325
case_029,9383,9238,1.5453479697324912,0,0,0.0
case_030,558438,557851,0.10511462328852694,7669760,6481920,0.6648205838236991
case_031,273131,273027,0.038076966730249406,7215360,7217408,0.42688383404925023
case_032,9948,9829,1.196220345798149,10240,92342,0.2386193827828912
case_033,349438,349144,0.08413509692706267,7936128,7934592,0.42679368570382714
case_034,150655,150655,0.0,2807808,2807808,0.5130272621207785
case_035,41448,40174,3.073730939972974,1126424,1132564,0.33757454040979973
case_036,187182,187182,0.0,4608,4608,0.0
case_037,43013,43013,0.0,778240,778240,0.3421875
