problem,cores,cases,mean_speedup,median_speedup,q10_speedup,min_speedup,max_speedup,below_core_count,above_core_count,below_original,makespan_sum,mean_same_scene_1core_speedup,original_copy_sum,added_copy_sum,partition_copy_sum,spill_copy_sum,spill_cases,copy_ratio_median,copy_ratio_max,fewer_active_cores,l1_peak_ratio_max,ub_peak_ratio_max,cache_byte_hit_rate_mean,cache_byte_hit_rate_weighted,cache_zero_hit_cases
1,1,100,1.0515525908789989,1.0115665159612086,1.0,0.99395890201103,1.7845719935117461,4,72,4,301913395,1.0,240730054,1527319672,1111784448,415535224,18,1.370793933645557,56.270033144862545,0,1.0,0.9846954345703125,0,0,100
1,2,100,1.8865623418040816,1.9945273598866144,1.4333455879449075,1.0,2.365063059978314,61,39,0,156103721,1.8072498042132243,240730054,1778944672,1469668856,309275816,19,1.983794220963322,305.04650855250776,2,1.0,1.0,0,0,100
1,3,100,2.6086721949798792,2.8769555199576935,1.767590375958287,1.1546964663243733,3.4849478641103264,77,23,0,110198651,2.498969741247996,240730054,1795239086,1396070958,399168128,22,2.4269129094060964,305.04650855250776,1,1.0,0.937652587890625,0,0,100
1,4,100,3.2968553575201174,3.763492455469305,1.951127683371699,1.2635337112443723,4.478408992743607,83,17,0,85929097,3.1610302929735634,240730054,1789002974,1513574446,275428528,21,2.4954165361154983,305.04960098469553,4,1.0,0.9376220703125,0,0,100
1,5,100,3.923332913522365,4.369272955730359,2.228653710884489,1.2613658858462553,5.501140719714555,87,13,0,70882238,3.762877726632425,240730054,1880629630,1566960198,313669432,24,3.424977350180928,305.0449623364139,2,1.0,0.99755859375,0,0,100
2,1,100,1.2014586335788486,1.1225790623357217,1.0,1.0,2.070714927514852,0,85,0,291345046,1.0,240730054,753461252,0,753461252,50,1.009542417474552,25.986547085201792,0,1.0,1.0,0,0,100
2,2,100,2.263185422327446,2.091171626749248,1.9353736352687798,1.700558938471326,3.9453748985102246,24,76,0,146609099,1.8937153984628907,240730054,765097830,288252568,476845262,38,1.9343629277465253,25.467405270748657,0,1.0,1.0,0,0,100
2,3,100,3.167710058569076,3.0525832931825096,2.553435257213539,1.871915393654524,5.905406551168641,41,59,0,98965461,2.666770584473913,240730054,809495788,363759830,445735958,31,2.1825511291118938,26.85990974729242,1,1.0,1.0,0,0,100
2,4,100,3.9136933980240203,3.972277345538559,2.6713952506679894,2.0980865847140566,7.837327932185589,53,47,0,74987388,3.3152261850142164,240730054,794665536,435334762,359330774,23,2.234375307848251,30.654372623574144,7,1.0,1.0,0,0,100
2,5,100,4.730723905435942,4.89892534355013,3.4621016473239368,2.2386696334465395,9.7722850996165,60,40,0,60633299,4.0221008754714385,240730054,1131783360,697791430,433991930,24,3.3145566674302396,103.71265303216028,8,1.0,1.0,0,0,100
3,1,100,1.2011758384475673,1.1225790623357217,1.0,1.0,2.070714927514852,0,85,0,292248862,1.0,240730054,650036932,0,650036932,50,1.009542417474552,24.966907941769026,0,1.0,1.0,0.03761219141546903,0.08427023922260989,61
3,2,100,2.264590929322452,2.0939021250383254,1.9353736352687798,1.4339509414147475,3.9420502210455486,23,77,0,146601929,1.8947713037783889,240730054,776708420,283847986,492860434,38,1.9174141102721962,25.449809885931558,0,1.0,1.0,0.13791285520962307,0.22839588913147504,21
3,3,100,3.189593301122709,3.0552699083809784,2.6109377523167434,1.876140936303857,5.905406551168641,39,61,0,98736707,2.68468869607411,240730054,774171626,363462100,410709526,31,2.2311552098118863,26.85990974729242,1,1.0,1.0,0.19013609358635897,0.2655699017355717,24
3,4,100,3.9706219953375963,3.972277345538559,2.912801502821432,2.1055182288798324,7.837327932185589,53,47,0,74709801,3.3602739816209293,240730054,797048624,447839062,349209562,26,2.3801065296999093,30.654372623574144,5,1.0,1.0,0.22102007175274535,0.2976291989666077,23
3,5,100,4.872482166360644,4.910539809582037,3.564499197996626,2.246298472385429,9.7722850996165,56,44,0,59988574,4.137189934911326,240730054,1122655982,703053876,419602106,23,3.419103123557881,103.71265303216028,6,1.0,1.0,0.2771272941436717,0.3107933995845336,16
