problem,cores,faster,equal,slower,mean_time_reduction_percent,median_time_reduction_percent
1,2,98,2,0,42.70107002173539,49.2667180318039
1,3,98,1,1,26.039643643113713,30.569747032637814
1,4,94,2,4,18.907160680316565,23.760022276353112
1,5,92,2,6,14.65845120204481,17.662634299820667
2,2,100,0,0,46.72803323677253,49.4145658877928
2,3,97,0,3,27.762063118674398,31.430925012147696
2,4,87,7,6,17.58589251730636,22.808350233576228
2,5,95,3,2,16.487056063028035,19.077807905949662
3,2,100,0,0,46.727318879843004,49.3969259382184
3,3,97,0,3,28.391619366884072,31.66891779367351
3,4,92,3,5,18.34242867476762,22.785084928705942
3,5,98,1,1,17.905847709710724,19.35124123538798
