case,problem,cores,variant,makespan,copy,speedup,calls,failures,seconds,generation_seconds,B8_makespan,B12_makespan,B16_makespan,B24_makespan
case_071,2,2,frontier,9571,149190,1.976700449273848,24,0,4.414843122998718,0.011763615009840578,12339,10089,10089,9571
case_023,3,2,mature,37454,74016,3.2737224328509638,24,0,5.902885796007467,0.0,44795,37454,37454,37454
case_046,2,2,mature,105322,930400,2.6248552059398795,13,0,3.0434772839944344,0.0,105322,105322,105322,105322
case_035,3,2,mature,81606,0,2.077923191922163,24,0,16.515057830984006,0.0,81606,81606,81606,81606
case_071,3,2,mature,11297,149190,1.6746923962113835,24,0,4.420402302988805,0.0,11832,11580,11580,11297
case_071,2,2,mature,10089,149190,1.8752106254336407,24,0,4.304107922012918,0.0,12339,10089,10089,10089
case_095,2,2,frontier,539178,0,3.866724903464162,23,0,28.739680366998073,0.13761435699416324,539178,539178,539178,539178
case_009,3,2,mature,80734,0,1.8983451829464661,24,0,29.7206342240097,0.0,80734,80734,80734,80734
case_095,2,2,mature,539178,0,3.866724903464162,22,0,26.084766965999734,0.0,539178,539178,539178,539178
case_035,2,2,frontier,80127,588832,2.1162779088197485,24,0,16.8902676399739,0.11768075000145473,81606,81606,81606,80127
case_066,3,2,mature,216168,4024796,1.6610691684245587,24,0,45.55618826000136,0.0,228392,219345,216168,216168
case_046,3,2,mature,105322,930400,2.6248552059398795,13,0,3.457019580004271,0.0,105322,105322,105322,105322
case_035,2,2,mature,81606,0,2.077923191922163,24,0,17.66366957500577,0.0,81606,81606,81606,81606
case_066,2,2,frontier,180684,4024796,1.9872816630138805,24,0,49.454492194985505,0.12956147899967618,229953,207996,207996,180684
case_053,2,2,frontier,609413,1165808,2.4165647926775438,24,0,104.66162156200153,0.31285711299278773,628528,628528,628528,609413
case_046,2,2,frontier,105322,930400,2.6248552059398795,14,0,4.7541906900005415,0.01730789602152072,105322,105322,105322,105322
case_066,3,2,frontier,179280,4024796,2.0028447121820614,24,0,56.46473485999741,0.16818356901057996,228392,219345,216168,179280
case_095,3,2,frontier,539178,0,3.866724903464162,24,0,44.688767175975954,0.19203433199436404,539178,539178,539178,539178
case_071,3,2,frontier,9550,149190,1.9810471204188482,24,0,5.84795641398523,0.01105442302650772,11832,11580,11580,9550
case_046,3,2,frontier,105322,930400,2.6248552059398795,14,0,4.510941668006126,0.01647148499614559,105322,105322,105322,105322
case_035,3,2,frontier,80127,588832,2.1162779088197485,24,0,24.176102510013152,0.13095096597680822,81606,81606,81606,80127
case_009,3,2,frontier,79930,493568,1.9174402602276992,24,0,50.4993512390065,0.21882263300358318,80734,80734,80734,79930
case_053,3,2,frontier,609949,1167856,2.4144412073796335,24,0,134.27408873097738,0.4055155540117994,627207,627207,627207,609949
case_095,3,2,mature,539178,0,3.866724903464162,23,0,42.63783643199713,0.0,539178,539178,539178,539178
case_023,2,2,frontier,37454,74016,3.2737224328509638,24,0,7.9569601620023604,0.037069215992232785,44795,37454,37454,37454
case_066,2,2,mature,207996,4024796,1.726331275601454,24,0,58.79063999300706,0.0,229953,207996,207996,207996
case_023,3,2,frontier,37454,74016,3.2737224328509638,24,0,7.8577043089899234,0.028715507010929286,44795,37454,37454,37454
case_053,2,2,mature,628528,3055116,2.343071430389736,24,0,120.78751017598552,0.0,628528,628528,628528,628528
case_053,3,2,mature,627207,2967052,2.3480063200825247,24,0,121.26947026999551,0.0,627207,627207,627207,627207
case_009,2,2,mature,80734,0,1.8983451829464661,24,0,37.69824258700828,0.0,80734,80734,80734,80734
case_023,2,2,mature,37454,74016,3.2737224328509638,24,0,6.50778026500484,0.0,44795,37454,37454,37454
case_009,2,2,frontier,79930,493568,1.9174402602276992,24,0,34.43455150799127,0.13771370600443333,80734,80734,80734,79930
