case,problem,cores,variant,makespan,copy,speedup,calls,failures,seconds,generation_seconds,B8_makespan,B12_makespan,B16_makespan,B24_makespan
case_046,2,5,frontier,77846,2791200,3.5513064255067697,21,0,4.097525901015615,0.00753697199979797,93013,77846,77846,77846
case_061,3,5,frontier,21711,83712,3.5553866703514347,24,0,5.770026168000186,0.01828931100317277,21840,21840,21840,21711
case_055,3,5,frontier,19462,198656,6.106001438701059,24,0,6.043868638022104,0.015537817991571501,20015,20015,19462,19462
case_013,2,5,mature,54130,36864,4.876205431368927,24,0,9.267268544994295,0.0,54130,54130,54130,54130
case_055,3,5,mature,19462,198656,6.106001438701059,24,0,6.101561405987013,0.0,20015,20015,19462,19462
case_035,2,5,mature,87389,0,1.9404158418107542,24,0,15.507204601977719,0.0,88584,87389,87389,87389
case_035,3,5,mature,79371,1130532,2.1364352219324436,24,0,17.950283845013473,0.0,88584,83046,79371,79371
case_044,2,5,frontier,43839,930400,3.522137822486827,24,0,6.34412810698268,0.012890993995824829,82150,82112,82112,43839
case_037,2,5,frontier,43013,778240,4.882268151489085,24,0,5.492651909997221,0.008308901014970616,43732,43013,43013,43013
case_013,3,5,mature,53849,36864,4.90165091273747,24,0,11.266410305979662,0.0,54044,53943,53849,53849
case_095,3,5,frontier,220188,0,9.468513270477954,24,0,27.43728050799109,0.07076716900337487,220188,220188,220188,220188
case_066,3,5,mature,143844,6000546,2.4962459330941855,24,0,41.68771397101227,0.0,149090,143844,143844,143844
case_061,2,5,frontier,21711,83712,3.5553866703514347,24,0,5.475208092015237,0.011161778995301574,21843,21843,21843,21711
case_095,2,5,frontier,220188,0,9.468513270477954,24,0,26.32270615300513,0.0820245270151645,220188,220188,220188,220188
case_066,3,5,frontier,124922,6000546,2.874353596644306,24,0,42.424168278987054,0.08925656601786613,149090,143844,143844,124922
case_066,2,5,mature,145243,6000546,2.47220175843242,24,0,44.07785104899085,0.0,162505,145243,145243,145243
case_049,3,5,frontier,95813,5284936,2.0485320363624977,24,0,33.72977854599594,0.07923063900670968,108534,106873,106823,95813
case_053,3,5,mature,405585,3269876,3.6310169261683742,24,0,70.99412349500926,0.0,418489,418489,405585,405585
case_044,2,5,mature,44007,930400,3.5086917990319724,24,0,8.13421670801472,0.0,82150,82112,82112,44007
case_013,2,5,frontier,54130,36864,4.876205431368927,24,0,13.45357907799189,0.05073279299540445,54130,54130,54130,54130
case_044,3,5,frontier,43790,930400,3.526079013473396,24,0,8.453849932993762,0.01915046598878689,82008,81970,68361,43790
case_046,3,5,mature,77846,2791200,3.5513064255067697,20,0,5.347130370995728,0.0,92391,77846,77846,77846
case_071,3,5,frontier,7982,362354,2.3702079679278376,24,0,6.099536176014226,0.011132218991406262,8212,8212,8212,7982
case_035,2,5,frontier,80677,0,2.10185058938731,24,0,21.529784610000206,0.07538978700176813,88584,87389,87389,80677
case_092,2,5,frontier,784691,3950976,6.136879357607007,24,0,114.97368134799763,0.24429848499130458,1259475,1220329,1139576,784691
case_009,2,5,mature,52200,1332918,2.936034482758621,24,0,27.435355642985087,0.0,77091,52200,52200,52200
case_055,2,5,frontier,19824,198656,5.994501614205004,24,0,6.133164675993612,0.01322050200542435,20296,20296,19824,19824
case_061,3,5,mature,21837,83712,3.5348720062279617,24,0,5.803103779995581,0.0,21840,21840,21840,21837
case_037,3,5,mature,43013,778240,4.882268151489085,24,0,6.15464833099395,0.0,43013,43013,43013,43013
case_037,2,5,mature,43013,778240,4.882268151489085,24,0,5.6402497320086695,0.0,43732,43013,43013,43013
case_092,2,5,mature,1139576,46292704,4.225741854865318,24,0,113.63372510299087,0.0,1259475,1220329,1139576,1139576
case_071,2,5,mature,9399,377650,2.0128737099691456,24,0,4.930908022011863,0.0,10046,9399,9399,9399
case_049,2,5,frontier,102732,5301640,1.9105634077015925,24,0,32.24452120400383,0.06287409100332297,113685,104839,104839,102732
case_023,3,5,mature,18572,280992,6.602089166487185,24,0,6.166513447009493,0.0,19711,19711,18572,18572
case_053,2,5,mature,405585,3269876,3.6310169261683742,24,0,71.88833476300351,0.0,418489,418489,405585,405585
case_046,2,5,mature,77846,2791200,3.5513064255067697,20,0,4.74662914199871,0.0,93013,77846,77846,77846
case_095,2,5,mature,220188,0,9.468513270477954,24,0,30.10098550398834,0.0,220188,220188,220188,220188
case_028,2,5,frontier,8032082,22602240,5.457618585069226,24,0,135.9441977479728,0.46123478398658335,9521682,9044770,8732165,8032082
case_049,3,5,mature,106823,5284936,1.837394568585417,24,0,31.396228838013485,0.0,108534,106873,106823,106823
case_035,3,5,frontier,40778,1130532,4.158394232184021,24,0,18.216187074023765,0.07424159601214342,88584,83046,79371,40778
case_092,3,5,mature,859001,46292704,5.605993473814349,24,0,109.58874495499185,0.0,1062672,981125,859001,859001
case_053,3,5,frontier,374457,3247692,3.932857444245935,24,0,70.80951374600409,0.2808223300089594,418489,418489,405585,374457
case_061,2,5,mature,21843,83712,3.5339010209220345,24,0,5.42247885800316,0.0,21843,21843,21843,21843
case_044,3,5,mature,43958,930400,3.512602939169207,24,0,6.367560757003957,0.0,82008,81970,68361,43958
case_009,3,5,frontier,37274,1327286,4.111740086923861,24,0,28.57106209298945,0.06991284401738085,74700,72876,72876,37274
case_023,2,5,mature,18914,280992,6.482711219202707,24,0,5.11449015600374,0.0,21082,19915,19769,18914
case_028,2,5,mature,8628857,141599064,5.080167628227006,24,0,131.57603466001456,0.0,9521682,9044770,8732165,8628857
case_046,3,5,frontier,77846,2791200,3.5513064255067697,21,0,4.205853004998062,0.007950705010443926,92391,77846,77846,77846
case_037,3,5,frontier,43013,778240,4.882268151489085,24,0,5.978863886994077,0.008142082981066778,43013,43013,43013,43013
case_066,2,5,frontier,143083,6000546,2.509522445014432,24,0,41.813652564014774,0.08580982801504433,162505,145243,145243,143083
case_013,3,5,frontier,53849,36864,4.90165091273747,24,0,11.506864080001833,0.04995215599774383,54044,53943,53849,53849
case_055,2,5,mature,19824,198656,5.994501614205004,24,0,6.066496780986199,0.0,20296,20296,19824,19824
case_023,3,5,frontier,16725,280992,7.33118086696562,24,0,5.1195583079825155,0.011366443010047078,19711,19711,18572,16725
case_071,2,5,frontier,9399,377650,2.0128737099691456,24,0,4.313372956006788,0.006562946015037596,10046,9399,9399,9399
case_095,3,5,mature,220188,0,9.468513270477954,24,0,28.019323054002598,0.0,220188,220188,220188,220188
case_071,3,5,mature,8129,362354,2.327346537089433,24,0,4.682851013989421,0.0,8212,8212,8212,8129
case_049,2,5,mature,104839,5301640,1.8721658924636824,24,0,26.27283917699242,0.0,113685,104839,104839,104839
case_092,3,5,frontier,785869,3950976,6.127680313131069,24,0,100.81598870700691,0.24216764699667692,1062672,981125,859001,785869
case_009,2,5,frontier,42596,1332918,3.598013898018593,24,0,26.111184779001633,0.07319800299592316,77091,52200,52200,42596
case_028,3,5,frontier,7970583,22602240,5.499728188013348,24,0,124.19099341900437,0.3687512619944755,9447245,8946507,8523550,7970583
case_023,2,5,frontier,17694,280992,6.929693681473946,24,0,5.039399978006259,0.014826222992269322,21082,19915,19769,17694
case_009,3,5,mature,72848,1327286,2.1038463650340433,24,0,27.044734014983987,0.0,74700,72876,72876,72848
case_053,2,5,frontier,374457,3247692,3.932857444245935,24,0,63.863768457988044,0.20501104299910367,418489,418489,405585,374457
case_028,3,5,mature,8428330,141599064,5.201035080496373,24,0,113.21629115298856,0.0,9447245,8946507,8523550,8428330
