case,problem,cores,variant,makespan,copy,speedup,calls,failures,seconds,generation_seconds,B8_makespan,B12_makespan,B16_makespan,B24_makespan
case_044,1,5,mature,99310,319616,1.5547981069378713,24,0,14.52741753301234,0.0,99310,99310,99310,99310
case_069,1,5,frontier,15371,554768,1.6358076898054779,24,0,15.245433211006457,0.1463649139914196,16672,15690,15434,15371
case_035,1,5,mature,90079,1379966,1.8824698320363236,24,0,57.488012034998974,0.0,95424,90079,90079,90079
case_071,1,5,mature,11496,358708,1.6457028531663187,24,0,8.714696053008083,0.0,11832,11496,11496,11496
case_047,1,5,mature,243255,1801992,1.3422457914534132,13,1,240.11858056299388,0.0,282154,243255,243255,243255
case_069,1,5,mature,15046,554768,1.6711418317160707,24,0,11.561973719013622,0.0,16672,15690,15434,15046
case_075,1,5,frontier,486469,12683630,2.9638250330442433,24,0,218.15732094200212,0.5735137120063882,925892,760157,567224,486469
case_009,1,5,mature,81206,532516,1.8873112824175553,24,0,55.5316292400239,0.0,86449,83830,81267,81206
case_064,1,5,mature,15155,148968,1.2613658858462553,24,0,5.564849841000978,0.0,17325,16469,15155,15155
case_075,1,5,mature,481313,12700144,2.9955746052984233,24,0,143.73453567698016,0.0,925892,760157,567224,481313
case_043,1,5,frontier,198411,4859778,3.415415475956474,24,0,135.20569632999832,0.7927362839982379,244303,232684,198411,198411
case_048,1,5,mature,121708,1391956,1.8258454661977848,24,0,13.59434370600502,0.0,178194,162275,147470,121708
case_050,1,5,frontier,63801,1029304,2.346201470196392,24,0,35.40586305598845,0.34353017501416616,64444,64150,63941,63801
case_043,1,5,mature,198411,4859778,3.415415475956474,24,0,140.65431865100982,0.0,244303,232684,198411,198411
case_064,1,5,frontier,15155,148968,1.2613658858462553,24,0,9.19756986599532,0.10828195299836807,17325,16469,15155,15155
case_056,1,5,frontier,156709,4104128,1.7694261337893804,24,0,122.07450021398836,1.2531659720116295,253205,210746,184951,156709
case_047,1,5,frontier,243255,1801992,1.3422457914534132,13,1,240.03974208800355,0.0,282154,243255,243255,243255
case_051,1,5,frontier,259576,9111024,2.3408481523715596,24,0,15.802345731004607,0.16271243800292723,260123,260123,259576,259576
case_071,1,5,frontier,11496,358708,1.6457028531663187,24,0,8.51991707200068,0.09808582099503838,11832,11496,11496,11496
case_085,1,5,frontier,2760933,4246258,1.1546455491676184,7,4,240.08427729498362,0.0,2760933,2760933,2760933,2760933
case_048,1,5,frontier,127113,1331468,1.7482082871146145,24,0,24.619926618994214,0.25213911800528876,178194,162275,147470,127113
case_044,1,5,frontier,67192,762496,2.2979967853315872,24,0,13.606376539013581,0.19816267999703996,99310,99310,99310,67192
case_009,1,5,frontier,81240,532516,1.8865214180206795,24,0,90.88867937901523,1.0391646049974952,86449,83830,81267,81240
case_085,1,5,mature,2760933,4246258,1.1546455491676184,7,4,240.11597572697792,0.0,2760933,2760933,2760933,2760933
case_056,1,5,mature,136494,4461966,2.0314812372705027,24,0,172.63503362200572,0.0,253205,210746,184951,136494
case_050,1,5,mature,63801,1029304,2.346201470196392,24,0,71.61576142700505,0.0,64444,64150,63941,63801
case_035,1,5,frontier,90079,1379966,1.8824698320363236,24,0,58.42150511901127,0.6721800660016015,95424,90079,90079,90079
case_051,1,5,mature,259576,9111024,2.3408481523715596,24,0,18.51263873599237,0.0,260123,260123,259576,259576
case_005,1,5,mature,61202,2092876,1.5623345642299271,24,0,58.9617130359984,0.0,71113,61202,61202,61202
case_025,1,5,frontier,975282,110592,4.986276789687495,8,1,240.06015055897296,0.0,975282,975282,975282,975282
case_005,1,5,frontier,61202,2092876,1.5623345642299271,24,0,57.95240428100806,0.6599544049822725,71113,61202,61202,61202
case_025,1,5,mature,975282,110592,4.986276789687495,8,1,240.137409619987,0.0,975282,975282,975282,975282
