case,problem,cores,variant,makespan,copy,speedup,calls,failures,seconds,generation_seconds,B8_makespan,B12_makespan,B16_makespan,B24_makespan
case_044,1,5,mature,99310,319616,1.5547981069378713,24,0,14.52741753301234,0.0,99310,99310,99310,99310
case_035,1,5,mature,90079,1379966,1.8824698320363236,24,0,57.488012034998974,0.0,95424,90079,90079,90079
case_071,1,5,mature,11496,358708,1.6457028531663187,24,0,8.714696053008083,0.0,11832,11496,11496,11496
case_047,1,5,mature,243255,1801992,1.3422457914534132,13,1,240.11858056299388,0.0,282154,243255,243255,243255
case_069,1,5,mature,15046,554768,1.6711418317160707,24,0,11.561973719013622,0.0,16672,15690,15434,15046
case_009,1,5,mature,81206,532516,1.8873112824175553,24,0,55.5316292400239,0.0,86449,83830,81267,81206
case_064,1,5,mature,15155,148968,1.2613658858462553,24,0,5.564849841000978,0.0,17325,16469,15155,15155
case_075,1,5,mature,481313,12700144,2.9955746052984233,24,0,143.73453567698016,0.0,925892,760157,567224,481313
case_048,1,5,mature,121708,1391956,1.8258454661977848,24,0,13.59434370600502,0.0,178194,162275,147470,121708
case_043,1,5,mature,198411,4859778,3.415415475956474,24,0,140.65431865100982,0.0,244303,232684,198411,198411
case_085,1,5,mature,2760933,4246258,1.1546455491676184,7,4,240.11597572697792,0.0,2760933,2760933,2760933,2760933
case_056,1,5,mature,136494,4461966,2.0314812372705027,24,0,172.63503362200572,0.0,253205,210746,184951,136494
case_050,1,5,mature,63801,1029304,2.346201470196392,24,0,71.61576142700505,0.0,64444,64150,63941,63801
case_051,1,5,mature,259576,9111024,2.3408481523715596,24,0,18.51263873599237,0.0,260123,260123,259576,259576
case_005,1,5,mature,61202,2092876,1.5623345642299271,24,0,58.9617130359984,0.0,71113,61202,61202,61202
case_025,1,5,mature,975282,110592,4.986276789687495,8,1,240.137409619987,0.0,975282,975282,975282,975282
case_064,1,5,frontier,15155,148968,1.2613658858462553,24,0,10.809675427997718,0.19531106000067666,17325,16469,15155,15155
case_009,1,5,frontier,81206,532516,1.8873112824175553,24,0,102.82786335897981,0,86449,83830,81267,81206
case_085,1,5,frontier,2760933,4246258,1.1546455491676184,6,3,246.81612080399645,0,2760933,2760933,2760933,2760933
case_069,1,5,frontier,15046,554768,1.6711418317160707,24,0,14.398326633992838,0,16672,15690,15434,15046
case_075,1,5,frontier,492944,12519004,2.9248941056184883,19,0,241.23286704201018,0,925892,760157,567224,492944
case_056,1,5,frontier,136494,4461966,2.0314812372705027,24,0,186.73272092599655,0,253205,210746,184951,136494
case_050,1,5,frontier,63801,1029304,2.346201470196392,24,0,78.94505279400619,0,64444,64150,63941,63801
case_035,1,5,frontier,90079,1379966,1.8824698320363236,24,0,62.1093898070103,1.3756067889917176,95424,90079,90079,90079
case_051,1,5,frontier,259576,9111024,2.3408481523715596,24,0,18.84709035701235,0.2971773059980478,260123,260123,259576,259576
case_025,1,5,frontier,975282,110592,4.986276789687495,8,2,240.02627216200926,0,975282,975282,975282,975282
case_048,1,5,frontier,121708,1391956,1.8258454661977848,24,0,35.84860517599736,0,178194,162275,147470,121708
case_047,1,5,frontier,282154,1071206,1.157197842313063,9,1,240.0324448819738,0,282154,282154,282154,282154
case_043,1,5,frontier,198411,4859778,3.415415475956474,19,1,240.03196910599945,0,244303,232684,198411,198411
case_005,1,5,frontier,59571,2088268,1.6051098688959393,24,0,59.019811508012936,1.0737576299870852,71113,61202,61202,59571
case_044,1,5,frontier,67192,762496,2.2979967853315872,24,0,14.278119939990574,0.2572288499795832,99310,99310,99310,67192
case_071,1,5,frontier,11496,358708,1.6457028531663187,24,0,9.499544977006735,0.16758889399352483,11832,11496,11496,11496
