case,problem,cores,variant,original_singlecore,makespan,speedup,added_copy,scheduled_copy,spill,hit_bytes,miss_bytes,byte_hit_rate,calls,failed_calls,seconds,generation_seconds,generation_error_count,recovered_with_extended_time,recovery_calls,recovery_elapsed_seconds,plan,plan_sha256,source_export,python,B8_prefix_makespan,B12_prefix_makespan,B16_prefix_makespan,B24_prefix_makespan
case_001,1,1,mature,233110,233110,1.0,0,1639552,0,0,0,,5,0,5.778323079999609,0.0,0,False,0,0,plans/p1/n1/case_001.json,69a32b4ced172ac1617997adb9c610ebb43b82c2d947dd6f301477c6f7360ef8,A题研究/直接迭代/运行结果/远端P1回收437_v1/cold_export_successful,3.11.4,233110,233110,233110,233110
case_001,1,2,mature,233110,116868,1.9946435294520313,1152,1640704,0,0,0,,6,0,6.725876290998713,0.0,0,False,0,0,plans/p1/n2/case_001.json,8ca4384582024a302822bbd6429af5d4c2e18ee7cdb3365c1ff586bfcb80c843,A题研究/直接迭代/运行结果/远端P1回收437_v1/cold_export_successful,3.11.4,116868,116868,116868,116868
case_001,1,3,mature,233110,78545,2.9678528232223567,2304,1641856,0,0,0,,3,0,5.295762088000629,0.0,0,False,0,0,plans/p1/n3/case_001.json,70dee0dc9f57175a555319bda57daaa5f5af5c97d198e3f5072993d5fe75e6d0,A题研究/直接迭代/运行结果/远端P1回收437_v1/cold_export_successful,3.11.4,78545,78545,78545,78545
case_001,1,4,mature,233110,58984,3.952088702020887,3456,1643008,0,0,0,,8,0,8.404117833999408,0.0,0,False,0,0,plans/p1/n4/case_001.json,2a677050dd5b46524f88e82bf343a8c05b6f68bab5c7ab944a62d3345871c45a,A题研究/直接迭代/运行结果/远端P1回收437_v1/cold_export_successful,3.11.4,58984,58984,58984,58984
case_001,1,5,mature,233110,47502,4.9073723211654245,4608,1644160,0,0,0,,8,0,8.655754677000004,0.0,0,False,0,0,plans/p1/n5/case_001.json,811c489eb7d6113f0afaa4b601c2327b28ff85d87c97f113bb17239be950b2e6,A题研究/直接迭代/运行结果/远端P1回收437_v1/cold_export_successful,3.11.4,47502,47502,47502,47502
case_001,2,1,frontier,233110,233110,1.0,0,1639552,0,0,0,,15,0,3.8584930220094975,0.014367577998200431,0,False,0,0,plans/p2/n1/case_001.json,69a32b4ced172ac1617997adb9c610ebb43b82c2d947dd6f301477c6f7360ef8,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,233110,233110,233110,233110
case_001,2,2,frontier,233110,116868,1.9946435294520313,1152,1640704,0,0,0,,19,0,4.950760003994219,0.011784709990024567,0,False,0,0,plans/p2/n2/case_001.json,8ca4384582024a302822bbd6429af5d4c2e18ee7cdb3365c1ff586bfcb80c843,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,116868,116868,116868,116868
case_001,2,3,frontier,233110,78545,2.9678528232223567,2304,1641856,0,0,0,,24,0,6.14523829400423,0.009852741000941023,0,False,0,0,plans/p2/n3/case_001.json,70dee0dc9f57175a555319bda57daaa5f5af5c97d198e3f5072993d5fe75e6d0,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,78545,78545,78545,78545
case_001,2,4,frontier,233110,58984,3.952088702020887,3456,1643008,0,0,0,,24,0,6.233918701997027,0.011148007004521787,0,False,0,0,plans/p2/n4/case_001.json,2a677050dd5b46524f88e82bf343a8c05b6f68bab5c7ab944a62d3345871c45a,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,58984,58984,58984,58984
case_001,2,5,frontier,233110,47502,4.9073723211654245,4608,1644160,0,0,0,,24,0,6.86767923500156,0.019023594999453053,0,False,0,0,plans/p2/n5/case_001.json,811c489eb7d6113f0afaa4b601c2327b28ff85d87c97f113bb17239be950b2e6,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,47502,47502,47502,47502
case_001,3,1,frontier,233110,233110,1.0,0,1639552,0,0,820352,0.0,15,0,4.1308097730216105,0.013309174973983318,0,False,0,0,plans/p3/n1/case_001.json,69a32b4ced172ac1617997adb9c610ebb43b82c2d947dd6f301477c6f7360ef8,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,233110,233110,233110,233110
case_001,3,2,frontier,233110,116868,1.9946435294520313,1152,1640704,0,0,821504,0.0,22,0,6.057722611993086,0.010824005003087223,0,False,0,0,plans/p3/n2/case_001.json,8ca4384582024a302822bbd6429af5d4c2e18ee7cdb3365c1ff586bfcb80c843,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,116868,116868,116868,116868
case_001,3,3,frontier,233110,78545,2.9678528232223567,2304,1641856,0,0,822656,0.0,24,0,6.4107220910082106,0.00980234399321489,0,False,0,0,plans/p3/n3/case_001.json,70dee0dc9f57175a555319bda57daaa5f5af5c97d198e3f5072993d5fe75e6d0,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,78545,78545,78545,78545
case_001,3,4,frontier,233110,58984,3.952088702020887,3456,1643008,0,0,823808,0.0,24,0,6.630416953004897,0.009302819991717115,0,False,0,0,plans/p3/n4/case_001.json,2a677050dd5b46524f88e82bf343a8c05b6f68bab5c7ab944a62d3345871c45a,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,58984,58984,58984,58984
case_001,3,5,frontier,233110,47502,4.9073723211654245,4608,1644160,0,0,824960,0.0,24,0,6.514028048986802,0.011246015987126157,0,False,0,0,plans/p3/n5/case_001.json,811c489eb7d6113f0afaa4b601c2327b28ff85d87c97f113bb17239be950b2e6,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,47502,47502,47502,47502
case_002,1,1,mature,261945,261945,1.0,0,1224192,0,0,0,,11,0,22.243694722999862,0.0,0,False,0,0,plans/p1/n1/case_002.json,fa478d3a58941f61dee0a0543f1c4c7341d4a4b5c31214b30f8bcc94cb6d942b,A题研究/直接迭代/运行结果/远端P1回收437_v1/cold_export_successful,3.11.4,261945,261945,261945,261945
case_002,1,2,mature,261945,132881,1.9712750506091916,56832,1281024,0,0,0,,24,0,41.47535323400007,0.0,0,False,0,0,plans/p1/n2/case_002.json,f71c1622331e01c4b6b18f0623ccaa9a6b8b617cd359d417ab96edde0d57c4d3,A题研究/直接迭代/运行结果/远端P1回收437_v1/cold_export_successful,3.11.4,136619,136619,136619,132881
case_002,1,3,mature,261945,116122,2.2557740996538125,1701888,2926080,0,0,0,,24,0,58.47742261899839,0.0,0,False,0,0,plans/p1/n3/case_002.json,10f4efce267256b36af81e383a8a08f50f5c6119cb44eae3c731a74935996037,A题研究/直接迭代/运行结果/远端P1回收437_v1/cold_export_successful,3.11.4,124183,117161,116841,116122
case_002,1,4,mature,261945,83979,3.1191726503054333,1692672,2916864,0,0,0,,24,0,52.15359777100093,0.0,0,False,0,0,plans/p1/n4/case_002.json,0abe570a931f78c39dbd17e2680fd4ab214f0d897a406d78d451f6a87638b2b3,A题研究/直接迭代/运行结果/远端P1回收437_v1/cold_export_successful,3.11.4,84342,84205,83979,83979
case_002,1,5,mature,261945,65443,4.002643521843436,2193408,3417600,0,0,0,,24,0,61.540809751999404,0.0,0,False,0,0,plans/p1/n5/case_002.json,743bf9790f3726628cbd421103bb077d5ba93a8f3bbfa237f05ec254f9cd3221,A题研究/直接迭代/运行结果/远端P1回收437_v1/cold_export_successful,3.11.4,66289,65443,65443,65443
case_002,2,1,frontier,261945,255849,1.023826553943928,3316224,4540416,3316224,0,0,,9,0,5.007363617012743,0.05971449697972275,0,False,0,0,plans/p2/n1/case_002.json,e89582f1b11bb23d936e457df51a1e948e449293da043120b6b1fb4809002878,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,255849,255849,255849,255849
case_002,2,2,frontier,261945,129232,2.0269360529899716,4205568,5429760,870912,0,0,,24,0,17.915376581979217,0.04755442001624033,0,False,0,0,plans/p2/n2/case_002.json,da15412c4509c7d5f281d8db1951130bb979fb879687245d2ee3c232bbe5d4a2,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,131639,129232,129232,129232
case_002,2,3,frontier,261945,81890,3.198742215166687,669696,1893888,0,0,0,,24,0,11.752511670987587,0.04444692700053565,0,False,0,0,plans/p2/n3/case_002.json,b6307d482cb56a200be8c08961be48db54085021d69aa0123fbba04f3b3e88a3,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,88704,81890,81890,81890
case_002,2,4,frontier,261945,62314,4.2036300028885965,595968,1820160,0,0,0,,24,0,10.965691951016197,0.03399694399558939,0,False,0,0,plans/p2/n4/case_002.json,34ec8ba651a5f0d885df24a977249f37e0bcde0a23c69c8369555b4c7f12dffd,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,71776,62314,62314,62314
case_002,2,5,frontier,261945,51909,5.046234756978559,663552,1887744,0,0,0,,24,0,11.033369340992067,0.038334718003170565,0,False,0,0,plans/p2/n5/case_002.json,dbb6eb87c3bfbec2d089e17d1fc848141a2b1d1d4abb9d51121ef024f10b3f37,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,59668,51909,51909,51909
case_002,3,1,frontier,261945,251773,1.04040147275522,2732544,3956736,2732544,958464,2503680,0.27684117125110913,24,0,15.548727034998592,0.05425896501401439,0,False,0,0,plans/p3/n1/case_002.json,ff5447390e6e7414551fb210e82595a5f2a530db93c131e7024289a4496a79f0,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,253617,252352,252352,251773
