problem,cores,graphs,mean_speedup,added_copy_bytes,spill_bytes,calls,failed_calls,recovered_configurations,sum_solver_seconds,mean_graph_byte_hit_rate,weighted_byte_hit_rate
1,1,100,1.050426383132428,1685957544,419779936,1382,70,2,11222.57939653196,,
1,2,100,1.8598442711709113,1891455754,305866708,1557,57,1,12277.523665518993,,
1,3,100,2.5598597564576204,1906517458,386600712,1600,62,1,12910.358642449906,,
1,4,100,3.2039010190261967,1830345316,250498176,1610,63,1,12754.009596207095,,
1,5,100,3.70923027994506,1903184698,306666840,1725,57,2,12042.189812555964,,
2,1,100,1.2013255934225044,753461252,753461252,1854,8,0,5189.19496006603,,
2,2,100,2.2529547829231276,819006080,602088940,2251,11,0,5990.829032243986,,
2,3,100,3.1150579361152504,828126040,446341868,2299,10,0,5992.342773236218,,
2,4,100,3.8538026320509404,809618196,362099670,2313,8,0,5961.310383675009,,
2,5,100,4.441568937258096,848386028,330114074,2322,8,0,5620.1680201221025,,
3,1,100,1.2011758384475673,650036932,650036932,1942,11,0,5513.057666613924,0.03761219141546903,0.08427023922260989
3,2,100,2.2499952422094984,752101652,539894022,2232,12,0,6279.449753966997,0.14586081542465093,0.2380528601837007
3,3,100,3.1440123833745535,801994580,416504970,2272,9,0,6250.197446890146,0.18759820002187766,0.26498812174542963
3,4,100,3.906852452935665,812894752,349367766,2296,8,0,6186.987049458752,0.21307051466525356,0.3013572545773965
3,5,100,4.599476084821274,930914258,340184602,2301,10,0,5833.464327992115,0.2528532357708029,0.3409386969756455
