case,problem,cores,mode,makespan,added_copy,byte_hit_rate,time_ratio,copy_saved_vs_fastest,plan,plan_sha256
case_001,2,5,min_copy_within_1pct_time,47502,4608,,1.0,0,p2/case_001/min_copy_within_1pct_time.json,811c489eb7d6113f0afaa4b601c2327b28ff85d87c97f113bb17239be950b2e6
case_001,2,5,min_copy_within_3pct_time,47502,4608,,1.0,0,p2/case_001/min_copy_within_3pct_time.json,811c489eb7d6113f0afaa4b601c2327b28ff85d87c97f113bb17239be950b2e6
case_001,2,5,time_first,47502,4608,,1.0,0,p2/case_001/time_first.json,811c489eb7d6113f0afaa4b601c2327b28ff85d87c97f113bb17239be950b2e6
case_002,2,5,min_copy_within_1pct_time,51909,663552,,1.0,0,p2/case_002/min_copy_within_1pct_time.json,dbb6eb87c3bfbec2d089e17d1fc848141a2b1d1d4abb9d51121ef024f10b3f37
case_002,2,5,min_copy_within_3pct_time,51909,663552,,1.0,0,p2/case_002/min_copy_within_3pct_time.json,dbb6eb87c3bfbec2d089e17d1fc848141a2b1d1d4abb9d51121ef024f10b3f37
case_002,2,5,time_first,51909,663552,,1.0,0,p2/case_002/time_first.json,dbb6eb87c3bfbec2d089e17d1fc848141a2b1d1d4abb9d51121ef024f10b3f37
case_003,2,5,min_copy_within_1pct_time,269541,13187602,,1.0,0,p2/case_003/min_copy_within_1pct_time.json,7e4f982da638b5a3fe856963cd2a89b26e65741d7add74335ba11ba65936f71f
case_003,2,5,min_copy_within_3pct_time,269541,13187602,,1.0,0,p2/case_003/min_copy_within_3pct_time.json,7e4f982da638b5a3fe856963cd2a89b26e65741d7add74335ba11ba65936f71f
case_003,2,5,time_first,269541,13187602,,1.0,0,p2/case_003/time_first.json,7e4f982da638b5a3fe856963cd2a89b26e65741d7add74335ba11ba65936f71f
case_004,2,5,min_copy_within_1pct_time,84042,457728,,1.008677492528715,254976,p2/case_004/min_copy_within_1pct_time.json,73c8aacdb33481b18778b84a35d699e1afe9686be411b1beb3b7b18ea5cf75cf
case_004,2,5,min_copy_within_3pct_time,85097,442368,,1.0213396704233129,270336,p2/case_004/min_copy_within_3pct_time.json,b03e3741c898cf381ee18da80b34a27d466e71fdc1a41672504e7911f5de5870
case_004,2,5,time_first,83319,712704,,1.0,0,p2/case_004/time_first.json,1e1ce8b3c1c01e0f6dc8b9119d0128d7f5c83b1e12966d543de1b1f0e4801992
case_005,2,5,min_copy_within_1pct_time,40901,1937016,,1.0,0,p2/case_005/min_copy_within_1pct_time.json,c526ca6ad53a3da7f5d1f5d7661e23cd5967b0c1366a258068c33b0c88fba96f
case_005,2,5,min_copy_within_3pct_time,40901,1937016,,1.0,0,p2/case_005/min_copy_within_3pct_time.json,c526ca6ad53a3da7f5d1f5d7661e23cd5967b0c1366a258068c33b0c88fba96f
case_005,2,5,time_first,40901,1937016,,1.0,0,p2/case_005/time_first.json,c526ca6ad53a3da7f5d1f5d7661e23cd5967b0c1366a258068c33b0c88fba96f
case_006,2,5,min_copy_within_1pct_time,31729,63616,,1.0,0,p2/case_006/min_copy_within_1pct_time.json,3aa8111a2c51a154355d695532ece49f7731f289086dc4e21e523e85487d1139
case_006,2,5,min_copy_within_3pct_time,31729,63616,,1.0,0,p2/case_006/min_copy_within_3pct_time.json,3aa8111a2c51a154355d695532ece49f7731f289086dc4e21e523e85487d1139
case_006,2,5,time_first,31729,63616,,1.0,0,p2/case_006/time_first.json,3aa8111a2c51a154355d695532ece49f7731f289086dc4e21e523e85487d1139
case_007,2,5,min_copy_within_1pct_time,196870,110592,,1.0,0,p2/case_007/min_copy_within_1pct_time.json,71b49abfdc7708499bc2d60707658ae852ac0c6c86e6b92e741953d214f002c5
case_007,2,5,min_copy_within_3pct_time,196870,110592,,1.0,0,p2/case_007/min_copy_within_3pct_time.json,71b49abfdc7708499bc2d60707658ae852ac0c6c86e6b92e741953d214f002c5
case_007,2,5,time_first,196870,110592,,1.0,0,p2/case_007/time_first.json,71b49abfdc7708499bc2d60707658ae852ac0c6c86e6b92e741953d214f002c5
case_008,2,5,min_copy_within_1pct_time,55855,0,,1.0,0,p2/case_008/min_copy_within_1pct_time.json,e88b516d4f6a3167d37e45a5dc30ed4ac5c281a3d7a2bc650c29bf1748f78719
case_008,2,5,min_copy_within_3pct_time,55855,0,,1.0,0,p2/case_008/min_copy_within_3pct_time.json,e88b516d4f6a3167d37e45a5dc30ed4ac5c281a3d7a2bc650c29bf1748f78719
case_008,2,5,time_first,55855,0,,1.0,0,p2/case_008/time_first.json,e88b516d4f6a3167d37e45a5dc30ed4ac5c281a3d7a2bc650c29bf1748f78719
case_009,2,5,min_copy_within_1pct_time,42596,1332918,,1.0,0,p2/case_009/min_copy_within_1pct_time.json,732f324d3a391235e96410052c26dedbbdae1629326f4c78bb418bb80ae0bb7e
case_009,2,5,min_copy_within_3pct_time,42596,1332918,,1.0,0,p2/case_009/min_copy_within_3pct_time.json,732f324d3a391235e96410052c26dedbbdae1629326f4c78bb418bb80ae0bb7e
case_009,2,5,time_first,42596,1332918,,1.0,0,p2/case_009/time_first.json,732f324d3a391235e96410052c26dedbbdae1629326f4c78bb418bb80ae0bb7e
case_010,2,5,min_copy_within_1pct_time,19138,554512,,1.0,0,p2/case_010/min_copy_within_1pct_time.json,75e0e66226f632c335896d19b39dc646d1bf6b2f6b4f60d661f711db075c268a
case_010,2,5,min_copy_within_3pct_time,19138,554512,,1.0,0,p2/case_010/min_copy_within_3pct_time.json,75e0e66226f632c335896d19b39dc646d1bf6b2f6b4f60d661f711db075c268a
case_010,2,5,time_first,19138,554512,,1.0,0,p2/case_010/time_first.json,75e0e66226f632c335896d19b39dc646d1bf6b2f6b4f60d661f711db075c268a
case_011,2,5,min_copy_within_1pct_time,46253,1624064,,1.0,0,p2/case_011/min_copy_within_1pct_time.json,d595328c1b0a6086d3bf75238712e1631e1c35f4d87f16386e299da68ecbffe8
case_011,2,5,min_copy_within_3pct_time,46777,1622016,,1.011328994876008,2048,p2/case_011/min_copy_within_3pct_time.json,eb96163c1fc9e2c4f73447cf95966f21ae4d783659122f379d0e8b046b04dbbe
case_011,2,5,time_first,46253,1624064,,1.0,0,p2/case_011/time_first.json,d595328c1b0a6086d3bf75238712e1631e1c35f4d87f16386e299da68ecbffe8
case_012,2,5,min_copy_within_1pct_time,12279,49536,,1.0,0,p2/case_012/min_copy_within_1pct_time.json,295689f2c0d8888fca27a1a7d53048a57434f4f644d0c699302b64194798f41d
case_012,2,5,min_copy_within_3pct_time,12279,49536,,1.0,0,p2/case_012/min_copy_within_3pct_time.json,295689f2c0d8888fca27a1a7d53048a57434f4f644d0c699302b64194798f41d
case_012,2,5,time_first,12279,49536,,1.0,0,p2/case_012/time_first.json,295689f2c0d8888fca27a1a7d53048a57434f4f644d0c699302b64194798f41d
case_013,2,5,min_copy_within_1pct_time,54363,32768,,1.0043044522445963,4096,p2/case_013/min_copy_within_1pct_time.json,3b76e6ddcb1b70103c11d6b51d3cf93c3293c1509bc3058be8ec5a38d714d7e0
case_013,2,5,min_copy_within_3pct_time,54363,32768,,1.0043044522445963,4096,p2/case_013/min_copy_within_3pct_time.json,3b76e6ddcb1b70103c11d6b51d3cf93c3293c1509bc3058be8ec5a38d714d7e0
case_013,2,5,time_first,54130,36864,,1.0,0,p2/case_013/time_first.json,b62560d51dfbefd11e50af9705cfb2b3971a97738bc576db696c586dac2aee34
case_014,2,5,min_copy_within_1pct_time,3606914,88585392,,1.0062530338959408,344064,p2/case_014/min_copy_within_1pct_time.json,bbca5bada3aae64dbe8e6ae4b8bb14a6dab454846d8ad518aeedc0ff3b9aefc6
case_014,2,5,min_copy_within_3pct_time,3606914,88585392,,1.0062530338959408,344064,p2/case_014/min_copy_within_3pct_time.json,bbca5bada3aae64dbe8e6ae4b8bb14a6dab454846d8ad518aeedc0ff3b9aefc6
case_014,2,5,time_first,3584500,88929456,,1.0,0,p2/case_014/time_first.json,9d2edf59be39d457e614f5113234242cb70dc2bd0a9ddfc96f874c3579e0bf09
case_015,2,5,min_copy_within_1pct_time,33367,313344,,1.0,0,p2/case_015/min_copy_within_1pct_time.json,ed2364b0d6fc0d5479b728ba8a1967deb38d4125e4773fb74010b798acd5585f
case_015,2,5,min_copy_within_3pct_time,33367,313344,,1.0,0,p2/case_015/min_copy_within_3pct_time.json,ed2364b0d6fc0d5479b728ba8a1967deb38d4125e4773fb74010b798acd5585f
case_015,2,5,time_first,33367,313344,,1.0,0,p2/case_015/time_first.json,ed2364b0d6fc0d5479b728ba8a1967deb38d4125e4773fb74010b798acd5585f
case_016,2,5,min_copy_within_1pct_time,2243300,247664,,1.0002434506860762,4,p2/case_016/min_copy_within_1pct_time.json,d8f326f4a2a8dafed7647d788b616510082b9064fadcea584a425d3a95c63c28
case_016,2,5,min_copy_within_3pct_time,2243300,247664,,1.0002434506860762,4,p2/case_016/min_copy_within_3pct_time.json,d8f326f4a2a8dafed7647d788b616510082b9064fadcea584a425d3a95c63c28
case_016,2,5,time_first,2242754,247668,,1.0,0,p2/case_016/time_first.json,d1ef02e9a9b164cc2e9c0644fa19aa58e064fbb1feabf6c458dc36c9caeed9f6
