problem,cores,cases,before_mean_speedup,after_mean_speedup,mean_paired_time_reduction_pct,strict_time_improved
1,2,100,1.7845240217708962,1.7845240217708962,0.0,0
1,3,100,2.4258366812151126,2.4258366812151126,0.0,0
1,4,100,3.031382274785021,3.031382274785021,0.0,0
1,5,100,3.576101091454332,3.576101091454332,0.0,0
2,2,100,2.0420107113779897,2.0420107113779897,0.0,0
2,3,100,2.897896084195691,2.897896084195691,0.0,0
2,4,100,3.606766851120958,3.606766851120958,0.0,0
2,5,100,4.334517565184253,4.342972078297871,0.16130630387735911,5
3,2,100,2.0483501485922906,2.0483501485922906,0.0,0
3,3,100,2.9147717447600945,2.9147717447600945,0.0,0
3,4,100,3.641775579313945,3.641775579313945,0.0,0
3,5,100,4.42846590611176,4.4388145965744,0.19842117551227856,8
