group,method,control,selected_graph_slots,valid_pairs,wins,ties,losses,mean_paired_reduction_pct,median_paired_reduction_pct,max_loss_pct,max_loss_case,max_loss_group,max_loss_cycles,feedback_only_success,control_only_success,neither_success,excluded_pairs
regression,feedback,legacy,18,18,3,12,3,0.11959797948111935,0.0,1.092733154052361,case_090,regression,2564,0,0,0,0
regression,feedback,read_order,18,18,5,7,6,0.18284959597459227,0.0,1.5356438433361541,case_015,regression,654,0,0,0,0
regression,feedback,joint,18,18,4,10,4,-0.009126231873113962,0.0,2.126880933416575,case_090,regression,4940,0,0,0,0
regression,feedback,interleave,18,18,3,13,2,0.15171249603938503,0.0,1.5356438433361541,case_015,regression,654,0,0,0,0
validation,feedback,legacy,12,12,4,8,0,0.0839855540722569,0.0,0.0,,,0,0,0,0,0
validation,feedback,read_order,12,12,4,8,0,0.20689049143106375,0.0,0.0,,,0,0,0,0,0
validation,feedback,joint,12,12,1,9,2,0.04326334472890547,0.0,0.06386239782016911,case_009,validation,30,0,0,0,0
validation,feedback,interleave,12,12,4,8,0,0.0878403951055114,0.0,0.0,,,0,0,0,0,0
all,feedback,legacy,30,30,7,20,3,0.10535300931757437,0.0,1.092733154052361,case_090,regression,2564,0,0,0,0
all,feedback,read_order,30,30,9,15,6,0.19246595415718085,0.0,1.5356438433361541,case_015,regression,654,0,0,0,0
all,feedback,joint,30,30,5,19,6,0.011829598767693813,0.0,2.126880933416575,case_090,regression,4940,0,0,0,0
all,feedback,interleave,30,30,7,21,2,0.12616365566583557,0.0,1.5356438433361541,case_015,regression,654,0,0,0,0
