batch,case,cores,name,reason,task_bound,ddr_bound,lower_bound,task_count,max_task_ops,mandatory_boundary_bytes,core_ownership_preserved
深化任务粒度_v1,case_003,5,merge1024,exact_duplicate,,,,,,,
深化任务粒度_v1,case_009,5,merge512,necessary_bound,90433,14392,90433,20,584,819328,True
深化任务粒度_v1,case_009,5,merge1024,necessary_bound,90233,13758,90233,18,1004,784568,True
深化任务粒度_v1,case_009,5,split1024,exact_duplicate,,,,,,,
深化任务粒度_v1,case_009,5,merge2048,necessary_bound,89002,12374,89002,16,2007,707820,True
深化任务粒度_v1,case_014,5,split1024,exact_duplicate,,,,,,,
深化任务粒度_v1,case_016,5,merge256,exact_duplicate,,,,,,,
深化任务粒度_v1,case_016,5,local_duration,exact_duplicate,,,,,,,
深化任务粒度_v1,case_016,5,merge512,exact_duplicate,,,,,,,
深化任务粒度_v1,case_016,5,observed_duration,exact_duplicate,,,,,,,
深化任务粒度_v1,case_016,5,merge1024,exact_duplicate,,,,,,,
深化任务粒度_v1,case_016,5,split1024,necessary_bound,7716675,128223,7716675,18,1024,7668162,True
深化任务粒度_v1,case_016,5,merge2048,exact_duplicate,,,,,,,
深化任务粒度_v1,case_016,5,split512,necessary_bound,7718475,260837,7718475,36,512,15598498,True
深化任务粒度_v1,case_025,5,merge256,exact_duplicate,,,,,,,
深化任务粒度_v1,case_025,5,merge512,exact_duplicate,,,,,,,
深化任务粒度_v1,case_025,5,observed_duration,exact_duplicate,,,,,,,
深化任务粒度_v1,case_025,5,merge1024,exact_duplicate,,,,,,,
深化任务粒度_v1,case_025,5,merge2048,exact_duplicate,,,,,,,
深化任务粒度_v1,case_053,5,merge256,exact_duplicate,,,,,,,
深化任务粒度_v1,case_053,5,merge512,exact_duplicate,,,,,,,
深化任务粒度_v1,case_053,5,merge1024,exact_duplicate,,,,,,,
深化任务粒度_v1,case_053,5,merge2048,exact_duplicate,,,,,,,
深化任务粒度_v1,case_062,5,merge512,necessary_bound,1110496,610294,1110496,53,2047,36307968,True
深化任务粒度_v1,case_062,5,merge1024,necessary_bound,2250600,597694,2250600,42,2047,35558400,True
深化任务粒度_v1,case_062,5,merge2048,necessary_bound,2174472,592879,2174472,36,2047,35271168,True
深化任务粒度_v1,case_063,5,merge1024,necessary_bound,337004,190976,337004,12,960,11378688,True
深化任务粒度_v1,case_063,5,split1024,exact_duplicate,,,,,,,
深化任务粒度_v1,case_063,5,merge2048,necessary_bound,577404,184784,577404,11,1787,11010048,True
深化任务粒度_v1,case_063,5,split512,exact_duplicate,,,,,,,
深化任务粒度_v1,case_076,5,merge256,exact_duplicate,,,,,,,
深化任务粒度_v1,case_076,5,merge512,exact_duplicate,,,,,,,
深化任务粒度_v1,case_076,5,merge1024,exact_duplicate,,,,,,,
深化任务粒度_v1,case_076,5,merge2048,exact_duplicate,,,,,,,
深化任务粒度_v1,case_087,5,merge256,exact_duplicate,,,,,,,
深化任务粒度_v1,case_087,5,local_duration,exact_duplicate,,,,,,,
深化任务粒度_v1,case_087,5,merge512,exact_duplicate,,,,,,,
深化任务粒度_v1,case_087,5,observed_duration,exact_duplicate,,,,,,,
深化任务粒度_v1,case_087,5,merge1024,exact_duplicate,,,,,,,
深化任务粒度_v1,case_087,5,merge2048,exact_duplicate,,,,,,,
深化任务粒度_v1,case_091,5,merge256,exact_duplicate,,,,,,,
深化任务粒度_v1,case_091,5,merge512,exact_duplicate,,,,,,,
深化任务粒度_v1,case_091,5,merge1024,exact_duplicate,,,,,,,
深化任务粒度_v1,case_091,5,merge2048,exact_duplicate,,,,,,,
深化任务跨核_v1,case_062,2,merge256,exact_duplicate,,,,,,,
深化任务跨核_v1,case_062,2,local_duration,exact_duplicate,,,,,,,
深化任务跨核_v1,case_062,2,merge512,exact_duplicate,,,,,,,
深化任务跨核_v1,case_062,2,observed_duration,exact_duplicate,,,,,,,
深化任务跨核_v1,case_062,2,merge1024,exact_duplicate,,,,,,,
深化任务跨核_v1,case_062,2,merge2048,exact_duplicate,,,,,,,
深化任务跨核_v1,case_062,3,merge256,exact_duplicate,,,,,,,
深化任务跨核_v1,case_062,3,local_duration,exact_duplicate,,,,,,,
深化任务跨核_v1,case_062,3,merge512,exact_duplicate,,,,,,,
深化任务跨核_v1,case_062,3,observed_duration,exact_duplicate,,,,,,,
深化任务跨核_v1,case_062,3,merge1024,exact_duplicate,,,,,,,
深化任务跨核_v1,case_062,3,merge2048,exact_duplicate,,,,,,,
深化任务跨核_v1,case_062,4,merge256,exact_duplicate,,,,,,,
深化任务跨核_v1,case_062,4,merge512,exact_duplicate,,,,,,,
深化任务跨核_v1,case_062,4,observed_duration,exact_duplicate,,,,,,,
深化任务跨核_v1,case_062,4,merge1024,exact_duplicate,,,,,,,
