problem,cores,cases,before_mean_speedup,after_mean_speedup,mean_paired_time_reduction_pct,strict_time_improved
1,2,100,1.7713660386165302,1.7724207875017055,0.05219301461534931,3
1,3,100,2.4019294296152434,2.406453169908349,0.1789709574245445,3
1,4,100,2.9960226442633724,3.0050272568192478,0.2645102388050029,3
1,5,100,3.506035411073489,3.5249734487426445,0.5862430241207038,12
2,2,100,2.0420107113779897,2.0420107113779897,0.0,0
2,3,100,2.897896084195691,2.897896084195691,0.0,0
2,4,100,3.606766851120958,3.606766851120958,0.0,0
2,5,100,4.3288440263597,4.3288440263597,0.0,0
3,2,100,2.0479064324567084,2.0479064324567084,0.0,0
3,3,100,2.9144084843317906,2.9144084843317906,0.0,0
3,4,100,3.6402883331645577,3.6402883331645577,0.0,0
3,5,100,4.415382461028566,4.415382461028566,0.0,0
