case,component,legacy,adaptive,adaptive_vs_component_reduction_pct,adaptive_vs_legacy_reduction_pct
case_009,92198,92225,83830,9.076118787826204,9.102737869341283
case_017,35496,35496,35496,0.0,0.0
case_018,205917,205917,205917,0.0,0.0
case_023,24268,24268,24268,0.0,0.0
case_024,2555343,2555343,2555343,0.0,0.0
case_026,41688,42058,41688,0.0,0.8797375053497536
case_027,558753,558753,558753,0.0,0.0
case_036,187182,187182,187182,0.0,0.0
case_042,358345,359292,351786,1.830359011567062,2.0891085802077436
case_048,222220,222220,222220,0.0,0.0
case_050,108121,108160,78548,27.351763302226207,27.377958579881657
case_064,19116,19116,16469,13.847039129525008,13.847039129525008
case_068,302408,303554,268666,11.157773603872911,11.493177490660644
case_074,332092,334798,334798,-0.8148344434674826,0.0
case_093,15876,15876,15876,0.0,0.0
case_100,57811,58085,57971,-0.27676393765891927,0.1962640957217876
