problem,cores,cases,before_mean_speedup,after_mean_speedup,mean_paired_time_reduction_pct,strict_time_improved
1,2,100,1.7845240217708962,1.7845240217708962,0.0,0
1,3,100,2.4258366812151126,2.4258366812151126,0.0,0
1,4,100,3.031382274785021,3.031382274785021,0.0,0
1,5,100,3.576101091454332,3.576101091454332,0.0,0
2,2,100,2.0420107113779897,2.0420107113779897,0.0,0
2,3,100,2.9146194897018423,2.9150573229544356,0.014419307225648326,1
2,4,100,3.6104932852866987,3.6104932852866987,0.0,0
2,5,100,4.455131953673101,4.478270358530766,0.42936525487715516,6
3,2,100,2.0483501485922906,2.0483501485922906,0.0,0
3,3,100,2.9310841737957958,2.931447150654599,0.01191035764506898,1
3,4,100,3.6446645920474876,3.6446645920474876,0.0,0
3,5,100,4.5623355206083716,4.585688676618223,0.40647438030403804,7
