case,problem,cores,method,status,effective_method,makespan,logical_calls,new_calls,elapsed_seconds,stop_reason,failed_calls,timeout_calls,generation_errors,summary_path,error
case_053,2,5,staged,success,staged,461695,12,0,2.4189057500334457,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹旧组回归_v1/case_053/p2_n5/staged/summary.json,
case_053,2,5,routed,success,component_wcc,418489,12,0,3.303224958013743,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹旧组回归_v1/case_053/p2_n5/routed/summary.json,
case_087,3,5,staged,success,staged,794933,12,0,7.924241500091739,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹旧组回归_v1/case_087/p3_n5/staged/summary.json,
case_087,2,5,staged,success,staged,801582,12,0,7.2682821250054985,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹旧组回归_v1/case_087/p2_n5/staged/summary.json,
case_008,3,5,staged,success,staged,55981,12,0,0.2698136249091476,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹旧组回归_v1/case_008/p3_n5/staged/summary.json,
case_053,3,5,routed,success,component_wcc,418489,12,0,3.516933083999902,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹旧组回归_v1/case_053/p3_n5/routed/summary.json,
case_008,2,5,staged,success,staged,55981,12,0,0.2638256660429761,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹旧组回归_v1/case_008/p2_n5/staged/summary.json,
case_008,2,5,routed,success,component_wcc,55855,12,0,0.18174349993932992,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹旧组回归_v1/case_008/p2_n5/routed/summary.json,
case_087,2,5,trace_routed,success,staged,797842,12,4,29.881857667001896,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹旧组回归_v1/case_087/p2_n5/trace_routed/summary.json,
case_053,2,5,trace_routed,success,component_wcc,418489,12,0,3.7335115420864895,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹旧组回归_v1/case_053/p2_n5/trace_routed/summary.json,
case_053,3,5,trace_routed,success,component_wcc,418489,12,0,3.727706042001955,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹旧组回归_v1/case_053/p3_n5/trace_routed/summary.json,
case_008,2,5,trace_routed,success,staged,55855,12,0,0.2751707499846816,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹旧组回归_v1/case_008/p2_n5/trace_routed/summary.json,
case_008,3,5,routed,success,component_wcc,55855,12,0,0.19396045897156,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹旧组回归_v1/case_008/p3_n5/routed/summary.json,
case_008,3,5,trace_routed,success,staged,55855,12,0,0.2878286250634119,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹旧组回归_v1/case_008/p3_n5/trace_routed/summary.json,
case_053,3,5,staged,success,staged,461695,12,0,3.0136735420674086,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹旧组回归_v1/case_053/p3_n5/staged/summary.json,
case_087,3,5,trace_routed,success,staged,790623,12,5,36.733588207978755,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹旧组回归_v1/case_087/p3_n5/trace_routed/summary.json,
case_087,3,5,routed,success,component_wcc,794423,12,0,12.464060333091766,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹旧组回归_v1/case_087/p3_n5/routed/summary.json,
case_087,2,5,routed,success,component_wcc,800842,12,0,12.529003000003286,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹旧组回归_v1/case_087/p2_n5/routed/summary.json,
