problem,cores,cases,before_mean_speedup,after_mean_speedup,mean_paired_time_reduction_pct,strict_time_improved
1,2,100,1.7480037468393594,1.7713660386165302,1.2957494819920061,20
1,3,100,2.3741373994455715,2.4019294296152434,1.5453590572927314,25
1,4,100,2.930633549840622,2.9960226442633724,3.54312553927597,31
1,5,100,3.4979171183483646,3.506035411073489,0.42084813597473203,7
2,2,100,2.0223500733054194,2.0420107113779897,1.0136474936413782,62
2,3,100,2.868163405965653,2.897896084195691,0.9598709824543463,50
2,4,100,3.565913534661066,3.606766851120958,1.213049214411002,47
2,5,100,4.323887617140977,4.3288440263597,0.1571952675866457,13
3,2,100,2.0365334622559352,2.0479064324567084,0.5552400354063747,46
3,3,100,2.901482495621393,2.9144084843317906,0.4128498359138858,38
3,4,100,3.613873342172059,3.6402883331645577,0.7435055866204079,42
3,5,100,4.410142030312306,4.415382461028566,0.10476061348464516,8
