problem,cores,cases,before_mean_speedup,after_mean_speedup,mean_paired_time_reduction_pct,strict_time_improved
1,2,100,1.7783603896976887,1.7845240217708962,0.38396710249096255,2
1,3,100,2.415879877894992,2.4258366812151126,0.5077503681072345,3
1,4,100,3.016064157103738,3.031382274785021,0.6698987089082171,2
1,5,100,3.544911601630406,3.572486956614837,0.9854977565894572,4
2,2,100,2.0420107113779897,2.0420107113779897,0.0,0
2,3,100,2.897896084195691,2.897896084195691,0.0,0
2,4,100,3.606766851120958,3.606766851120958,0.0,0
2,5,100,4.3288440263597,4.3288440263597,0.0,0
3,2,100,2.0479064324567084,2.0479064324567084,0.0,0
3,3,100,2.9144084843317906,2.9144084843317906,0.0,0
3,4,100,3.6402883331645577,3.6402883331645577,0.0,0
3,5,100,4.415382461028566,4.415382461028566,0.0,0
