case,method,seeds,feasible_seeds,distinct_winning_plans,min_makespan,max_makespan
case_002,adaptive,3,3,1,114925,114925
case_002,hybrid,3,3,3,114539,114539
case_002,portfolio,3,3,2,78244,80355
case_002,portfolio_diverse,3,3,2,78244,80355
case_009,adaptive,3,3,1,83830,83830
case_009,hybrid,3,3,1,83830,83830
case_009,portfolio,3,3,1,83830,83830
case_009,portfolio_diverse,3,3,1,83830,83830
case_015,adaptive,3,3,1,43411,43411
case_015,hybrid,3,3,1,43411,43411
case_015,portfolio,3,3,1,43411,43411
case_015,portfolio_diverse,3,3,1,43411,43411
case_017,adaptive,3,3,1,35496,35496
case_017,hybrid,3,3,1,35496,35496
case_017,portfolio,3,3,1,35496,35496
case_017,portfolio_diverse,3,3,1,35496,35496
case_018,adaptive,3,3,1,205917,205917
case_018,hybrid,3,3,1,205917,205917
case_018,portfolio,3,3,1,205917,205917
case_018,portfolio_diverse,3,3,1,205917,205917
case_023,adaptive,3,3,2,24268,24486
case_023,hybrid,3,3,2,23846,24161
case_023,portfolio,3,3,2,23846,24161
case_023,portfolio_diverse,3,3,2,23846,24161
case_024,adaptive,3,3,1,2555343,2555343
case_024,hybrid,3,3,1,2555343,2555343
case_024,portfolio,3,3,1,1095114,1095114
case_024,portfolio_diverse,3,3,1,1095114,1095114
case_026,adaptive,3,3,1,41688,41688
case_026,hybrid,3,3,1,41665,41665
case_026,portfolio,3,3,1,41665,41665
case_026,portfolio_diverse,3,3,1,41665,41665
case_027,adaptive,3,3,1,558753,558753
case_027,hybrid,3,3,1,558753,558753
case_027,portfolio,3,3,1,558753,558753
case_027,portfolio_diverse,3,3,1,558753,558753
case_036,adaptive,3,3,1,187182,187182
case_036,hybrid,3,3,1,187182,187182
case_036,portfolio,3,3,1,187182,187182
case_036,portfolio_diverse,3,3,1,187182,187182
case_037,adaptive,3,3,1,43013,43013
case_037,hybrid,3,3,1,43013,43013
case_037,portfolio,3,3,1,43013,43013
case_037,portfolio_diverse,3,3,1,43013,43013
case_038,adaptive,3,3,3,279703,283793
case_038,hybrid,3,3,3,276053,278976
case_038,portfolio,3,3,3,276053,278976
case_038,portfolio_diverse,3,3,3,276053,278976
case_042,adaptive,3,3,1,351786,351786
case_042,hybrid,3,3,1,342220,342220
case_042,portfolio,3,3,1,342220,342220
case_042,portfolio_diverse,3,3,1,342220,342220
case_048,adaptive,3,3,1,211661,211661
case_048,hybrid,3,3,1,222220,222220
case_048,portfolio,3,3,1,222220,222220
case_048,portfolio_diverse,3,3,1,211661,211661
case_050,adaptive,3,3,1,78548,78548
case_050,hybrid,3,3,1,77776,77776
case_050,portfolio,3,3,1,77776,77776
case_050,portfolio_diverse,3,3,1,77776,77776
case_064,adaptive,3,3,1,16469,16469
case_064,hybrid,3,3,3,16370,16463
case_064,portfolio,3,3,3,16370,16463
case_064,portfolio_diverse,3,3,3,16370,16463
case_066,adaptive,3,3,1,205062,205062
case_066,hybrid,3,3,3,199028,200034
case_066,portfolio,3,3,3,199028,200034
case_066,portfolio_diverse,3,3,3,199028,200034
case_068,adaptive,3,3,1,268666,268666
case_068,hybrid,3,3,1,268666,268666
case_068,portfolio,3,3,1,268666,268666
case_068,portfolio_diverse,3,3,1,268666,268666
case_071,adaptive,3,3,1,13396,13396
case_071,hybrid,3,3,2,11491,13396
case_071,portfolio,3,3,2,11491,12170
case_071,portfolio_diverse,3,3,2,11491,12170
case_074,adaptive,3,3,3,333227,336492
case_074,hybrid,3,3,3,330675,332448
case_074,portfolio,3,3,3,330675,332448
case_074,portfolio_diverse,3,3,3,330675,332448
case_081,adaptive,3,3,1,30943,30943
case_081,hybrid,3,3,1,30943,30943
case_081,portfolio,3,3,1,30943,30943
case_081,portfolio_diverse,3,3,1,30943,30943
case_086,adaptive,3,3,1,95806,95806
case_086,hybrid,3,3,3,95409,95717
case_086,portfolio,3,3,1,95806,95806
case_086,portfolio_diverse,3,3,1,95806,95806
case_093,adaptive,3,3,1,15876,15876
case_093,hybrid,3,3,1,15876,15876
case_093,portfolio,3,3,1,15876,15876
case_093,portfolio_diverse,3,3,1,15876,15876
case_100,adaptive,3,3,1,57971,57971
case_100,hybrid,3,3,1,57811,57811
case_100,portfolio,3,3,1,57811,57811
case_100,portfolio_diverse,3,3,1,57811,57811
