case,adaptive,hybrid,portfolio,portfolio_diverse,portfolio_diverse_vs_adaptive_reduction_pct,portfolio_diverse_vs_hybrid_reduction_pct,portfolio_diverse_vs_portfolio_reduction_pct
case_002,114925,114539,80355,80355,30.08048727430933,29.84485633714281,0.0
case_009,83830,83830,83830,83830,0.0,0.0,0.0
case_015,43411,43411,43411,43411,0.0,0.0,0.0
case_017,35496,35496,35496,35496,0.0,0.0,0.0
case_018,205917,205917,205917,205917,0.0,0.0,0.0
case_023,24268,23846,23846,23846,1.738915444206357,0.0,0.0
case_024,2555343,2555343,1095114,1095114,57.144148554616734,57.144148554616734,0.0
case_026,41688,41665,41665,41665,0.05517175206294356,0.0,0.0
case_027,558753,558753,558753,558753,0.0,0.0,0.0
case_036,187182,187182,187182,187182,0.0,0.0,0.0
case_037,43013,43013,43013,43013,0.0,0.0,0.0
case_038,282242,276281,276281,276281,2.112017346815853,0.0,0.0
case_042,351786,342220,342220,342220,2.7192668269914066,0.0,0.0
case_048,211661,222220,222220,211661,0.0,4.751597515975159,4.751597515975159
case_050,78548,77776,77776,77776,0.9828385191220645,0.0,0.0
case_064,16469,16370,16370,16370,0.6011293946201923,0.0,0.0
case_066,205062,199671,199671,199671,2.6289609971618333,0.0,0.0
case_068,268666,268666,268666,268666,0.0,0.0,0.0
case_071,13396,13396,12170,12170,9.151985667363395,9.151985667363395,0.0
case_074,334798,331718,331718,331718,0.919957705840535,0.0,0.0
case_081,30943,30943,30943,30943,0.0,0.0,0.0
case_086,95806,95481,95806,95806,0.0,-0.3403818560760774,0.0
case_093,15876,15876,15876,15876,0.0,0.0,0.0
case_100,57971,57811,57811,57811,0.2760000690000153,0.0,0.0
