plan,core,op_id,pipe,start,end
before,0,4,PIPE_M,1030,2188
before,0,6,PIPE_V,2188,2770
before,0,7,PIPE_V,2770,2920
before,0,8,PIPE_V,2920,3070
before,0,9,PIPE_V,3070,3652
before,0,10,PIPE_V,3652,3802
before,0,11,PIPE_V,3802,4384
before,0,12,PIPE_M,4384,5542
before,0,64,PIPE_M,5542,6700
before,0,66,PIPE_V,6700,7282
before,0,67,PIPE_V,7282,7432
before,0,68,PIPE_V,7432,7582
before,0,69,PIPE_V,7582,8164
before,0,70,PIPE_V,8164,8314
before,0,71,PIPE_V,8314,8896
before,0,72,PIPE_M,8896,10054
before,0,124,PIPE_M,10054,11212
before,0,126,PIPE_V,11212,11794
before,0,127,PIPE_V,11794,11944
before,0,128,PIPE_V,11944,12094
before,0,129,PIPE_V,12094,12676
before,0,130,PIPE_V,12676,12826
before,0,131,PIPE_V,12826,13408
before,0,132,PIPE_M,13408,14566
before,0,184,PIPE_M,14566,15724
before,0,186,PIPE_V,15724,16306
before,0,187,PIPE_V,16306,16456
before,0,188,PIPE_V,16456,16606
before,0,189,PIPE_V,16606,17188
before,0,190,PIPE_V,17188,17338
before,0,191,PIPE_V,17338,17920
before,0,192,PIPE_M,17920,19078
before,0,244,PIPE_M,19078,20236
before,0,246,PIPE_V,20236,20818
before,0,247,PIPE_V,20818,20968
before,0,248,PIPE_V,20968,21118
before,0,249,PIPE_V,21118,21700
before,0,250,PIPE_V,21700,21850
before,0,251,PIPE_V,21850,22432
before,0,252,PIPE_M,22432,23590
before,0,304,PIPE_M,23590,24748
before,0,306,PIPE_V,24748,25330
before,0,307,PIPE_V,25330,25480
before,0,308,PIPE_V,25480,25630
before,0,309,PIPE_V,25630,26212
before,0,310,PIPE_V,26212,26362
before,0,311,PIPE_V,26362,26944
before,0,312,PIPE_M,26944,28102
before,0,364,PIPE_M,28102,29260
before,0,366,PIPE_V,29260,29842
before,0,367,PIPE_V,29842,29992
before,0,368,PIPE_V,29992,30142
before,0,369,PIPE_V,30142,30724
before,0,370,PIPE_V,30724,30874
before,0,371,PIPE_V,30874,31456
before,0,372,PIPE_M,31456,32614
before,0,424,PIPE_M,32614,33772
before,0,426,PIPE_V,33772,34354
before,0,427,PIPE_V,34354,34504
before,0,428,PIPE_V,34504,34654
before,0,429,PIPE_V,34654,35236
before,0,430,PIPE_V,35236,35386
before,0,431,PIPE_V,35386,35968
before,0,432,PIPE_M,35968,37126
before,0,484,PIPE_M,37126,38284
before,0,486,PIPE_V,38284,38866
before,0,487,PIPE_V,38866,39016
before,0,488,PIPE_V,39016,39166
before,0,489,PIPE_V,39166,39748
before,0,490,PIPE_V,39748,39898
before,0,491,PIPE_V,39898,40480
before,0,492,PIPE_M,40480,41638
before,0,544,PIPE_M,41638,42796
before,0,546,PIPE_V,42796,43378
