case,problem,cores,method,status,effective_method,makespan,logical_calls,new_calls,elapsed_seconds,stop_reason,failed_calls,timeout_calls,generation_errors,summary_path,error
case_094,3,5,staged,success,staged,21130,12,3,0.5431306250393391,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构回归_v1/case_094/p3_n5/staged/summary.json,
case_094,2,5,staged,success,staged,21758,12,6,0.7597514159278944,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构回归_v1/case_094/p2_n5/staged/summary.json,
case_009,2,5,routed,success,staged,52200,12,2,2.344515374978073,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构回归_v1/case_009/p2_n5/routed/summary.json,
case_085,2,5,component_wcc,success,component_wcc,3187899,1,0,0.13965637504588813,candidate_pools_exhausted,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构回归_v1/case_085/p2_n5/component_wcc/summary.json,
case_009,2,5,staged,success,staged,52200,12,2,2.343711124965921,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构回归_v1/case_009/p2_n5/staged/summary.json,
case_046,2,5,staged,success,staged,93013,12,3,0.6027659579413012,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构回归_v1/case_046/p2_n5/staged/summary.json,
case_046,3,5,staged,success,staged,90550,12,6,1.014185499981977,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构回归_v1/case_046/p3_n5/staged/summary.json,
case_094,2,5,component_wcc,success,component_wcc,17755,12,4,0.6195824999595061,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构回归_v1/case_094/p2_n5/component_wcc/summary.json,
case_094,3,5,routed,success,component_wcc,16819,12,6,0.9341955409618095,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构回归_v1/case_094/p3_n5/routed/summary.json,
case_094,2,5,routed,success,component_wcc,17755,12,0,0.26195895893033594,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构回归_v1/case_094/p2_n5/routed/summary.json,
case_046,2,5,component_wcc,success,component_wcc,77846,12,3,0.6089387499960139,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构回归_v1/case_046/p2_n5/component_wcc/summary.json,
case_085,3,5,component_wcc,success,component_wcc,3187899,1,0,0.1414861249504611,candidate_pools_exhausted,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构回归_v1/case_085/p3_n5/component_wcc/summary.json,
case_009,3,5,staged,success,staged,72876,12,6,4.984401458059438,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构回归_v1/case_009/p3_n5/staged/summary.json,
case_009,2,5,component_wcc,success,component_wcc,82126,12,4,3.942372833029367,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构回归_v1/case_009/p2_n5/component_wcc/summary.json,
case_009,3,5,component_wcc,success,component_wcc,82126,12,6,5.119904875056818,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构回归_v1/case_009/p3_n5/component_wcc/summary.json,
case_046,2,5,routed,success,component_wcc,77846,12,0,0.2116563330637291,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构回归_v1/case_046/p2_n5/routed/summary.json,
case_085,2,5,routed,success,staged,881711,12,9,52.0832380419597,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构回归_v1/case_085/p2_n5/routed/summary.json,
case_009,3,5,routed,success,staged,72876,12,0,1.2727833751123399,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构回归_v1/case_009/p3_n5/routed/summary.json,
case_094,3,5,component_wcc,success,component_wcc,16819,12,0,0.28315574990119785,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构回归_v1/case_094/p3_n5/component_wcc/summary.json,
case_046,3,5,routed,success,component_wcc,77846,12,6,1.024179834057577,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构回归_v1/case_046/p3_n5/routed/summary.json,
case_046,3,5,component_wcc,success,component_wcc,77846,12,0,0.21899674995802343,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构回归_v1/case_046/p3_n5/component_wcc/summary.json,
case_085,2,5,staged,success,staged,881711,12,0,2.2407849580049515,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构回归_v1/case_085/p2_n5/staged/summary.json,
case_085,3,5,routed,success,staged,918123,12,9,56.21741425001528,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构回归_v1/case_085/p3_n5/routed/summary.json,
case_085,3,5,staged,success,staged,918123,12,1,9.051032832940109,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构回归_v1/case_085/p3_n5/staged/summary.json,
